ALABAMA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

30165                                                                                            3
31905                                                                                            3
35004                                                                                            3
35005                                                                                          6,7
35006                                                                                        4,6,7
35007                                                                                            6
35010                                                                                        2,3,6
35013                                                                                            6
35014                                                                                            3
35016                                                                                            4
35019                                                                                          4,5
35020                                                                                          6,7
35022                                                                                          6,7
35023                                                                                          6,7
35031                                                                                          4,6
35032                                                                                            3
35033                                                                                            4
35034                                                                                          6,7
35035                                                                                            6
35036                                                                                            6
35040                                                                                            6
35042                                                                                            6
35043                                                                                            6
35044                                                                                            3
35045                                                                                            6
35046                                                                                            6
35049                                                                                            6
35051                                                                                            6
35052                                                                                            3
35053                                                                                            4
35054                                                                                            3
35055                                                                                            4
35057                                                                                            4
35058                                                                                            4
35060                                                                                            6
35061                                                                                          6,7
35062                                                                                          4,6
35063                                                                                          4,6
35064                                                                                            7
35068                                                                                          6,7
35070                                                                                            4
35071                                                                                            6
35072                                                                                          3,6
35073                                                                                            6
35074                                                                                            6
35077                                                                                            4
35078                                                                                            6
35079                                                                                            6
35080                                                                                            6
35082                                                                                            3
35083                                                                                            4
35085                                                                                            6
35087                                                                                          4,5
35089                                                                                          3,6
35091                                                                                            6
35094                                                                                          3,6
35096                                                                                            3
35097                                                                                            6
35098                                                                                            4
35111                                                                                          6,7
35112                                                                                            3
35114                                                                                            6
35115                                                                                            6
35116                                                                                            6
35117                                                                                          6,7
35118                                                                                          6,7
35119                                                                                            6
35120                                                                                            3
35121                                                                                        3,4,6
35124                                                                                            6
35125                                                                                            3
35126                                                                                            6
35127                                                                                          6,7
35128                                                                                            3
35130                                                                                          4,6
35131                                                                                            3
35133                                                                                          3,6
35135                                                                                            3
35136                                                                                            6
35139                                                                                            6
35143                                                                                            6
35146                                                                                          3,6
35147                                                                                            6
35148                                                                                          4,6
35149                                                                                            3
35150                                                                                          3,6
35151                                                                                          3,6
35160                                                                                            3
35171                                                                                            6
35172                                                                                            6
35173                                                                                          3,6
35175                                                                                          4,5
35176                                                                                            6
35178                                                                                          3,6
35179                                                                                          4,5
35180                                                                                            6
35183                                                                                            6
35184                                                                                            6
35186                                                                                            6
35187                                                                                            6
35188                                                                                          6,7
35203                                                                                            7
35204                                                                                            7
35205                                                                                          6,7
35206                                                                                          6,7
35207                                                                                          6,7
35208                                                                                            7
35209                                                                                          6,7
35210                                                                                          6,7
35211                                                                                          6,7
35212                                                                                          6,7
35213                                                                                          6,7
35214                                                                                          6,7
35215                                                                                          6,7
35216                                                                                            6
35217                                                                                          6,7
35218                                                                                            7
35221                                                                                            7
35222                                                                                          6,7
35223                                                                                          6,7
35224                                                                                          6,7
35226                                                                                          6,7
35228                                                                                            7
35229                                                                                            6
35233                                                                                            7
35234                                                                                            7
35235                                                                                          6,7
35242                                                                                            6
35243                                                                                            6
35244                                                                                          6,7
35254                                                                                            7
35401                                                                                          4,7
35404                                                                                          4,7
35405                                                                                            7
35406                                                                                          4,7
35441                                                                                            7
35442                                                                                            7
35443                                                                                            7
35444                                                                                        4,6,7
35446                                                                                          4,7
35447                                                                                            7
35452                                                                                          4,7
35453                                                                                          4,7
35456                                                                                          6,7
35457                                                                                            4
35458                                                                                            4
35459                                                                                            7
35460                                                                                            7
35461                                                                                            7
35462                                                                                            7
35463                                                                                            7
35464                                                                                            7
35466                                                                                          4,7
35469                                                                                            7
35470                                                                                            7
35473                                                                                          4,7
35474                                                                                            7
35475                                                                                            4
35476                                                                                          4,7
35477                                                                                            7
35480                                                                                          4,7
35481                                                                                            7
35490                                                                                          4,7
35501                                                                                            4
35503                                                                                            4
35504                                                                                            4
35540                                                                                            4
35541                                                                                            4
35542                                                                                            4
35543                                                                                            4
35544                                                                                            4
35545                                                                                            4
35546                                                                                            4
35548                                                                                            4
35549                                                                                            4
35550                                                                                            4
35552                                                                                            4
35553                                                                                            4
35554                                                                                            4
35555                                                                                          4,7
35559                                                                                            4
35563                                                                                            4
35564                                                                                            4
35565                                                                                            4
35570                                                                                            4
35571                                                                                            4
