ARIZONA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

84531                                                                                            1
84536                                                                                            1
85003                                                                                            7
85004                                                                                            7
85006                                                                                            7
85007                                                                                            7
85008                                                                                          7,9
85009                                                                                            7
85012                                                                                          7,9
85013                                                                                          7,9
85014                                                                                          7,9
85015                                                                                            7
85016                                                                                        6,7,9
85017                                                                                            7
85018                                                                                        6,7,9
85019                                                                                            7
85020                                                                                          6,9
85021                                                                                        6,7,9
85022                                                                                            6
85023                                                                                            6
85024                                                                                            6
85027                                                                                            6
85028                                                                                            6
85029                                                                                            6
85031                                                                                            7
85032                                                                                            6
85033                                                                                          3,7
85034                                                                                          7,9
85035                                                                                            7
85037                                                                                        3,7,8
85040                                                                                          7,9
85041                                                                                            7
85042                                                                                            7
85043                                                                                          3,7
85044                                                                                          7,9
85045                                                                                            9
85048                                                                                          7,9
85050                                                                                            6
85051                                                                                        6,7,9
85053                                                                                            6
85054                                                                                            6
85083                                                                                          6,8
85085                                                                                          6,8
85086                                                                                          6,8
85087                                                                                        4,6,8
85118                                                                                            4
85119                                                                                            4
85120                                                                                          4,5
85121                                                                                            1
85122                                                                                            1
85123                                                                                          1,3
85128                                                                                          1,4
85131                                                                                            1
85132                                                                                          1,4
85135                                                                                            1
85137                                                                                          1,4
85138                                                                                            1
85139                                                                                          1,3
85140                                                                                            4
85141                                                                                            1
85142                                                                                          4,5
85143                                                                                            4
85145                                                                                            1
85147                                                                                            1
85172                                                                                            1
85173                                                                                          1,4
85192                                                                                            1
85193                                                                                          1,3
85194                                                                                            1
85201                                                                                        5,6,9
85202                                                                                            9
85203                                                                                        5,6,9
85204                                                                                          5,9
85205                                                                                            5
85206                                                                                            5
85207                                                                                          4,5
85208                                                                                            5
85209                                                                                            5
85210                                                                                          5,9
85212                                                                                            5
85213                                                                                            5
85215                                                                                          4-6
85224                                                                                          5,9
85225                                                                                          5,9
85226                                                                                          1,9
85233                                                                                          5,9
85234                                                                                            5
85248                                                                                          1,5
85249                                                                                            5
85250                                                                                            6
85251                                                                                          6,9
85253                                                                                          6,9
85254                                                                                            6
85255                                                                                            6
85256                                                                                          6,9
85257                                                                                          6,9
85258                                                                                            6
85259                                                                                            6
85260                                                                                            6
85262                                                                                          4,6
85263                                                                                          4,6
85264                                                                                          4,6
85266                                                                                            6
85268                                                                                            6
85281                                                                                        6,7,9
85282                                                                                          7,9
85283                                                                                          7,9
85284                                                                                            9
85286                                                                                            5
85295                                                                                            5
85296                                                                                            5
85297                                                                                            5
85298                                                                                            5
85301                                                                                          6-8
85302                                                                                          6,8
85303                                                                                          7,8
85304                                                                                            8
85305                                                                                        3,7,8
85306                                                                                            8
85307                                                                                          3,8
85308                                                                                          6,8
85309                                                                                            8
85310                                                                                          6,8
85320                                                                                            4
85321                                                                                            3
85322                                                                                            3
85323                                                                                        3,7,8
85324                                                                                            4
85325                                                                                            4
85326                                                                                          3,4
85328                                                                                            4
85331                                                                                        4,6,8
85332                                                                                            4
85333                                                                                          3,4
85334                                                                                            4
85335                                                                                            8
85336                                                                                            3
85337                                                                                            3
85338                                                                                          3,8
85339                                                                                        1,3,7
85340                                                                                        3,4,8
85341                                                                                            3
85342                                                                                          4,8
85343                                                                                            3
85344                                                                                            4
85345                                                                                            8
85346                                                                                            4
85347                                                                                          3,4
85348                                                                                            4
85349                                                                                            3
85350                                                                                            3
85351                                                                                            8
85352                                                                                            4
85353                                                                                          3,7
85354                                                                                          3,4
85355                                                                                          4,8
85356                                                                                            4
85357                                                                                            4
85360                                                                                            4
85361                                                                                          4,8
85362                                                                                            4
85363                                                                                            8
85364                                                                                          3,4
85365                                                                                          3,4
85367                                                                                            4
85371                                                                                            4
85373                                                                                            8
85374                                                                                            8
85375                                                                                            8
85377                                                                                            6
85379                                                                                            8
85381                                                                                            8
85382                                                                                            8
85383                                                                                          4,8
85387                                                                                          4,8
85388                                                                                          4,8
85390                                                                                            4
85392                                                                                          3,8
85395                                                                                          3,8
85396                                                                                        3,4,8
85501                                                                                          1,4
85530                                                                                            1
85531                                                                                            1
85533                                                                                            1
85534                                                                                            1
85535                                                                                            1
85536                                                                                            1
85539                                                                                          1,4
85540                                                                                            1
85541                                                                                            4
85542                                                                                            1
85543                                                                                            1
85544                                                                                            4
85545                                                                                          1,4
85546                                                                                            1
85550                                                                                            1
85551                                                                                            1
85552                                                                                            1
85553                                                                                          1,4
85554                                                                                          1,4
85601                                                                                            3
