ARKANSAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

38769                                                                                            1
65729                                                                                            3
65733                                                                                            3
65761                                                                                            3
71601                                                                                            4
71602                                                                                            4
71603                                                                                          1,4
71630                                                                                            1
71631                                                                                            4
71635                                                                                            4
71638                                                                                          1,4
71639                                                                                            1
71640                                                                                            1
71642                                                                                            4
71643                                                                                            1
71644                                                                                          1,4
71646                                                                                            4
71647                                                                                            4
71651                                                                                            4
71652                                                                                            4
71653                                                                                            1
71654                                                                                            1
71655                                                                                          1,4
71658                                                                                            4
71659                                                                                            4
71660                                                                                            4
71661                                                                                          1,4
71662                                                                                            1
71663                                                                                          1,4
71665                                                                                            4
71666                                                                                            1
71667                                                                                          1,4
71670                                                                                          1,4
71671                                                                                            4
71674                                                                                            1
71675                                                                                            4
71676                                                                                          1,4
71677                                                                                            4
71701                                                                                            4
71711                                                                                            4
71720                                                                                            4
71722                                                                                            4
71724                                                                                            4
71725                                                                                            4
71726                                                                                            4
71730                                                                                            4
71740                                                                                            4
71742                                                                                            4
71743                                                                                            4
71744                                                                                            4
71745                                                                                            4
71747                                                                                            4
71749                                                                                            4
71751                                                                                            4
71752                                                                                            4
71753                                                                                            4
71758                                                                                            4
71759                                                                                            4
71762                                                                                            4
71763                                                                                            4
71764                                                                                            4
71765                                                                                            4
71766                                                                                            4
71770                                                                                            4
71772                                                                                            4
71801                                                                                            4
71820                                                                                            4
71822                                                                                            4
71823                                                                                            4
71825                                                                                            4
71826                                                                                            4
71827                                                                                            4
71832                                                                                            4
71833                                                                                            4
71834                                                                                            4
71835                                                                                            4
71836                                                                                            4
71837                                                                                            4
71838                                                                                            4
71839                                                                                            4
71841                                                                                            4
71842                                                                                            4
71845                                                                                            4
71846                                                                                            4
71847                                                                                            4
71851                                                                                            4
71852                                                                                            4
71853                                                                                            4
71854                                                                                            4
71855                                                                                            4
71857                                                                                            4
71858                                                                                            4
71859                                                                                            4
71860                                                                                            4
71861                                                                                            4
71862                                                                                            4
71865                                                                                            4
71866                                                                                            4
71901                                                                                            4
71909                                                                                          2,4
71913                                                                                            4
71921                                                                                            4
71922                                                                                            4
71923                                                                                            4
71929                                                                                            4
71933                                                                                            4
71935                                                                                            4
71937                                                                                            4
71940                                                                                            4
71941                                                                                            4
71943                                                                                            4
71944                                                                                            4
71945                                                                                            4
71949                                                                                            4
71950                                                                                            4
71952                                                                                            4
71953                                                                                            4
71956                                                                                            4
71957                                                                                            4
71958                                                                                            4
71959                                                                                            4
71960                                                                                            4
71961                                                                                            4
71962                                                                                            4
71964                                                                                            4
71965                                                                                            4
71968                                                                                            4
71969                                                                                            4
71970                                                                                            4
71971                                                                                            4
71972                                                                                            4
71973                                                                                            4
71998                                                                                            4
71999                                                                                            4
72001                                                                                            2
72002                                                                                            2
72003                                                                                            1
72004                                                                                          1,4
72005                                                                                            1
72006                                                                                            1
72007                                                                                            1
72010                                                                                            2
72011                                                                                            2
72012                                                                                            2
72013                                                                                            2
72014                                                                                            1
72015                                                                                          2,4
72016                                                                                            2
72017                                                                                            1
72019                                                                                            2
72020                                                                                          1,2
72021                                                                                            1
72022                                                                                            2
72023                                                                                          1,2
72024                                                                                            1
72025                                                                                          2,4
72026                                                                                            1
72027                                                                                            2
72029                                                                                            1
72030                                                                                            2
72031                                                                                          1,2
72032                                                                                            2
72034                                                                                            2
72035                                                                                            2
72036                                                                                            1
72037                                                                                            1
72038                                                                                            1
72039                                                                                            2
72040                                                                                            1
72041                                                                                            1
72042                                                                                            1
72044                                                                                            1
72045                                                                                            2
72046                                                                                        1,2,4
72047                                                                                            2
72048                                                                                            1
72051                                                                                            1
72055                                                                                            1
72057                                                                                            4
72058                                                                                            2
72059                                                                                            1
72060                                                                                          1,2
72061                                                                                            2
72063                                                                                          2,3
72064                                                                                            1
72065                                                                                          2,4
72067                                                                                          1,2
72068                                                                                            2
72069                                                                                            1
72070                                                                                            2
72072                                                                                            1
72073                                                                                            1
72074                                                                                            1
72076                                                                                          1,2
72079                                                                                            4
72080                                                                                          2,3
72081                                                                                            2
72082                                                                                            2
72083                                                                                            1
72084                                                                                            4
72085                                                                                            2
72086                                                                                            1
72087                                                                                          2,4
72088                                                                                          1,2
72099                                                                                            2
72101                                                                                            1
72102                                                                                            2
72103                                                                                            2
72104                                                                                          2,4
72106                                                                                            2
72107                                                                                            2
72108                                                                                            1
72110                                                                                            2
72111                                                                                            2
72112                                                                                            1
72113                                                                                            2
72114                                                                                            2
72116                                                                                            2
72117                                                                                            2
72118                                                                                            2
72119                                                                                            2
72120                                                                                            2
72121                                                                                          1,2
72122                                                                                            2
72123                                                                                            1
72125                                                                                            2
72126                                                                                            2
72127                                                                                            2
72128                                                                                            4
72129                                                                                            4
72130                                                                                            1
72131                                                                                          1,2
72132                                                                                            4
72134                                                                                            1
72135                                                                                            2
72136                                                                                            2
72137                                                                                          1,2
72139                                                                                            2
72140                                                                                            1
72141                                                                                            2
72142                                                                                          1,2
72143                                                                                          1,2
72149                                                                                            2
72150                                                                                            4
72152                                                                                          1,4
72153                                                                                          1,2
72156                                                                                            2
72157                                                                                            2
72160                                                                                            1
72165                                                                                            1
72166                                                                                            1
72167                                                                                          2,4
72168                                                                                          1,4
72169                                                                                            1
72170                                                                                            1
72173                                                                                            2
72175                                                                                          1,4
72176                                                                                            1
72179                                                                                            1
72181                                                                                            2
72201                                                                                            2
72202                                                                                            2
72204                                                                                            2
72205                                                                                            2
72206                                                                                            2
72207                                                                                            2
72209                                                                                            2
72210                                                                                            2
72211                                                                                            2
72212                                                                                            2
72223                                                                                            2
72227                                                                                            2
72301                                                                                            1
72311                                                                                            1
72315                                                                                            1
72320                                                                                            1
72321                                                                                            1
72322                                                                                            1
72324                                                                                            1
72325                                                                                            1
72326                                                                                            1
72327                                                                                            1
72328                                                                                            1
72329                                                                                            1
72330                                                                                            1
72331                                                                                            1
72332                                                                                            1
72333                                                                                            1
72335                                                                                            1
72338                                                                                            1
72339                                                                                            1
72340                                                                                            1
72341                                                                                            1
72342                                                                                            1
72346                                                                                            1
72347                                                                                            1
72348                                                                                            1
72350                                                                                            1
72351                                                                                            1
72353                                                                                            1
72354                                                                                            1
72355                                                                                            1
72358                                                                                            1
72359                                                                                            1
72360                                                                                            1
72364                                                                                            1
72365                                                                                            1
72366                                                                                            1
72367                                                                                            1
72368                                                                                            1
72370                                                                                            1
72372                                                                                            1
72373                                                                                            1
72374                                                                                            1
72376                                                                                            1
72377                                                                                            1
72379                                                                                            1
72383                                                                                            1
72384                                                                                            1
72386                                                                                            1
72389                                                                                            1
72390                                                                                            1
72392                                                                                            1
72394                                                                                            1
72395                                                                                            1
72396                                                                                            1
72401                                                                                            1
72404                                                                                            1
72410                                                                                            1
72411                                                                                            1
72412                                                                                            1
72413                                                                                            1
72414                                                                                            1
72415                                                                                            1
