CALIFORNIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

89010                                                                                            8
89019                                                                                            8
89060                                                                                            8
89061                                                                                            8
89439                                                                                            1
90001                                                                                     40,43,44
90002                                                                                        43,44
90003                                                                                     37,40,43
90004                                                                                     28,33,34
90005                                                                                     33,34,37
90006                                                                                           34
90007                                                                                     34,37,40
90008                                                                                           37
90010                                                                                     33,34,37
90011                                                                                        37,40
90012                                                                                           34
90013                                                                                           34
90014                                                                                           34
90015                                                                                     34,37,40
90016                                                                                           37
90017                                                                                           34
90018                                                                                        34,37
90019                                                                                        34,37
90020                                                                                        33,34
90021                                                                                        34,40
90022                                                                                  27,34,38,40
90023                                                                                        34,40
90024                                                                                        33,37
90025                                                                                        33,37
90026                                                                                        28,34
90027                                                                                           28
90028                                                                                           28
90029                                                                                           28
90031                                                                                        28,34
90032                                                                                           34
90033                                                                                           34
90034                                                                                           37
90035                                                                                        33,37
90036                                                                                     28,33,37
90037                                                                                        37,40
90038                                                                                        28,34
90039                                                                                           28
90040                                                                                           40
90041                                                                                           34
90042                                                                                     27,28,34
90043                                                                                           37
90044                                                                                     37,43,44
90045                                                                                        37,43
90046                                                                                     28,30,33
90047                                                                                        37,43
90048                                                                                     28,33,37
90049                                                                                        30,33
90056                                                                                           37
90057                                                                                           34
90058                                                                                        34,40
90059                                                                                        43,44
90061                                                                                        43,44
90062                                                                                           37
90063                                                                                        34,40
90064                                                                                        33,37
90065                                                                                        28,34
90066                                                                                     33,37,43
90067                                                                                           37
90068                                                                                        28,30
90069                                                                                           28
90071                                                                                           34
90073                                                                                           33
90077                                                                                        30,33
90079                                                                                           34
90089                                                                                        34,37
90090                                                                                           34
90094                                                                                           43
90095                                                                                           33
90201                                                                                           40
90210                                                                                     28,30,33
90211                                                                                           33
90212                                                                                        33,37
90220                                                                                           44
90221                                                                                        40,44
90222                                                                                           44
90230                                                                                        37,43
90232                                                                                           37
90240                                                                                           40
90241                                                                                        38,40
90242                                                                                           40
90245                                                                                           33
90247                                                                                           43
90248                                                                                        43,44
90249                                                                                           43
90250                                                                                           43
90254                                                                                           33
90255                                                                                        40,44
90260                                                                                           43
90262                                                                                        40,44
90263                                                                                           33
90265                                                                                        26,33
90266                                                                                           33
90270                                                                                           40
90272                                                                                           33
90274                                                                                           33
90275                                                                                           33
90277                                                                                           33
90278                                                                                           33
90280                                                                                           44
90290                                                                                           33
90291                                                                                        33,37
90292                                                                                        33,37
90293                                                                                        33,43
90301                                                                                           43
90302                                                                                        37,43
90303                                                                                           43
90304                                                                                           43
90305                                                                                           43
90401                                                                                           33
90402                                                                                           33
90403                                                                                           33
90404                                                                                           33
90405                                                                                        33,37
90501                                                                                           43
90502                                                                                           43
90503                                                                                        33,43
90504                                                                                        33,43
90505                                                                                        33,43
90506                                                                                           43
90601                                                                                        32,38
90602                                                                                           38
90603                                                                                           38
90604                                                                                           38
90605                                                                                           38
90606                                                                                           38
90620                                                                                     39,46,47
90621                                                                                        39,46
90623                                                                                        38,47
90630                                                                                        38,47
90631                                                                                        38,39
90638                                                                                        38,39
90640                                                                                     27,38,40
90650                                                                                        38,40
90660                                                                                        32,38
90670                                                                                        38,40
90680                                                                                           47
90701                                                                                           38
90703                                                                                           38
90704                                                                                           47
90706                                                                                        38,40
90710                                                                                        33,43
90712                                                                                        38,47
90713                                                                                        38,47
90715                                                                                           38
90716                                                                                           38
90717                                                                                        33,43
90720                                                                                        47,48
90723                                                                                           40
90731                                                                                     33,44,47
90732                                                                                     33,43,44
90740                                                                                        47,48
90742                                                                                           48
90743                                                                                           48
90744                                                                                        33,44
90745                                                                                           44
90746                                                                                           44
90747                                                                                           44
90755                                                                                           47
90802                                                                                        44,47
90803                                                                                           47
90804                                                                                           47
90805                                                                                     38,44,47
90806                                                                                           47
90807                                                                                           47
90808                                                                                           47
90810                                                                                        44,47
90813                                                                                        44,47
90814                                                                                           47
90815                                                                                           47
90822                                                                                           47
90831                                                                                           47
91001                                                                                           27
91006                                                                                        27,32
91007                                                                                           27
91008                                                                                        27,32
91010                                                                                           32
91011                                                                                        27,28
91016                                                                                        27,32
91020                                                                                           28
91024                                                                                           27
91030                                                                                        27,34
91040                                                                                        28,29
91042                                                                                     25,27,28
91046                                                                                           28
91101                                                                                           27
91103                                                                                        27,28
91104                                                                                           27
91105                                                                                     27,28,34
91106                                                                                           27
91107                                                                                           27
91108                                                                                           27
91201                                                                                           28
91202                                                                                           28
91203                                                                                           28
91204                                                                                           28
91205                                                                                           28
91206                                                                                           28
91207                                                                                           28
91208                                                                                           28
91210                                                                                           28
91214                                                                                           28
91301                                                                                           33
91302                                                                                        30,33
91303                                                                                           30
91304                                                                                        25,30
91306                                                                                           30
91307                                                                                           30
91311                                                                                        25,30
91316                                                                                           30
91320                                                                                           26
91321                                                                                        25,29
91324                                                                                           30
91325                                                                                           30
91326                                                                                        25,30
91330                                                                                           30
91331                                                                                        28,29
91335                                                                                           30
91340                                                                                           29
91342                                                                                        28-30
91343                                                                                        29,30
91344                                                                                     25,29,30
91345                                                                                           29
91350                                                                                           25
91351                                                                                           25
91352                                                                                        28,29
91354                                                                                           25
91355                                                                                           25
91356                                                                                           30
91360                                                                                           26
91361                                                                                        26,33
91362                                                                                        25,26
91364                                                                                        30,33
91367                                                                                           30
91371                                                                                           30
91377                                                                                           26
91381                                                                                           25
91384                                                                                           25
91387                                                                                     25,28,29
91390                                                                                        25,28
91401                                                                                        29,30
91402                                                                                           29
91403                                                                                           30
