COLORADO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

80002                                                                                            7
80003                                                                                            7
80004                                                                                            7
80005                                                                                            7
80007                                                                                          2,7
80010                                                                                            6
80011                                                                                            6
80012                                                                                          1,6
80013                                                                                          4,6
80014                                                                                          1,6
80015                                                                                          4,6
80016                                                                                          4,6
80017                                                                                            6
80018                                                                                          4,6
80019                                                                                            6
80020                                                                                          2,7
80021                                                                                          2,7
80022                                                                                          6,7
80023                                                                                        2,6,7
80024                                                                                            7
80025                                                                                            2
80026                                                                                            2
80027                                                                                            2
80030                                                                                            7
80031                                                                                            7
80033                                                                                            7
80045                                                                                            6
80101                                                                                            4
80102                                                                                          4,6
80103                                                                                            4
80104                                                                                            4
80105                                                                                            4
80106                                                                                          4,5
80107                                                                                            4
80108                                                                                            4
80109                                                                                            4
80110                                                                                          1,6
80111                                                                                          1,6
80112                                                                                          4,6
80113                                                                                          1,6
80116                                                                                            4
80117                                                                                            4
80118                                                                                            4
80120                                                                                          1,6
80121                                                                                          1,6
80122                                                                                            6
80123                                                                                        1,6,7
80124                                                                                          4,6
80125                                                                                          4,6
80126                                                                                          4,6
80127                                                                                        1,2,7
80128                                                                                        1,2,6
80129                                                                                            6
80130                                                                                          4,6
80131                                                                                            4
80132                                                                                            5
80133                                                                                          4,5
80134                                                                                            4
80135                                                                                          2,4
80136                                                                                            4
80137                                                                                          4,6
80138                                                                                          4,6
80202                                                                                            1
80203                                                                                            1
80204                                                                                            1
80205                                                                                            1
80206                                                                                            1
80207                                                                                            1
80209                                                                                            1
80210                                                                                            1
80211                                                                                            1
80212                                                                                          1,7
80214                                                                                          1,7
80215                                                                                            7
80216                                                                                          1,7
80218                                                                                            1
80219                                                                                            1
80220                                                                                          1,6
80221                                                                                          1,7
80222                                                                                            1
80223                                                                                            1
80224                                                                                          1,6
80226                                                                                          1,7
80227                                                                                          1,7
80228                                                                                          2,7
80229                                                                                            7
80230                                                                                            1
80231                                                                                          1,6
80232                                                                                          1,7
80233                                                                                            7
80234                                                                                          2,7
80235                                                                                          1,7
80236                                                                                            1
80237                                                                                            1
80238                                                                                            1
80239                                                                                          1,7
80241                                                                                          6,7
80246                                                                                            1
80247                                                                                          1,6
80249                                                                                            1
80260                                                                                            7
80264                                                                                            1
80290                                                                                            1
80293                                                                                            1
80294                                                                                            1
80301                                                                                            2
80302                                                                                            2
80303                                                                                            2
80304                                                                                            2
80305                                                                                            2
80310                                                                                            2
80401                                                                                          2,7
80403                                                                                          2,7
80419                                                                                            7
80420                                                                                            5
80421                                                                                          2,5
80422                                                                                            2
80423                                                                                          2,3
80424                                                                                            2
80425                                                                                            2
80426                                                                                            3
80427                                                                                            2
80428                                                                                            3
80432                                                                                            5
80433                                                                                            2
80434                                                                                            3
80435                                                                                            2
80436                                                                                            2
80438                                                                                            2
80439                                                                                            2
80440                                                                                            5
80442                                                                                            2
80443                                                                                            2
80444                                                                                            2
80446                                                                                            2
80447                                                                                            2
80448                                                                                          2,5
80449                                                                                            5
80451                                                                                            2
80452                                                                                            2
80453                                                                                            2
80454                                                                                            2
80455                                                                                            2
80456                                                                                            5
80457                                                                                            2
80459                                                                                            2
80461                                                                                            3
80463                                                                                            3
80465                                                                                          2,7
80466                                                                                            2
80467                                                                                            3
80468                                                                                            2
80469                                                                                            3
80470                                                                                            2
80471                                                                                            2
80473                                                                                            3
80475                                                                                            2
80476                                                                                            2
80477                                                                                            3
80478                                                                                            2
80479                                                                                            3
80480                                                                                            3
80481                                                                                            2
80482                                                                                            2
80483                                                                                            3
80487                                                                                            3
80488                                                                                            3
80497                                                                                            2
80498                                                                                            2
80501                                                                                            4
80503                                                                                          2,4
80504                                                                                          2,4
80510                                                                                            2
80511                                                                                            2
80512                                                                                            2
80513                                                                                          2,4
80514                                                                                            4
80515                                                                                            2
80516                                                                                          2,4
80517                                                                                            2
80520                                                                                            4
80521                                                                                            2
80524                                                                                          2,4
80525                                                                                            2
80526                                                                                            2
80528                                                                                            2
80530                                                                                            4
80532                                                                                            2
80534                                                                                          2,4
80535                                                                                            2
80536                                                                                            2
80537                                                                                          2,4
80538                                                                                            2
80540                                                                                            2
80542                                                                                            4
80543                                                                                            4
80544                                                                                            2
80545                                                                                            2
80546                                                                                            4
80547                                                                                            2
80549                                                                                          2,4
80550                                                                                          2,4
80601                                                                                          6,7
80602                                                                                          6,7
80603                                                                                        4,6,7
80610                                                                                            4
80611                                                                                            4
80612                                                                                          2,4
80615                                                                                            4
80620                                                                                            4
80621                                                                                            4
80622                                                                                            4
80623                                                                                            4
80624                                                                                            4
80631                                                                                            4
80634                                                                                            4
80640                                                                                          6,7
80642                                                                                          4,6
80643                                                                                          4,6
80644                                                                                            4
80645                                                                                            4
80648                                                                                            4
80649                                                                                            4
80650                                                                                            4
80651                                                                                            4
80652                                                                                            4
80653                                                                                            4
