CONNECTICUT CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

06001                                                                                            5
06002                                                                                            1
06010                                                                                            1
06013                                                                                          1,5
06016                                                                                            1
06018                                                                                            5
06019                                                                                            5
06020                                                                                            5
06021                                                                                            1
06022                                                                                            5
06023                                                                                            1
06024                                                                                            5
06026                                                                                            1
06027                                                                                            1
06029                                                                                            2
06031                                                                                            5
06032                                                                                            5
06033                                                                                          1,2
06035                                                                                            1
06037                                                                                            1
06039                                                                                            5
06040                                                                                            1
06042                                                                                            1
06043                                                                                            2
06051                                                                                            5
06052                                                                                          1,5
06053                                                                                            5
06057                                                                                            1
06058                                                                                          1,5
06059                                                                                            1
06060                                                                                            1
06061                                                                                            1
06062                                                                                          1,5
06063                                                                                            1
06065                                                                                            1
06066                                                                                            2
06067                                                                                            1
06068                                                                                            5
06069                                                                                            5
06070                                                                                            5
06071                                                                                            2
06073                                                                                            1
06074                                                                                            1
06076                                                                                            2
06078                                                                                            2
06081                                                                                            5
06082                                                                                            2
06084                                                                                            2
06085                                                                                            5
06088                                                                                            1
06089                                                                                            5
06090                                                                                            1
06091                                                                                            1
06092                                                                                            5
06093                                                                                            2
06095                                                                                            1
06096                                                                                            1
06098                                                                                            1
06103                                                                                            1
06105                                                                                            1
06106                                                                                            1
06107                                                                                          1,5
06108                                                                                            1
06109                                                                                            1
06110                                                                                            1
06111                                                                                            1
06112                                                                                            1
06114                                                                                            1
06117                                                                                            1
06118                                                                                            1
06119                                                                                            1
06120                                                                                            1
06160                                                                                            1
06226                                                                                            2
06231                                                                                            2
06232                                                                                            2
06234                                                                                            2
06235                                                                                            2
06237                                                                                            2
06238                                                                                            2
06239                                                                                            2
06241                                                                                            2
06242                                                                                            2
06243                                                                                            2
06247                                                                                            2
06248                                                                                            2
06249                                                                                            2
06250                                                                                            2
06254                                                                                            2
06255                                                                                            2
06256                                                                                            2
06259                                                                                            2
06260                                                                                            2
06262                                                                                            2
06263                                                                                            2
06264                                                                                            2
06266                                                                                            2
06268                                                                                            2
06269                                                                                            2
06277                                                                                            2
06278                                                                                            2
06279                                                                                            2
06280                                                                                            2
06281                                                                                            2
06282                                                                                            2
06320                                                                                            2
06330                                                                                            2
06331                                                                                            2
06332                                                                                            2
06333                                                                                            2
06334                                                                                            2
06335                                                                                            2
06336                                                                                            2
06339                                                                                            2
06340                                                                                            2
06350                                                                                            2
06351                                                                                            2
06353                                                                                            2
06354                                                                                            2
06355                                                                                            2
06357                                                                                            2
06359                                                                                            2
06360                                                                                            2
06365                                                                                            2
06370                                                                                            2
06371                                                                                            2
06373                                                                                            2
06374                                                                                            2
06375                                                                                            2
06376                                                                                            2
06377                                                                                            2
06378                                                                                            2
06379                                                                                            2
06380                                                                                            2
06382                                                                                            2
06384                                                                                            2
06385                                                                                            2
06387                                                                                            2
06389                                                                                            2
06401                                                                                            3
06403                                                                                            3
06405                                                                                            3
06409                                                                                            2
06410                                                                                          3,5
06412                                                                                            2
06413                                                                                            2
06414                                                                                            2
06415                                                                                            2
06416                                                                                            1
06417                                                                                            2
06418                                                                                            3
06419                                                                                            2
06420                                                                                            2
06422                                                                                            3
06423                                                                                            2
06424                                                                                            2
06426                                                                                            2
06437                                                                                            3
06438                                                                                            2
06441                                                                                            2
06442                                                                                            2
06443                                                                                            2
06444                                                                                            1
06447                                                                                            2
06450                                                                                            5
06451                                                                                          1,5
06455                                                                                            3
06456                                                                                            2
06457                                                                                          1,3
06460                                                                                            3
06461                                                                                            3
06467                                                                                            1
06468                                                                                            4
06469                                                                                            2
06470                                                                                            5
06471                                                                                            3
06472                                                                                            3
06473                                                                                            3
06475                                                                                            2
06477                                                                                            3
06478                                                                                            4
06479                                                                                            1
06480                                                                                            1
06481                                                                                            3
06482                                                                                            5
06483                                                                                            3
06484                                                                                          3,4
06488                                                                                            5
06489                                                                                            1
06492                                                                                          3,5
06498                                                                                            2
06510                                                                                            3
06511                                                                                            3
06512                                                                                            3
06513                                                                                            3
06514                                                                                            3
06515                                                                                            3
06516                                                                                            3
06517                                                                                            3
06518                                                                                            3
06519                                                                                            3
06524                                                                                            3
06525                                                                                            3
06604                                                                                            4
06605                                                                                            4
06606                                                                                            4
06607                                                                                          3,4
06608                                                                                            4
06610                                                                                            4
06611                                                                                          3,4
06612                                                                                            4
06614                                                                                            3
06615                                                                                            3
06702                                                                                            5
06704                                                                                            5
06705                                                                                            5
06706                                                                                          3,5
06708                                                                                          3,5
06710                                                                                            5
06712                                                                                            3
06716                                                                                            5
06750                                                                                            5
06751                                                                                            5
06752                                                                                            5
06754                                                                                            5
06755                                                                                            5
06756                                                                                            5
06757                                                                                            5
06758                                                                                            5
06759                                                                                          1,5
06762                                                                                            5
06763                                                                                            5
06770                                                                                          3,5
06776                                                                                            5
06777                                                                                            5
06778                                                                                            5
06779                                                                                            5
06782                                                                                            5
06783                                                                                            5
06784                                                                                            5
06785                                                                                            5
06786                                                                                            5
06787                                                                                            5
06790                                                                                          1,5
06791                                                                                            5
06793                                                                                            5
06794                                                                                            5
06795                                                                                            5
06796                                                                                            5
06798                                                                                            5
06801                                                                                            5
06804                                                                                            5
06807                                                                                            4
06810                                                                                            5
06811                                                                                            5
06812                                                                                            5
06820                                                                                            4
06824                                                                                            4
06825                                                                                            4
06830                                                                                            4
06831                                                                                            4
06840                                                                                            4
06850                                                                                            4
06851                                                                                            4
06853                                                                                            4
06854                                                                                            4
06855                                                                                            4
06856                                                                                            4
