FLORIDA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

32003                                                                                          3,5
32008                                                                                            3
32009                                                                                            4
32011                                                                                            4
32024                                                                                            3
32025                                                                                            3
32026                                                                                            3
32033                                                                                            6
32034                                                                                            4
32038                                                                                            3
32040                                                                                            4
32043                                                                                          3,5
32044                                                                                            3
32046                                                                                            4
32052                                                                                            3
32053                                                                                            3
32054                                                                                            3
32055                                                                                            3
32058                                                                                            3
32059                                                                                            3
32060                                                                                            3
32061                                                                                            3
32062                                                                                            3
32063                                                                                            4
32064                                                                                            3
32065                                                                                            3
32066                                                                                            3
32068                                                                                            3
32071                                                                                            3
32072                                                                                            4
32073                                                                                          3,5
32079                                                                                            3
32080                                                                                            6
32081                                                                                            6
32082                                                                                            6
32083                                                                                            3
32084                                                                                            6
32086                                                                                            6
32087                                                                                            4
32091                                                                                            3
32092                                                                                            6
32094                                                                                            3
32095                                                                                            6
32096                                                                                            3
32097                                                                                            4
32102                                                                                          5,6
32110                                                                                            6
32112                                                                                            6
32113                                                                                         5,11
32114                                                                                            6
32117                                                                                            6
32118                                                                                            6
32119                                                                                            6
32124                                                                                            6
32127                                                                                            6
32128                                                                                            6
32129                                                                                            6
32130                                                                                            6
32131                                                                                            6
32132                                                                                            6
32133                                                                                           11
32134                                                                                       5,6,11
32136                                                                                            6
32137                                                                                            6
32139                                                                                            6
32140                                                                                          5,6
32141                                                                                            6
32145                                                                                            6
32147                                                                                            6
32148                                                                                          5,6
32157                                                                                            6
32159                                                                                        10,11
32162                                                                                           11
32164                                                                                            6
32168                                                                                          6,7
32169                                                                                            6
32174                                                                                            6
32176                                                                                            6
32177                                                                                          5,6
32179                                                                                           11
32180                                                                                            6
32181                                                                                            6
32187                                                                                            6
32189                                                                                            6
32190                                                                                            6
32193                                                                                            6
32195                                                                                           11
32202                                                                                          4,5
32204                                                                                          4,5
32205                                                                                          4,5
32206                                                                                            5
32207                                                                                          4,5
32208                                                                                            5
32209                                                                                            5
32210                                                                                          4,5
32211                                                                                          4,5
32212                                                                                          4,5
