GEORGIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

30002                                                                                            4
30004                                                                                       6,7,11
30005                                                                                          6,7
30008                                                                                        11,13
30009                                                                                            6
30011                                                                                           10
30012                                                                                         4,10
30013                                                                                            4
30014                                                                                         4,10
30016                                                                                         4,10
30017                                                                                          4,7
30019                                                                                         7,10
30021                                                                                            4
30022                                                                                            6
30024                                                                                          6,7
30025                                                                                           10
30028                                                                                       7,9,11
30030                                                                                          4,5
30032                                                                                          4,5
30033                                                                                          4-6
30034                                                                                          4,5
30035                                                                                            4
30038                                                                                            4
30039                                                                                            4
30040                                                                                       7,9,11
30041                                                                                          7,9
30043                                                                                         7,10
30044                                                                                            7
30045                                                                                         7,10
30046                                                                                            7
30047                                                                                          4,7
30052                                                                                       4,7,10
30054                                                                                         4,10
30055                                                                                           10
30056                                                                                           10
30058                                                                                            4
30060                                                                                        11,13
30062                                                                                         6,11
30064                                                                                        11,13
30066                                                                                         6,11
30067                                                                                         6,11
30068                                                                                         6,11
30070                                                                                            4
30071                                                                                            7
30072                                                                                            4
30075                                                                                         6,11
30076                                                                                            6
30078                                                                                          4,7
30079                                                                                            4
30080                                                                                        11,13
30082                                                                                        11,13
30083                                                                                            4
30084                                                                                          4,6
30087                                                                                            4
30088                                                                                            4
30092                                                                                          6,7
30093                                                                                          4,7
30094                                                                                            4
30096                                                                                            7
30097                                                                                          6,7
30101                                                                                        11,14
30102                                                                                         6,11
30103                                                                                        11,14
30104                                                                                        11,14
30105                                                                                           14
30106                                                                                           13
30107                                                                                         9,11
30108                                                                                            3
30110                                                                                         3,14
30113                                                                                           14
30114                                                                                           11
30115                                                                                           11
30116                                                                                            3
30117                                                                                            3
30118                                                                                            3
30120                                                                                           11
30121                                                                                           11
30122                                                                                           13
30124                                                                                           14
30125                                                                                           14
30126                                                                                           13
30127                                                                                     11,13,14
30132                                                                                           14
30134                                                                                        13,14
30135                                                                                           13
30137                                                                                           11
30139                                                                                        11,14
30141                                                                                        13,14
30143                                                                                      9,11,14
30144                                                                                         6,11
30145                                                                                        11,14
30147                                                                                           14
30148                                                                                            9
30149                                                                                           14
30152                                                                                           11
30153                                                                                           14
30157                                                                                        11,14
30161                                                                                        11,14
30164                                                                                           10
30165                                                                                           14
30168                                                                                           13
30170                                                                                            3
30171                                                                                        11,14
30173                                                                                           14
30175                                                                                         9,14
30176                                                                                           14
30177                                                                                            9
30178                                                                                        11,14
30179                                                                                         3,14
30180                                                                                      3,13,14
30182                                                                                         3,14
30183                                                                                        11,14
30184                                                                                           11
30185                                                                                         3,13
30187                                                                                           13
30188                                                                                         6,11
30189                                                                                           11
30204                                                                                          3,8
30205                                                                                            3
30206                                                                                            3
30213                                                                                           13
30214                                                                                         3,13
30215                                                                                         3,13
30216                                                                                           10
30217                                                                                            3
30218                                                                                            3
30220                                                                                            3
30222                                                                                            3
30223                                                                                            3
30224                                                                                            3
30228                                                                                         3,13
30230                                                                                            3
30233                                                                                       3,8,10
30234                                                                                         3,10
30236                                                                                         5,13
30238                                                                                         3,13
30240                                                                                            3
30241                                                                                            3
30248                                                                                         3,10
30250                                                                                           13
30251                                                                                            3
30252                                                                                    3,4,10,13
30253                                                                                      3,10,13
30256                                                                                            3
30257                                                                                            3
30258                                                                                            3
30259                                                                                            3
30260                                                                                         5,13
30263                                                                                            3
30265                                                                                            3
30268                                                                                         3,13
30269                                                                                            3
30273                                                                                         5,13
30274                                                                                         5,13
30275                                                                                            3
30276                                                                                            3
30277                                                                                            3
30281                                                                                       4,5,13
30284                                                                                            3
30285                                                                                            3
30286                                                                                            3
30288                                                                                            5
30289                                                                                            3
30290                                                                                         3,13
30291                                                                                           13
30292                                                                                            3
30293                                                                                            3
30294                                                                                       4,5,13
30295                                                                                            3
30296                                                                                         5,13
30297                                                                                         5,13
30303                                                                                            5
30305                                                                                         5,11
30306                                                                                            5
30307                                                                                            5
30308                                                                                            5
30309                                                                                            5
30310                                                                                            5
30311                                                                                            5
30312                                                                                            5
30313                                                                                            5
30314                                                                                            5
30315                                                                                            5
30316                                                                                            5
30317                                                                                            5
30318                                                                                            5
30319                                                                                       5,6,11
30322                                                                                            5
30324                                                                                          5,6
30326                                                                                         5,11
30327                                                                                         5,11
30328                                                                                            6
30329                                                                                          4-6
30331                                                                                         5,13
30332                                                                                            5
30334                                                                                            5
30336                                                                                            5
30337                                                                                         5,13
30338                                                                                            6
30339                                                                                         6,11
30340                                                                                          6,7
30341                                                                                            6
30342                                                                                       5,6,11
30344                                                                                         5,13
30345                                                                                          4-6
30346                                                                                            6
30349                                                                                         5,13
30350                                                                                            6
30354                                                                                            5
30360                                                                                          6,7
30363                                                                                            5
30401                                                                                           12
30410                                                                                           12
30411                                                                                         8,12
30412                                                                                           12
30413                                                                                           10
30415                                                                                           12
