HAWAII CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

96701                                                                                            1
96703                                                                                            2
96704                                                                                            2
96705                                                                                            2
96706                                                                                            1
96707                                                                                          1,2
96708                                                                                            2
96710                                                                                            2
96712                                                                                            2
96713                                                                                            2
96714                                                                                            2
96716                                                                                            2
96717                                                                                            2
96719                                                                                            2
96720                                                                                            2
96722                                                                                            2
96725                                                                                            2
96726                                                                                            2
96727                                                                                            2
96728                                                                                            2
96729                                                                                            2
96730                                                                                            2
96731                                                                                            2
96732                                                                                            2
96734                                                                                            2
96737                                                                                            2
96738                                                                                            2
96740                                                                                            2
96741                                                                                            2
96742                                                                                            2
96743                                                                                            2
96744                                                                                            2
96746                                                                                            2
96747                                                                                            2
96748                                                                                            2
96749                                                                                            2
96750                                                                                            2
96751                                                                                            2
96752                                                                                            2
96753                                                                                            2
96754                                                                                            2
96755                                                                                            2
96756                                                                                            2
96757                                                                                            2
96759                                                                                            2
96760                                                                                            2
96761                                                                                            2
96762                                                                                            2
96763                                                                                            2
96764                                                                                            2
96765                                                                                            2
96766                                                                                            2
96768                                                                                            2
96769                                                                                            2
96770                                                                                            2
96771                                                                                            2
96772                                                                                            2
96773                                                                                            2
96774                                                                                            2
96776                                                                                            2
96777                                                                                            2
96778                                                                                            2
96779                                                                                            2
96780                                                                                            2
96781                                                                                            2
96782                                                                                            1
96783                                                                                            2
96785                                                                                            2
96786                                                                                            2
96789                                                                                          1,2
96790                                                                                            2
96791                                                                                            2
96792                                                                                            2
96793                                                                                            2
96795                                                                                            2
96796                                                                                            2
96797                                                                                          1,2
96813                                                                                            1
96814                                                                                            1
96815                                                                                            1
96816                                                                                            1
96817                                                                                            1
96818                                                                                            1
96819                                                                                            1
96821                                                                                            1
96822                                                                                            1
96825                                                                                          1,2
96826                                                                                            1
96850                                                                                            1
96853                                                                                            1
96857                                                                                            2
96859                                                                                            1
96860                                                                                            1
96863                                                                                            2
