IDAHO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

59847                                                                                            1
83111                                                                                            2
83120                                                                                            2
83201                                                                                            2
83202                                                                                            2
83203                                                                                            2
83204                                                                                            2
83209                                                                                            2
83210                                                                                            2
83211                                                                                            2
83212                                                                                            2
83213                                                                                            2
83214                                                                                            2
83215                                                                                            2
83217                                                                                            2
83218                                                                                            2
83220                                                                                            2
83221                                                                                            2
83223                                                                                            2
83226                                                                                            2
83227                                                                                            2
83228                                                                                            2
83232                                                                                            2
83233                                                                                            2
83234                                                                                            2
83235                                                                                            2
83236                                                                                            2
83237                                                                                            2
83238                                                                                            2
83239                                                                                            2
83241                                                                                            2
83243                                                                                            2
83244                                                                                            2
83245                                                                                            2
83246                                                                                            2
83250                                                                                            2
83251                                                                                            2
83252                                                                                            2
83253                                                                                            2
83254                                                                                            2
83255                                                                                            2
83261                                                                                            2
83262                                                                                            2
83263                                                                                            2
83271                                                                                            2
83272                                                                                            2
83274                                                                                            2
83276                                                                                            2
83277                                                                                            2
83278                                                                                            2
83281                                                                                            2
83283                                                                                            2
83285                                                                                            2
83286                                                                                            2
83287                                                                                            2
83301                                                                                            2
83302                                                                                          1,2
83311                                                                                            2
83312                                                                                            2
83313                                                                                            2
83314                                                                                            2
83316                                                                                          1,2
83318                                                                                            2
83320                                                                                            2
83321                                                                                            2
83322                                                                                            2
83323                                                                                            2
83324                                                                                            2
83325                                                                                            2
83327                                                                                            2
83328                                                                                            2
83330                                                                                            2
83332                                                                                            2
83333                                                                                            2
83334                                                                                            2
83335                                                                                            2
83336                                                                                            2
83337                                                                                            2
83338                                                                                            2
83340                                                                                            2
83341                                                                                            2
83342                                                                                            2
83344                                                                                            2
83346                                                                                            2
83347                                                                                            2
83348                                                                                            2
83349                                                                                            2
83350                                                                                            2
83352                                                                                            2
83353                                                                                            2
83354                                                                                            2
83355                                                                                            2
83401                                                                                            2
83402                                                                                            2
83404                                                                                            2
83406                                                                                            2
83420                                                                                            2
83421                                                                                            2
83422                                                                                            2
83423                                                                                            2
83424                                                                                            2
83425                                                                                            2
83427                                                                                            2
83428                                                                                            2
83429                                                                                            2
83431                                                                                            2
83433                                                                                            2
83434                                                                                            2
83435                                                                                            2
83436                                                                                            2
83440                                                                                            2
83442                                                                                            2
83443                                                                                            2
83444                                                                                            2
83445                                                                                            2
83446                                                                                            2
83448                                                                                            2
83449                                                                                            2
83450                                                                                            2
83451                                                                                            2
83452                                                                                            2
83454                                                                                            2
83455                                                                                            2
83460                                                                                            2
83462                                                                                            2
83463                                                                                            2
83464                                                                                            2
83465                                                                                            2
83466                                                                                            2
83467                                                                                            2
83468                                                                                            2
83469                                                                                            2
83501                                                                                            1
83520                                                                                            1
83522                                                                                            1
83523                                                                                            1
83524                                                                                            1
83525                                                                                            1
83526                                                                                            1
83530                                                                                            1
83533                                                                                            1
83535                                                                                            1
83536                                                                                            1
83537                                                                                            1
83539                                                                                            1
83540                                                                                            1
83541                                                                                            1
83542                                                                                            1
83543                                                                                            1
83544                                                                                            1
83545                                                                                            1
83546                                                                                            1
83547                                                                                            1
83548                                                                                            1
83549                                                                                            1
83552                                                                                            1
83553                                                                                            1
83554                                                                                            1
83555                                                                                            1
83601                                                                                            2
83602                                                                                            1
83604                                                                                            1
83605                                                                                            1
83607                                                                                            1
83610                                                                                            1
83611                                                                                            1
83612                                                                                            1
83615                                                                                            1
83616                                                                                          1,2
83617                                                                                            1
83619                                                                                            1
83622                                                                                            1
83623                                                                                            2
83624                                                                                          1,2
83626                                                                                            1
83627                                                                                          1,2
83628                                                                                            1
83629                                                                                            1
83631                                                                                            1
83632                                                                                            1
83633                                                                                            2
83634                                                                                            1
83636                                                                                            1
83637                                                                                            1
83638                                                                                            1
83639                                                                                            1
83641                                                                                            1
83642                                                                                            1
83643                                                                                            1
83644                                                                                            1
83645                                                                                            1
83646                                                                                            1
83647                                                                                            2
83648                                                                                            2
83650                                                                                            1
83651                                                                                            1
83654                                                                                            1
83655                                                                                            1
83656                                                                                            1
83657                                                                                            1
83660                                                                                            1
83661                                                                                            1
83666                                                                                            1
83669                                                                                            1
83670                                                                                            1
83671                                                                                            1
83672                                                                                            1
83676                                                                                            1
83677                                                                                            1
83686                                                                                            1
83687                                                                                            1
83702                                                                                          1,2
83703                                                                                            2
83704                                                                                            2
83705                                                                                          1,2
83706                                                                                            2
83709                                                                                          1,2
83712                                                                                            2
83713                                                                                          1,2
83714                                                                                          1,2
83716                                                                                          1,2
83801                                                                                            1
83802                                                                                            1
83803                                                                                            1
83804                                                                                            1
83805                                                                                            1
83806                                                                                            1
83808                                                                                            1
83809                                                                                            1
83810                                                                                            1
83811                                                                                            1
83812                                                                                            1
83813                                                                                            1
83814                                                                                            1
83815                                                                                            1
83821                                                                                            1
83822                                                                                            1
83823                                                                                            1
83824                                                                                            1
83825                                                                                            1
83826                                                                                            1
83827                                                                                            1
83830                                                                                            1
83832                                                                                            1
83833                                                                                            1
83834                                                                                            1
83835                                                                                            1
83836                                                                                            1
83837                                                                                            1
83839                                                                                            1
83840                                                                                            1
83841                                                                                            1
83842                                                                                            1
83843                                                                                            1
83844                                                                                            1
83845                                                                                            1
83846                                                                                            1
83847                                                                                            1
83848                                                                                            1
83849                                                                                            1
83850                                                                                            1
83851                                                                                            1
83852                                                                                            1
83854                                                                                            1
83855                                                                                            1
83856                                                                                            1
83857                                                                                            1
83858                                                                                            1
83860                                                                                            1
83861                                                                                            1
83864                                                                                            1
83866                                                                                            1
83867                                                                                            1
83868                                                                                            1
83869                                                                                            1
83870                                                                                            1
83871                                                                                            1
83872                                                                                            1
83873                                                                                            1
83874                                                                                            1
83876                                                                                            1
89832                                                                                            1
97910                                                                                            1
97913                                                                                            1
99128                                                                                            1
