ILLINOIS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

60002                                                                                           14
60004                                                                                         8-10
60005                                                                                          8,9
60007                                                                                          5,8
60008                                                                                        6,8,9
60010                                                                                       6,8,14
60012                                                                                           14
60013                                                                                         6,14
60014                                                                                         6,14
60015                                                                                           10
60016                                                                                         8-10
60018                                                                                        5,8,9
60020                                                                                        10,14
60021                                                                                            6
60022                                                                                           10
60025                                                                                         9,10
60026                                                                                         9,10
60029                                                                                            9
60030                                                                                        10,14
60031                                                                                        10,14
60033                                                                                        14,16
60034                                                                                           14
60035                                                                                           10
60040                                                                                           10
60041                                                                                           10
60042                                                                                           14
60043                                                                                            9
60044                                                                                           10
60045                                                                                           10
60046                                                                                        10,14
60047                                                                                      6,10,14
60048                                                                                        10,14
60050                                                                                        10,14
60051                                                                                        10,14
60053                                                                                         9,10
60056                                                                                         8-10
60060                                                                                      6,10,14
60061                                                                                           10
60062                                                                                         9,10
60064                                                                                           10
60067                                                                                          6,8
60068                                                                                         9,10
60069                                                                                           10
60070                                                                                         9,10
60071                                                                                           14
60072                                                                                           14
60073                                                                                        10,14
60074                                                                                        6,8,9
60076                                                                                            9
60077                                                                                            9
60081                                                                                        10,14
60083                                                                                        10,14
60084                                                                                         6,14
60085                                                                                        10,14
60087                                                                                        10,14
60088                                                                                           10
60089                                                                                         8-10
60090                                                                                         8-10
60091                                                                                            9
60093                                                                                         9,10
60096                                                                                           10
60097                                                                                           14
60098                                                                                           14
60099                                                                                        10,14
60101                                                                                          5,8
60102                                                                                       6,8,14
60103                                                                                          6,8
60104                                                                                          4,7
60106                                                                                          5,8
60107                                                                                          6,8
60108                                                                                            8
60109                                                                                           14
60110                                                                                          6,8
60111                                                                                           16
60112                                                                                           14
60113                                                                                           16
60115                                                                                        14,16
60118                                                                                          6,8
60119                                                                                           14
60120                                                                                          6,8
60123                                                                                          6,8
60124                                                                                         6,14
60126                                                                                        4,5,8
60129                                                                                           16
60130                                                                                            7
60131                                                                                            5
60133                                                                                          6,8
60134                                                                                           14
60135                                                                                        14,16
60136                                                                                         6,14
60137                                                                                          6,8
60139                                                                                          6,8
60140                                                                                        14,16
60141                                                                                            7
60142                                                                                         6,14
60143                                                                                            8
60144                                                                                           14
60145                                                                                           16
60146                                                                                           16
60148                                                                                          6,8
60150                                                                                           16
60151                                                                                           14
60152                                                                                        14,16
60153                                                                                            7
60154                                                                                        4,5,7
60155                                                                                            7
60156                                                                                         6,14
60157                                                                                            8
60160                                                                                        4,5,7
60162                                                                                        4,5,7
60163                                                                                          4,7
60164                                                                                          4,5
60165                                                                                            4
60169                                                                                            8
60171                                                                                            5
60172                                                                                            8
60173                                                                                          6,8
60174                                                                                         6,14
60175                                                                                         6,14
60176                                                                                            5
60177                                                                                          6,8
60178                                                                                        14,16
60180                                                                                           14
60181                                                                                        5,6,8
60184                                                                                            6
60185                                                                                         6,14
60187                                                                                            6
60188                                                                                          6,8
60189                                                                                         6,14
60190                                                                                         6,14
60191                                                                                          5,8
60192                                                                                          6,8
60193                                                                                            8
60194                                                                                            8
60195                                                                                          6,8
60201                                                                                            9
60202                                                                                            9
60203                                                                                            9
60301                                                                                            7
