INDIANA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

45053                                                                                            6
46001                                                                                          5,6
46011                                                                                            5
46012                                                                                          5,6
46013                                                                                            5
46016                                                                                            5
46017                                                                                          5,6
46030                                                                                            5
46031                                                                                            5
46032                                                                                            5
46033                                                                                            5
46034                                                                                            5
46035                                                                                            4
46036                                                                                            5
46037                                                                                            5
46038                                                                                            5
46039                                                                                            4
46040                                                                                          5,6
46041                                                                                            4
46044                                                                                            5
46045                                                                                            5
46047                                                                                            5
46048                                                                                            5
46049                                                                                          4,5
46050                                                                                          4,5
46051                                                                                            5
46052                                                                                          4,5
46055                                                                                          5,6
46056                                                                                          5,6
46057                                                                                            4
46058                                                                                            4
46060                                                                                            5
46062                                                                                            5
46063                                                                                            5
46064                                                                                          5,6
46065                                                                                            4
46068                                                                                            5
46069                                                                                          4,5
46070                                                                                            5
46071                                                                                            4
46072                                                                                            5
46074                                                                                            5
46075                                                                                          4,5
46076                                                                                            5
46077                                                                                          4,5
46103                                                                                            4
46104                                                                                            6
46105                                                                                            4
46106                                                                                            9
46107                                                                                            7
46110                                                                                            6
46111                                                                                            9
46112                                                                                          4,5
46113                                                                                        4,7,9
46115                                                                                            6
46117                                                                                            6
46118                                                                                            4
46120                                                                                          4,8
46121                                                                                            4
46122                                                                                            4
46123                                                                                            4
46124                                                                                          6,9
46125                                                                                            4
46126                                                                                            6
46127                                                                                            6
46128                                                                                            4
46130                                                                                            6
46131                                                                                          6,9
46133                                                                                            6
46135                                                                                          4,8
46140                                                                                            6
46142                                                                                            9
46143                                                                                            9
46144                                                                                            6
46146                                                                                            6
46147                                                                                            4
46148                                                                                            6
46149                                                                                            4
46150                                                                                            6
46151                                                                                          4,9
46155                                                                                            6
46156                                                                                            6
46157                                                                                            4
46158                                                                                          4,9
46160                                                                                            9
46161                                                                                            6
46162                                                                                          6,9
46163                                                                                            6
46164                                                                                            9
46165                                                                                            4
46166                                                                                        4,8,9
46167                                                                                            4
46168                                                                                            4
46171                                                                                            4
46172                                                                                            4
46173                                                                                            6
46175                                                                                          4,8
46176                                                                                            6
46180                                                                                            4
46181                                                                                            9
46182                                                                                            6
46183                                                                                            7
46184                                                                                            9
46186                                                                                            6
46201                                                                                            7
46202                                                                                            7
46203                                                                                            7
46204                                                                                            7
46205                                                                                          5,7
46208                                                                                          5,7
46214                                                                                            7
46216                                                                                          5,7
46217                                                                                            7
46218                                                                                            7
46219                                                                                            7
46220                                                                                          5,7
46221                                                                                            7
46222                                                                                            7
46224                                                                                            7
46225                                                                                            7
46226                                                                                          5,7
46227                                                                                            7
46228                                                                                          5,7
46229                                                                                          6,7
46231                                                                                          4,7
46234                                                                                        4,5,7
46235                                                                                          5,7
46236                                                                                          5,7
46237                                                                                            7
46239                                                                                          6,7
46240                                                                                            5
46241                                                                                            7
46250                                                                                            5
46254                                                                                          5,7
46256                                                                                          5,7
46259                                                                                        6,7,9
46260                                                                                          5,7
46268                                                                                          5,7
46278                                                                                        4,5,7
46280                                                                                            5
46290                                                                                            5
46301                                                                                            1
46303                                                                                            1
46304                                                                                            1
46307                                                                                            1
46310                                                                                            4
46311                                                                                            1
46312                                                                                            1
46319                                                                                            1
46320                                                                                            1
46321                                                                                            1
46322                                                                                            1
46323                                                                                            1
46324                                                                                            1
46327                                                                                            1
46340                                                                                          1,2
46341                                                                                            1
46342                                                                                            1
46345                                                                                            2
46346                                                                                            2
46347                                                                                            1
46348                                                                                          1,2
46349                                                                                            4
46350                                                                                          1,2
46356                                                                                            1
46360                                                                                            1
46365                                                                                            2
46366                                                                                            2
46368                                                                                            1
46371                                                                                            2
46373                                                                                            1
46374                                                                                          2,4
46375                                                                                            1
46376                                                                                            1
46377                                                                                            1
46379                                                                                            4
46381                                                                                            4
46382                                                                                          1,2
46383                                                                                            1
46385                                                                                            1
46390                                                                                          1,2
46391                                                                                            1
46392                                                                                            4
46393                                                                                            1
46394                                                                                            1
46402                                                                                            1
46403                                                                                            1
46404                                                                                            1
46405                                                                                            1
46406                                                                                            1
46407                                                                                            1
46408                                                                                            1
46409                                                                                            1
46410                                                                                            1
46501                                                                                            2
46502                                                                                            2
46504                                                                                            2
46506                                                                                            2
46507                                                                                            2
46508                                                                                            2
46510                                                                                          2,3
46511                                                                                            2
46514                                                                                            2
46516                                                                                            2
46517                                                                                            2
46524                                                                                            2
46526                                                                                            2
46528                                                                                            2
46530                                                                                            2
46531                                                                                            2
46532                                                                                            2
46534                                                                                            2
46536                                                                                            2
46537                                                                                            2
46538                                                                                          2,3
46539                                                                                            2
46540                                                                                          2,3
46542                                                                                          2,3
46543                                                                                          2,3
46544                                                                                            2
46545                                                                                            2
46550                                                                                            2
46552                                                                                            2
46553                                                                                            2
46554                                                                                            2
46555                                                                                            3
46556                                                                                            2
46561                                                                                            2
46562                                                                                            3
46563                                                                                            2
46565                                                                                            3
46567                                                                                          2,3
46570                                                                                            2
46571                                                                                            3
46573                                                                                            2
46574                                                                                            2
46580                                                                                          2,3
46582                                                                                          2,3
46590                                                                                            3
46595                                                                                            2
46601                                                                                            2
46613                                                                                            2
46614                                                                                            2
46615                                                                                            2
46616                                                                                            2
46617                                                                                            2
46619                                                                                            2
46628                                                                                            2
46635                                                                                            2
46637                                                                                            2
46701                                                                                            3
46702                                                                                          2,3
46703                                                                                            3
46704                                                                                            3
46705                                                                                            3
46706                                                                                            3
46710                                                                                            3
46711                                                                                            3
46714                                                                                            3
46721                                                                                            3
46723                                                                                            3
46725                                                                                            3
46730                                                                                            3
46731                                                                                            3
46732                                                                                          2,3
46733                                                                                            3
46737                                                                                            3
46738                                                                                            3
46740                                                                                            3
46741                                                                                            3
46742                                                                                            3
46743                                                                                            3
46745                                                                                            3
46746                                                                                            3
46747                                                                                            3
46748                                                                                            3
46750                                                                                            3
46755                                                                                            3
46759                                                                                            3
46760                                                                                            3
46761                                                                                            3
46763                                                                                            3
46764                                                                                            3
46765                                                                                            3
46766                                                                                            3
46767                                                                                          2,3
46770                                                                                            3
46771                                                                                            3
46772                                                                                            3
46773                                                                                            3
46774                                                                                            3
46776                                                                                            3
46777                                                                                            3
46779                                                                                            3
46781                                                                                            3
46783                                                                                            3
46784                                                                                            3
46785                                                                                            3
46786                                                                                            3
46787                                                                                            3
46788                                                                                            3
46791                                                                                            3
46792                                                                                            3
46793                                                                                            3
46794                                                                                            3
46795                                                                                            3
46797                                                                                            3
46798                                                                                            3
46799                                                                                            3
46802                                                                                            3
46803                                                                                            3
46804                                                                                            3
46805                                                                                            3
46806                                                                                            3
46807                                                                                            3
46808                                                                                            3
46809                                                                                            3
46814                                                                                            3
46815                                                                                            3
46816                                                                                            3
46818                                                                                            3
46819                                                                                            3
46825                                                                                            3
46835                                                                                            3
46845                                                                                            3
46901                                                                                        2,4,5
46902                                                                                          4,5
46910                                                                                            2
46911                                                                                            2
46913                                                                                            4
46914                                                                                            2
46915                                                                                            4
46917                                                                                            4
46919                                                                                          2,5
46920                                                                                            4
46922                                                                                            2
46923                                                                                            4
46926                                                                                          2,4
46928                                                                                            5
46929                                                                                            4
46930                                                                                            5
46931                                                                                            2
46932                                                                                          2,4
46933                                                                                            5
46936                                                                                            5
46938                                                                                            5
46939                                                                                            2
46940                                                                                        2,3,5
46941                                                                                            2
46943                                                                                            2
46946                                                                                            2
46947                                                                                            4
46950                                                                                            4
46951                                                                                            2
46952                                                                                          3,5
46953                                                                                            5
46957                                                                                            5
46958                                                                                            2
46959                                                                                            2
46960                                                                                            2
46961                                                                                            4
46962                                                                                          2,3
46967                                                                                            4
46968                                                                                            2
46970                                                                                          2,4
46974                                                                                            2
46975                                                                                            2
46978                                                                                          2,4
46979                                                                                            4
46982                                                                                          2,3
46984                                                                                            2
46985                                                                                          2,4
46986                                                                                            5
46987                                                                                            5
46988                                                                                            4
46989                                                                                          5,6
46990                                                                                            2
46991                                                                                          3,5
46992                                                                                            2
46994                                                                                            4
46996                                                                                          2,4
46998                                                                                            4
47001                                                                                            6
47003                                                                                            6
47006                                                                                            6
47010                                                                                            6
47011                                                                                            6
47012                                                                                            6
47016                                                                                            6
47017                                                                                            6
47018                                                                                            6
47020                                                                                            6
47022                                                                                            6
47023                                                                                            6
47024                                                                                            6
47025                                                                                            6
47030                                                                                            6
47031                                                                                            6
47032                                                                                            6
47034                                                                                            6
47035                                                                                            6
47036                                                                                            6
47037                                                                                            6
47038                                                                                            6
47040                                                                                            6
47041                                                                                            6
47042                                                                                            6
47043                                                                                            6
47060                                                                                            6
47102                                                                                          6,9
47104                                                                                            9
47106                                                                                            9
47108                                                                                            9
47110                                                                                            9
47111                                                                                            9
47112                                                                                            9
47114                                                                                            9
47115                                                                                            9
47116                                                                                          8,9
47117                                                                                            9
47118                                                                                          8,9
47119                                                                                            9
47120                                                                                            9
47122                                                                                            9
47123                                                                                            9
47124                                                                                            9
47125                                                                                            9
47126                                                                                            9
47129                                                                                            9
47130                                                                                            9
47135                                                                                            9
47136                                                                                            9
47137                                                                                          8,9
47138                                                                                            6
47140                                                                                            9
47141                                                                                            9
47142                                                                                            9
47143                                                                                            9
47145                                                                                            9
47147                                                                                          6,9
47150                                                                                            9
47160                                                                                            9
47161                                                                                            9
47162                                                                                            9
47163                                                                                            9
47164                                                                                            9
47165                                                                                            9
47166                                                                                            9
47167                                                                                            9
47170                                                                                          6,9
47172                                                                                            9
47175                                                                                            9
47177                                                                                          6,9
47201                                                                                          6,9
47203                                                                                            6
47220                                                                                            9
47223                                                                                            6
47224                                                                                            6
47226                                                                                            6
47227                                                                                            6
47229                                                                                          6,9
47230                                                                                            6
47231                                                                                            6
47232                                                                                            6
47234                                                                                            6
47235                                                                                            9
47240                                                                                            6
47243                                                                                            6
47244                                                                                            6
47246                                                                                            6
47247                                                                                            6
47250                                                                                            6
47260                                                                                            9
47263                                                                                            6
47264                                                                                            9
47265                                                                                            6
47270                                                                                            6
47272                                                                                            6
47273                                                                                            6
47274                                                                                          6,9
47280                                                                                            6
47281                                                                                            9
47282                                                                                            6
47283                                                                                            6
47302                                                                                            6
47303                                                                                            6
47304                                                                                            6
47305                                                                                            6
47306                                                                                            6
47320                                                                                          3,6
47324                                                                                            6
47325                                                                                            6
47326                                                                                            3
47327                                                                                            6
47330                                                                                            6
47331                                                                                            6
47334                                                                                            6
47335                                                                                            6
47336                                                                                        3,5,6
47337                                                                                            6
47338                                                                                            6
47339                                                                                            6
47340                                                                                            6
47341                                                                                            6
47342                                                                                            6
47344                                                                                            6
47345                                                                                            6
47346                                                                                            6
47348                                                                                          3,5
47351                                                                                            6
47352                                                                                            6
47353                                                                                            6
47354                                                                                            6
47355                                                                                            6
47356                                                                                          5,6
47357                                                                                            6
47358                                                                                            6
47359                                                                                            3
47360                                                                                            6
47361                                                                                            6
47362                                                                                            6
47367                                                                                            6
47368                                                                                            6
47369                                                                                            3
47371                                                                                          3,6
47373                                                                                          3,6
47374                                                                                            6
47380                                                                                          3,6
47381                                                                                            3
47382                                                                                            6
47383                                                                                            6
47384                                                                                            6
47385                                                                                            6
47386                                                                                            6
47387                                                                                            6
47388                                                                                            6
47390                                                                                          3,6
47393                                                                                            6
47394                                                                                            6
47396                                                                                            6
47401                                                                                            9
