IOWA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

50001                                                                                            3
50002                                                                                            3
50003                                                                                            3
50005                                                                                            1
50006                                                                                            4
50007                                                                                            3
50008                                                                                            2
50009                                                                                            3
50010                                                                                            4
50011                                                                                            4
50012                                                                                            4
50014                                                                                            4
50020                                                                                          3,4
50021                                                                                            3
50022                                                                                          3,4
50023                                                                                            3
50025                                                                                            4
50026                                                                                          3,4
50027                                                                                          1,2
50028                                                                                            2
50029                                                                                          3,4
50032                                                                                            3
50033                                                                                            3
50034                                                                                            4
50035                                                                                            3
50036                                                                                            4
50038                                                                                            3
50039                                                                                            3
50041                                                                                            4
50042                                                                                            4
50044                                                                                            2
50046                                                                                          3,4
50047                                                                                            3
50048                                                                                            3
50049                                                                                            2
50050                                                                                            4
50051                                                                                            1
50052                                                                                            2
50054                                                                                            2
50055                                                                                          2,4
50056                                                                                            4
50057                                                                                            2
50058                                                                                          3,4
50060                                                                                            2
50061                                                                                            3
50062                                                                                            2
50063                                                                                            3
50064                                                                                            4
50065                                                                                            2
50066                                                                                            3
50067                                                                                            2
50068                                                                                            2
50069                                                                                            3
50070                                                                                            3
50071                                                                                            4
50072                                                                                            3
50073                                                                                            3
50074                                                                                            3
50075                                                                                            4
50076                                                                                            4
50078                                                                                            1
50101                                                                                            4
50102                                                                                            4
50103                                                                                            2
50104                                                                                            2
50105                                                                                            4
50106                                                                                          1,2
50107                                                                                            4
50108                                                                                            2
50109                                                                                            3
50111                                                                                            3
50112                                                                                          1,2
50115                                                                                            3
50116                                                                                            2
50117                                                                                            4
50118                                                                                            3
50119                                                                                            2
50120                                                                                            1
50122                                                                                            4
50123                                                                                            2
50124                                                                                          3,4
50125                                                                                            3
50126                                                                                            4
50127                                                                                            2
50128                                                                                          3,4
50129                                                                                            4
50130                                                                                            4
50131                                                                                            3
50132                                                                                            4
50133                                                                                          2,3
50134                                                                                            4
50135                                                                                            2
50136                                                                                          1,2
50138                                                                                            2
50139                                                                                          2,3
50140                                                                                          2,3
50141                                                                                          1,2
50142                                                                                            1
50143                                                                                            2
50144                                                                                            2
50146                                                                                            3
50147                                                                                            2
50148                                                                                            1
50149                                                                                            3
50150                                                                                            2
50151                                                                                          2,3
50153                                                                                          1,2
50154                                                                                            4
