KANSAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

66002                                                                                            2
66006                                                                                            2
66007                                                                                            2
66008                                                                                            2
66010                                                                                            2
66012                                                                                          2,3
66013                                                                                            3
66014                                                                                            2
66015                                                                                            2
66016                                                                                            2
66017                                                                                            2
66018                                                                                            3
66019                                                                                            3
66020                                                                                            2
66021                                                                                          2,3
66023                                                                                            2
66024                                                                                            2
66025                                                                                          2,3
66026                                                                                            2
66027                                                                                            2
66030                                                                                            3
66031                                                                                            3
66032                                                                                            2
66033                                                                                            2
66035                                                                                            2
66039                                                                                            2
66040                                                                                            2
66041                                                                                            2
66042                                                                                            2
66043                                                                                            2
66044                                                                                            2
66045                                                                                            2
66046                                                                                            2
66047                                                                                            2
66048                                                                                            2
66049                                                                                            2
66050                                                                                            2
66052                                                                                            2
66053                                                                                          2,3
66054                                                                                            2
66056                                                                                            2
66058                                                                                            2
66060                                                                                            2
66061                                                                                            3
66062                                                                                            3
66064                                                                                            2
66066                                                                                            2
66067                                                                                            2
66070                                                                                            2
66071                                                                                          2,3
66072                                                                                            2
66073                                                                                            2
66075                                                                                            2
66076                                                                                            2
66078                                                                                            2
66079                                                                                            2
66080                                                                                            2
66083                                                                                          2,3
66085                                                                                            3
66086                                                                                            2
66087                                                                                            2
66088                                                                                            2
66090                                                                                            2
66091                                                                                            2
66092                                                                                            2
66093                                                                                            2
66094                                                                                            2
66095                                                                                            2
66097                                                                                            2
66101                                                                                            3
66102                                                                                            3
66103                                                                                            3
66104                                                                                            3
66105                                                                                            3
66106                                                                                            3
66109                                                                                          2,3
66111                                                                                            3
66112                                                                                            3
66115                                                                                            3
66118                                                                                            3
66202                                                                                            3
66203                                                                                            3
66204                                                                                            3
66205                                                                                            3
66206                                                                                            3
66207                                                                                            3
66208                                                                                            3
66209                                                                                            3
66210                                                                                            3
66211                                                                                            3
66212                                                                                            3
66213                                                                                            3
66214                                                                                            3
66215                                                                                            3
66216                                                                                            3
66217                                                                                            3
66218                                                                                            3
66219                                                                                            3
66220                                                                                            3
66221                                                                                            3
66223                                                                                            3
66224                                                                                            3
66226                                                                                            3
66227                                                                                            3
66401                                                                                            1
66402                                                                                            2
66403                                                                                          1,2
66404                                                                                            2
66406                                                                                          1,2
66407                                                                                            1
66408                                                                                            2
66409                                                                                            2
66411                                                                                          1,2
66412                                                                                          1,2
66413                                                                                          1,2
66414                                                                                            2
66415                                                                                            2
66416                                                                                            2
66417                                                                                            2
66418                                                                                            2
66419                                                                                            2
66422                                                                                          1,2
66423                                                                                            1
66424                                                                                            2
66425                                                                                            2
66427                                                                                          1,2
66428                                                                                            2
66429                                                                                            2
66431                                                                                          1,2
66432                                                                                          1,2
66434                                                                                            2
66436                                                                                            2
66438                                                                                          1,2
66439                                                                                            2
66440                                                                                            2
66441                                                                                            1
66442                                                                                            1
66449                                                                                            1
66451                                                                                            2
66501                                                                                            1
66502                                                                                            1
66503                                                                                            1
66506                                                                                            1
66507                                                                                            1
66508                                                                                          1,2
66509                                                                                            2
66510                                                                                            2
66512                                                                                            2
66514                                                                                            1
66515                                                                                            2
66516                                                                                            2
66517                                                                                            1
66518                                                                                            1
66520                                                                                            1
66521                                                                                          1,2
66522                                                                                            2
66523                                                                                          1,2
66524                                                                                            2
66526                                                                                            1
66527                                                                                            2
66528                                                                                            2
66531                                                                                            1
66532                                                                                            2
66533                                                                                            2
66534                                                                                            2
66535                                                                                            1
66536                                                                                          1,2
66537                                                                                            2
66538                                                                                            2
66539                                                                                            2
66540                                                                                            2
66541                                                                                          1,2
66542                                                                                            2
66543                                                                                            2
66544                                                                                            2
66546                                                                                            2
66547                                                                                            1
66548                                                                                          1,2
66549                                                                                            1
66550                                                                                            2
66552                                                                                            2
66554                                                                                            1
66603                                                                                            2
66604                                                                                            2
66605                                                                                            2
66606                                                                                            2
66607                                                                                            2
66608                                                                                            2
66609                                                                                            2
66610                                                                                            2
66611                                                                                            2
66612                                                                                            2
66614                                                                                          1,2
66615                                                                                          1,2
66616                                                                                            2
66617                                                                                            2
66618                                                                                            2
66619                                                                                            2
66621                                                                                            2
66622                                                                                            2
66701                                                                                            2
66710                                                                                            2
66711                                                                                            2
66712                                                                                            2
66713                                                                                            2
66714                                                                                            2
66716                                                                                            2
66717                                                                                            2
66720                                                                                            2
66724                                                                                            2
66725                                                                                            2
66728                                                                                            2
66732                                                                                            2
66733                                                                                            2
66734                                                                                            2
66735                                                                                            2
66736                                                                                          2,4
66738                                                                                            2
66739                                                                                            2
66740                                                                                            2
66741                                                                                            2
66743                                                                                            2
66746                                                                                            2
66748                                                                                            2
66749                                                                                            2
66751                                                                                            2
66753                                                                                            2
66754                                                                                            2
66755                                                                                            2
66756                                                                                            2
66757                                                                                            2
66758                                                                                            2
66760                                                                                            2
66761                                                                                            2
66762                                                                                            2
66763                                                                                            2
66767                                                                                            2
66769                                                                                            2
66770                                                                                            2
66771                                                                                            2
66772                                                                                            2
66773                                                                                            2
66775                                                                                            2
66776                                                                                            2
66777                                                                                          2,4
66778                                                                                            2
66779                                                                                            2
66780                                                                                            2
66781                                                                                            2
66782                                                                                            2
66783                                                                                            2
66801                                                                                            1
66830                                                                                            1
66833                                                                                            1
66834                                                                                            1
66835                                                                                            1
66838                                                                                            1
66839                                                                                            2
66840                                                                                          1,4
66842                                                                                            4
66843                                                                                            1
66845                                                                                            1
66846                                                                                            1
66849                                                                                            1
66850                                                                                            1
66851                                                                                            1
66852                                                                                          2,4
66853                                                                                            4
66854                                                                                          1,2
66856                                                                                            2
66857                                                                                            2
66858                                                                                            1
66859                                                                                            1
66860                                                                                          1,4
66861                                                                                            1
66862                                                                                            1
66863                                                                                            4
66864                                                                                          1,2
66865                                                                                            1
66866                                                                                          1,4
66868                                                                                          1,2
66869                                                                                            1
66870                                                                                            4
66871                                                                                            2
66872                                                                                            1
66873                                                                                            1
66901                                                                                            1
66930                                                                                            1
66932                                                                                            1
66933                                                                                            1
66935                                                                                            1
66936                                                                                            1
66937                                                                                            1
66938                                                                                            1
66939                                                                                            1
66940                                                                                            1
66941                                                                                            1
66942                                                                                            1
66943                                                                                            1
66944                                                                                            1
66945                                                                                            1
66946                                                                                            1
66948                                                                                            1
66949                                                                                            1
66951                                                                                            1
66952                                                                                            1
66953                                                                                            1
66955                                                                                            1
66956                                                                                            1
66958                                                                                            1
66959                                                                                            1
66960                                                                                            1
66962                                                                                            1
66963                                                                                            1
66964                                                                                            1
66966                                                                                            1
66967                                                                                            1
66968                                                                                            1
66970                                                                                            1
67001                                                                                            4
67002                                                                                            4
67003                                                                                            4
67004                                                                                            4
67005                                                                                            4
67008                                                                                            4
67009                                                                                            4
67010                                                                                            4
67012                                                                                            4
67013                                                                                            4
67016                                                                                            4
67017                                                                                            4
67018                                                                                            4
67019                                                                                            4
67020                                                                                          1,4
67021                                                                                            4
67022                                                                                            4
67023                                                                                            4
67024                                                                                            4
67025                                                                                          1,4
67026                                                                                            4
67028                                                                                            4
67029                                                                                            4
67030                                                                                            4
67031                                                                                            4
67035                                                                                          1,4
67036                                                                                            4
67037                                                                                            4
67038                                                                                            4
67039                                                                                            4
67041                                                                                            4
67042                                                                                            4
67045                                                                                            4
67047                                                                                          2,4
67049                                                                                            4
67050                                                                                            4
67051                                                                                            4
67052                                                                                            4
67053                                                                                            1
67054                                                                                            4
67055                                                                                            4
67056                                                                                            4
67057                                                                                            4
67058                                                                                            4
67059                                                                                            4
67060                                                                                            4
67061                                                                                            4
67062                                                                                          1,4
67063                                                                                            1
67065                                                                                            4
67066                                                                                            4
67067                                                                                            4
67068                                                                                          1,4
67070                                                                                            4
67071                                                                                            4
67072                                                                                            4
67073                                                                                            1
67074                                                                                            4
67101                                                                                            4
67103                                                                                            4
67104                                                                                            4
67105                                                                                            4
67106                                                                                            4
67107                                                                                          1,4
67108                                                                                          1,4
67109                                                                                            4
67110                                                                                            4
67111                                                                                            4
67112                                                                                            4
67114                                                                                          1,4
67117                                                                                            4
67118                                                                                            4
67119                                                                                            4
67120                                                                                            4
67122                                                                                            4
67123                                                                                            4
67124                                                                                            4
67127                                                                                          1,4
67131                                                                                            4
67132                                                                                            4
67133                                                                                            4
67134                                                                                            4
67135                                                                                            4
67137                                                                                            4
67138                                                                                            4
67140                                                                                            4
67142                                                                                            4
67143                                                                                            4
67144                                                                                            4
67146                                                                                            4
67147                                                                                            4
67149                                                                                            4
67150                                                                                            4
67151                                                                                          1,4
67152                                                                                            4
67154                                                                                            4
67155                                                                                            4
67156                                                                                            4
67159                                                                                            4
67202                                                                                            4
67203                                                                                            4
67204                                                                                            4
67205                                                                                            4
67206                                                                                            4
67207                                                                                            4
67208                                                                                            4
67209                                                                                            4
67210                                                                                            4
67211                                                                                            4
67212                                                                                            4
67213                                                                                            4
67214                                                                                            4
67215                                                                                            4
67216                                                                                            4
67217                                                                                            4
67218                                                                                            4
67219                                                                                            4
67220                                                                                            4
67223                                                                                            4
67226                                                                                            4
67227                                                                                            4
67228                                                                                            4
67230                                                                                            4
67232                                                                                            4
67235                                                                                            4
67260                                                                                            4
67301                                                                                            2
67330                                                                                            2
67332                                                                                            2
67333                                                                                            2
67334                                                                                            4
67335                                                                                            2
67336                                                                                            2
67337                                                                                            2
67340                                                                                            2
67341                                                                                            2
67342                                                                                            2
67344                                                                                          2,4
67345                                                                                            4
67346                                                                                            4
67347                                                                                          2,4
67349                                                                                            4
67351                                                                                            2
67352                                                                                            4
67353                                                                                            4
67354                                                                                            2
67355                                                                                            4
67356                                                                                            2
67357                                                                                            2
67360                                                                                            4
67361                                                                                            4
67363                                                                                            2
67364                                                                                            2
67401                                                                                            1
67410                                                                                            1
67416                                                                                            1
67417                                                                                            1
67418                                                                                            1
67420                                                                                            1
67422                                                                                            1
67423                                                                                            1
67425                                                                                            1
67427                                                                                            1
67428                                                                                            1
67430                                                                                            1
67431                                                                                            1
67432                                                                                            1
67436                                                                                            1
67437                                                                                            1
67438                                                                                            1
67439                                                                                            1
67441                                                                                            1
67442                                                                                            1
67443                                                                                            1
67444                                                                                            1
67445                                                                                            1
67446                                                                                            1
67447                                                                                            1
67448                                                                                            1
67449                                                                                            1
67450                                                                                            1
67451                                                                                            1
67452                                                                                            1
67454                                                                                            1
67455                                                                                            1
67456                                                                                            1
67457                                                                                            1
67458                                                                                            1
67459                                                                                            1
67460                                                                                            1
67464                                                                                            1
67466                                                                                            1
67467                                                                                            1
67468                                                                                            1
67470                                                                                            1
67473                                                                                            1
67474                                                                                            1
67475                                                                                            1
67478                                                                                            1
67480                                                                                            1
67481                                                                                            1
67482                                                                                            1
67483                                                                                            1
67484                                                                                            1
67485                                                                                            1
67487                                                                                            1
67490                                                                                            1
67491                                                                                            1
67492                                                                                            1
67501                                                                                            1
67502                                                                                            1
67505                                                                                            1
67510                                                                                            1
67511                                                                                            1
67512                                                                                            1
67513                                                                                            1
67514                                                                                            1
67515                                                                                            1
67516                                                                                            1
67518                                                                                            1
67519                                                                                          1,4
67520                                                                                            1
67521                                                                                            1
67522                                                                                          1,4
67523                                                                                          1,4
67524                                                                                            1
67525                                                                                            1
67526                                                                                          1,4
67529                                                                                          1,4
67530                                                                                          1,4
67543                                                                                            1
67544                                                                                            1
67545                                                                                            4
67546                                                                                            1
67547                                                                                          1,4
67548                                                                                            1
67550                                                                                          1,4
67552                                                                                            4
67553                                                                                            1
67554                                                                                            1
67556                                                                                            1
67557                                                                                          1,4
67559                                                                                            1
67560                                                                                            1
67561                                                                                            1
67563                                                                                          1,4
67564                                                                                            1
67565                                                                                            1
67566                                                                                            1
67567                                                                                          1,4
67568                                                                                            1
67570                                                                                          1,4
67572                                                                                            1
67573                                                                                            1
67574                                                                                          1,4
67575                                                                                            1
67576                                                                                            4
67578                                                                                            4
67579                                                                                            1
67581                                                                                            1
67583                                                                                          1,4
67584                                                                                            1
67601                                                                                            1
67621                                                                                            1
67622                                                                                            1
67623                                                                                            1
67625                                                                                            1
67626                                                                                            1
67628                                                                                            1
67629                                                                                            1
67631                                                                                            1
67632                                                                                            1
67634                                                                                            1
67635                                                                                            1
67637                                                                                            1
67638                                                                                            1
67639                                                                                            1
67640                                                                                            1
67642                                                                                            1
67643                                                                                            1
67644                                                                                            1
67645                                                                                            1
67646                                                                                            1
67647                                                                                            1
67648                                                                                            1
67649                                                                                            1
67650                                                                                            1
67651                                                                                            1
67653                                                                                            1
67654                                                                                            1
67656                                                                                            1
67657                                                                                            1
67658                                                                                            1
67659                                                                                            1
67660                                                                                            1
67661                                                                                            1
67663                                                                                            1
67664                                                                                            1
67665                                                                                            1
67667                                                                                            1
67669                                                                                            1
67671                                                                                            1
67672                                                                                            1
67673                                                                                            1
67674                                                                                            1
67675                                                                                            1
67701                                                                                            1
67730                                                                                            1
67731                                                                                            1
67732                                                                                            1
67733                                                                                            1
67734                                                                                            1
67735                                                                                            1
67736                                                                                            1
67737                                                                                            1
67738                                                                                            1
67739                                                                                            1
67740                                                                                            1
67741                                                                                            1
67743                                                                                            1
67744                                                                                            1
67745                                                                                            1
67747                                                                                            1
67748                                                                                            1
67749                                                                                            1
67751                                                                                            1
67752                                                                                            1
67753                                                                                            1
67756                                                                                            1
67757                                                                                            1
67758                                                                                            1
67761                                                                                            1
67762                                                                                            1
67764                                                                                            1
67801                                                                                            1
67831                                                                                            1
67834                                                                                            1
67835                                                                                            1
67836                                                                                            1
67837                                                                                            1
67838                                                                                            1
67839                                                                                            1
67840                                                                                            1
67841                                                                                            1
67842                                                                                            1
67843                                                                                            1
67844                                                                                            1
67846                                                                                            1
67849                                                                                            1
67850                                                                                            1
67851                                                                                            1
67853                                                                                            1
67854                                                                                            1
67855                                                                                            1
67857                                                                                            1
67859                                                                                            1
67860                                                                                            1
67861                                                                                            1
67862                                                                                            1
67863                                                                                            1
67864                                                                                            1
67865                                                                                            1
67867                                                                                            1
67868                                                                                            1
67869                                                                                            1
67870                                                                                            1
67871                                                                                            1
67876                                                                                            1
67877                                                                                            1
67878                                                                                            1
67879                                                                                            1
67880                                                                                            1
67882                                                                                            1
67901                                                                                            1
67950                                                                                            1
67951                                                                                            1
67952                                                                                            1
67953                                                                                            1
67954                                                                                            1
68325                                                                                            1
68978                                                                                            1
