KENTUCKY CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

38079                                                                                            1
40003                                                                                          4,6
40004                                                                                            2
40006                                                                                            4
40007                                                                                            4
40008                                                                                            2
40009                                                                                            1
40010                                                                                            4
40011                                                                                            4
40012                                                                                            2
40013                                                                                            2
40014                                                                                            4
40019                                                                                            4
40020                                                                                            2
40022                                                                                            4
40023                                                                                            4
40025                                                                                            3
40026                                                                                            4
40031                                                                                            4
40033                                                                                            1
40036                                                                                            4
40037                                                                                          1,2
40040                                                                                            2
40041                                                                                            3
40045                                                                                            4
40046                                                                                        2,4,6
40047                                                                                            2
40048                                                                                            2
40049                                                                                            1
40050                                                                                            4
40051                                                                                            2
40052                                                                                          1,2
40055                                                                                            4
40056                                                                                            4
40057                                                                                            4
40058                                                                                            4
40059                                                                                          3,4
40060                                                                                            1
40062                                                                                            1
40063                                                                                            1
40065                                                                                            4
40067                                                                                            4
40068                                                                                            4
40069                                                                                          1,2
40070                                                                                            4
40071                                                                                          2,4
40075                                                                                            4
40076                                                                                          4,6
40077                                                                                            4
40078                                                                                            2
40104                                                                                            2
40107                                                                                            2
40108                                                                                            2
40109                                                                                            2
40110                                                                                            2
40111                                                                                            2
40115                                                                                            2
40117                                                                                            2
40118                                                                                            3
40119                                                                                          1,2
40121                                                                                            2
40140                                                                                            2
40142                                                                                            2
40143                                                                                            2
40144                                                                                            2
40145                                                                                            2
40146                                                                                            2
40150                                                                                            2
40152                                                                                            2
40155                                                                                            2
40157                                                                                            2
40160                                                                                            2
40161                                                                                            2
40162                                                                                            2
40165                                                                                            2
40170                                                                                            2
40171                                                                                            2
40175                                                                                            2
40176                                                                                            2
40177                                                                                          2,3
40178                                                                                            2
40202                                                                                            3
40203                                                                                            3
40204                                                                                            3
40205                                                                                            3
40206                                                                                            3
40207                                                                                            3
40208                                                                                            3
40209                                                                                            3
40210                                                                                            3
40211                                                                                            3
40212                                                                                            3
40213                                                                                            3
40214                                                                                            3
40215                                                                                            3
40216                                                                                            3
40217                                                                                            3
40218                                                                                            3
40219                                                                                            3
40220                                                                                            3
40222                                                                                            3
40223                                                                                            3
40228                                                                                            3
40229                                                                                          2,3
40231                                                                                            3
40241                                                                                          3,4
40242                                                                                            3
40243                                                                                            3
40245                                                                                          3,4
40258                                                                                            3
40272                                                                                          2,3
40280                                                                                            3
40291                                                                                          3,4
40299                                                                                          2-4
40310                                                                                            2
40311                                                                                            6
40312                                                                                            6
40313                                                                                            5
40316                                                                                            6
40322                                                                                            6
40324                                                                                            6
40328                                                                                          1,2
40330                                                                                            2
40334                                                                                            6
40336                                                                                          5,6
40337                                                                                            6
40339                                                                                            2
40342                                                                                            6
40346                                                                                            6
40347                                                                                            6
40348                                                                                            6
40350                                                                                            6
40351                                                                                            5
40353                                                                                            6
40356                                                                                          2,6
40358                                                                                            6
40359                                                                                            4
40360                                                                                            6
40361                                                                                            6
40363                                                                                            4
40370                                                                                          4,6
40371                                                                                            6
40372                                                                                          2,6
40374                                                                                            6
40376                                                                                            6
40379                                                                                          4,6
40380                                                                                            6
40383                                                                                          2,6
40385                                                                                            6
40387                                                                                          5,6
40390                                                                                          2,6
40391                                                                                            6
40402                                                                                            5
40403                                                                                        2,5,6
40404                                                                                            6
40409                                                                                            5
40419                                                                                          2,5
40422                                                                                          2,5
40434                                                                                            5
40437                                                                                          1,5
40440                                                                                          2,5
40442                                                                                          1,5
40444                                                                                          2,5
40445                                                                                            5
40447                                                                                            5
40448                                                                                            5
40456                                                                                            5
40460                                                                                            5
40461                                                                                          2,6
40464                                                                                          1,2
40468                                                                                          1,2
40472                                                                                            6
40475                                                                                            6
40481                                                                                            5
40484                                                                                          2,5
40486                                                                                            5
40489                                                                                          1,5
40502                                                                                            6
40503                                                                                            6
40504                                                                                            6
40505                                                                                            6
40506                                                                                            6
40507                                                                                            6
40508                                                                                            6
40509                                                                                            6
40510                                                                                            6
40511                                                                                            6
40513                                                                                            6
40514                                                                                            6
40515                                                                                            6
40516                                                                                            6
40517                                                                                            6
40601                                                                                          4,6
40604                                                                                            6
40701                                                                                            5
40729                                                                                            5
40734                                                                                            5
40737                                                                                            5
40740                                                                                            5
40741                                                                                            5
40743                                                                                            5
40744                                                                                            5
40759                                                                                            5
40763                                                                                            5
40769                                                                                            5
40771                                                                                            5
40801                                                                                            5
40806                                                                                            5
40807                                                                                            5
40808                                                                                            5
40810                                                                                            5
40813                                                                                            5
40815                                                                                            5
40816                                                                                            5
40818                                                                                            5
40819                                                                                            5
40820                                                                                            5
40823                                                                                            5
40824                                                                                            5
40826                                                                                            5
40827                                                                                            5
40828                                                                                            5
40829                                                                                            5
40830                                                                                            5
40831                                                                                            5
40840                                                                                            5
40843                                                                                            5
40844                                                                                            5
40845                                                                                            5
40847                                                                                            5
40849                                                                                            5
40854                                                                                            5
40855                                                                                            5
40856                                                                                            5
40858                                                                                            5
40862                                                                                            5
40863                                                                                            5
40865                                                                                            5
40868                                                                                            5
40870                                                                                            5
40873                                                                                            5
40874                                                                                            5
40902                                                                                            5
40903                                                                                            5
40906                                                                                            5
40913                                                                                            5
40914                                                                                            5
40915                                                                                            5
40921                                                                                            5
40923                                                                                            5
40927                                                                                            5
40935                                                                                            5
40939                                                                                            5
40940                                                                                            5
40941                                                                                            5
40943                                                                                            5
40946                                                                                            5
40949                                                                                            5
40953                                                                                            5
40958                                                                                            5
40962                                                                                            5
40964                                                                                            5
40965                                                                                            5
40972                                                                                            5
40977                                                                                            5
40979                                                                                            5
40982                                                                                            5
40983                                                                                            5
40988                                                                                            5
40995                                                                                            5
40997                                                                                            5
41001                                                                                            4
41002                                                                                            4
41003                                                                                            4
41004                                                                                          4,6
41005                                                                                            4
41006                                                                                            4
41007                                                                                            4
41008                                                                                            4
41010                                                                                          4,6
41011                                                                                            4
41014                                                                                            4
41015                                                                                            4
41016                                                                                            4
41017                                                                                            4
41018                                                                                            4
41030                                                                                            4
41031                                                                                          4,6
41033                                                                                            4
41034                                                                                            4
41035                                                                                            4
41039                                                                                            6
41040                                                                                            4
41041                                                                                            6
41042                                                                                            4
41043                                                                                            4
41044                                                                                          4,6
41045                                                                                            4
41046                                                                                            4
41048                                                                                            4
41049                                                                                            6
41051                                                                                            4
41052                                                                                            4
41055                                                                                          4,6
41056                                                                                            4
41059                                                                                            4
41062                                                                                            4
41063                                                                                            4
41064                                                                                          4,6
41071                                                                                            4
41073                                                                                            4
41074                                                                                            4
41075                                                                                            4
41076                                                                                            4
41080                                                                                            4
41083                                                                                            4
41085                                                                                            4
41086                                                                                            4
41091                                                                                            4
41092                                                                                            4
41093                                                                                          4,6
41094                                                                                            4
41095                                                                                            4
41097                                                                                            4
41098                                                                                            4
41099                                                                                            4
41101                                                                                            4
41102                                                                                          4,5
41121                                                                                            4
41124                                                                                            5
41129                                                                                          4,5
41132                                                                                            5
41135                                                                                            4
41139                                                                                            4
41141                                                                                            4
41142                                                                                            5
41143                                                                                          4,5
41144                                                                                            4
41146                                                                                            5
41149                                                                                            5
41159                                                                                            5
41164                                                                                          4,5
41166                                                                                            4
41168                                                                                            5
41169                                                                                            4
41171                                                                                            5
41174                                                                                            4
41175                                                                                            4
41179                                                                                            4
41180                                                                                            5
41183                                                                                            4
41189                                                                                            4
41201                                                                                            5
41203                                                                                            5
41204                                                                                            5
