LOUISIANA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

70001                                                                                          1,2
70002                                                                                            1
70003                                                                                          1,2
70005                                                                                            1
70006                                                                                            1
70030                                                                                        1,2,6
70031                                                                                            2
70032                                                                                            1
70036                                                                                            1
70037                                                                                            1
70038                                                                                            1
70039                                                                                            2
70040                                                                                            1
70041                                                                                            1
70043                                                                                            1
70047                                                                                          2,6
70049                                                                                            2
70050                                                                                            1
70051                                                                                            2
70052                                                                                            2
70053                                                                                            2
70056                                                                                            2
70057                                                                                            2
70058                                                                                            2
70062                                                                                          1,2
70065                                                                                          1,2
70067                                                                                            1
70068                                                                                          2,6
70070                                                                                            2
70071                                                                                            2
70072                                                                                          1,2
70075                                                                                            1
70076                                                                                            2
70079                                                                                            6
70080                                                                                            2
70082                                                                                            1
70083                                                                                            1
70084                                                                                            2
70085                                                                                            1
70086                                                                                            2
70087                                                                                          2,6
70090                                                                                            2
70091                                                                                            1
70092                                                                                            1
70094                                                                                            2
70112                                                                                            2
70113                                                                                            2
70114                                                                                            2
70115                                                                                          1,2
70116                                                                                            2
70117                                                                                            2
70118                                                                                          1,2
70119                                                                                          1,2
70121                                                                                          1,2
70122                                                                                          1,2
70123                                                                                          1,2
70124                                                                                          1,2
70125                                                                                          1,2
70126                                                                                          1,2
70127                                                                                          1,2
70128                                                                                          1,2
70129                                                                                          1,2
70130                                                                                            2
70131                                                                                            2
70139                                                                                            2
70163                                                                                            2
70301                                                                                          2,6
70339                                                                                          3,6
70340                                                                                            3
70341                                                                                          2,6
70342                                                                                            3
70343                                                                                            1
70344                                                                                            1
70345                                                                                            1
70346                                                                                            2
70352                                                                                            6
70353                                                                                            1
70354                                                                                            1
70355                                                                                            1
70356                                                                                            6
70357                                                                                            1
70358                                                                                            1
70359                                                                                            6
70360                                                                                          1,6
70363                                                                                            1
70364                                                                                          1,6
70372                                                                                          2,6
70373                                                                                            1
70374                                                                                            1
70375                                                                                            6
70377                                                                                            1
70380                                                                                          3,6
70390                                                                                          2,6
70391                                                                                            2
70392                                                                                            3
70393                                                                                            2
70394                                                                                          1,6
70395                                                                                            6
70397                                                                                            1
70401                                                                                          1,5
70402                                                                                            1
70403                                                                                          1,6
70420                                                                                            1
70422                                                                                          5,6
70426                                                                                            5
70427                                                                                          1,5
70431                                                                                          1,5
70433                                                                                            1
70435                                                                                          1,5
70436                                                                                            5
70437                                                                                          1,5
70438                                                                                            5
70441                                                                                          5,6
70442                                                                                            5
70443                                                                                        1,5,6
70444                                                                                          5,6
70445                                                                                            1
70446                                                                                            5
70447                                                                                            1
70448                                                                                            1
70449                                                                                            6
70450                                                                                            5
70451                                                                                          1,5
70452                                                                                            1
70453                                                                                            6
70454                                                                                            1
70455                                                                                          1,5
70456                                                                                            5
70458                                                                                            1
70460                                                                                            1
70461                                                                                            1
70462                                                                                          1,6
70463                                                                                            1
70464                                                                                            1
70465                                                                                            5
70466                                                                                        1,5,6
70471                                                                                            1
70501                                                                                            3
70503                                                                                            3
70506                                                                                            3
70507                                                                                            3
70508                                                                                            3
70510                                                                                            3
70512                                                                                          3-5
70513                                                                                            3
70514                                                                                            3
70515                                                                                          3,4
70516                                                                                            3
70517                                                                                            3
70518                                                                                            3
70519                                                                                            3
70520                                                                                          3,4
70523                                                                                            3
70524                                                                                            4
70525                                                                                          3,4
70526                                                                                            3
70528                                                                                            3
70529                                                                                            3
70531                                                                                            3
70532                                                                                          3,4
70533                                                                                            3
70534                                                                                            3
70535                                                                                          3,4
70537                                                                                            3
70538                                                                                            3
70541                                                                                            4
70542                                                                                            3
70543                                                                                            3
70544                                                                                            3
70546                                                                                            3
70548                                                                                            3
70549                                                                                            3
70550                                                                                            4
70552                                                                                            3
70554                                                                                            4
70555                                                                                            3
70556                                                                                            3
70558                                                                                            3
70559                                                                                            3
70560                                                                                            3
70563                                                                                            3
70570                                                                                          4,5
70575                                                                                            3
70576                                                                                            4
70577                                                                                          4,5
70578                                                                                            3
70580                                                                                            4
70581                                                                                            3
70582                                                                                            3
70583                                                                                            3
70584                                                                                          3,4
70585                                                                                            4
70586                                                                                            4
70589                                                                                          4,5
70591                                                                                            3
70592                                                                                            3
70601                                                                                            3
70605                                                                                            3
70607                                                                                            3
70611                                                                                            3
70615                                                                                            3
70630                                                                                            3
70631                                                                                            3
70632                                                                                            3
70633                                                                                          3,4
70634                                                                                            4
70637                                                                                            4
70638                                                                                            4
70639                                                                                            4
70640                                                                                            3
70643                                                                                            3
70644                                                                                            4
70645                                                                                            3
70646                                                                                            3
70647                                                                                            3
70648                                                                                          3,4
70650                                                                                            3
70651                                                                                            4
70652                                                                                            4
70653                                                                                            4
70654                                                                                            4
70655                                                                                            4
70656                                                                                          4,5
70657                                                                                          3,4
70658                                                                                            4
70659                                                                                            4
70660                                                                                            4
70661                                                                                          3,4
70662                                                                                            4
70663                                                                                            3
70665                                                                                            3
70668                                                                                            3
70669                                                                                            3
70706                                                                                            6
70710                                                                                          2,6
70711                                                                                            6
70712                                                                                            5
70714                                                                                          2,6
70715                                                                                            6
70719                                                                                          2,6
70721                                                                                            2
70722                                                                                          5,6
70723                                                                                            2
70725                                                                                          2,6
70726                                                                                            6
70729                                                                                            6
70730                                                                                          5,6
70732                                                                                            6
70733                                                                                            6
70734                                                                                          2,6
70736                                                                                            6
70737                                                                                          2,6
70739                                                                                            6
70740                                                                                            6
70743                                                                                            2
70744                                                                                            6
70747                                                                                            6
70748                                                                                          5,6
70749                                                                                            6
70750                                                                                          5,6
70752                                                                                            6
70753                                                                                            6
70754                                                                                            6
70755                                                                                            6
70756                                                                                            6
70757                                                                                          3,6
70759                                                                                            6
70760                                                                                            6
70761                                                                                            5
70762                                                                                            6
70763                                                                                            2
70764                                                                                          2,6
70767                                                                                          2,6
70769                                                                                            6
70770                                                                                            6
70772                                                                                            6
70773                                                                                            6
70774                                                                                            6
70775                                                                                            5
70776                                                                                            2
70777                                                                                            6
70778                                                                                            6
