MAINE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

03579                                                                                            2
03901                                                                                            1
03902                                                                                            1
03903                                                                                            1
03904                                                                                            1
03905                                                                                            1
03906                                                                                            1
03907                                                                                            1
03908                                                                                            1
03909                                                                                            1
03910                                                                                            1
03911                                                                                            1
04001                                                                                            1
04002                                                                                            1
04003                                                                                            1
04005                                                                                            1
04006                                                                                            1
04008                                                                                            1
04009                                                                                            1
04010                                                                                            2
04011                                                                                            1
04015                                                                                            1
04017                                                                                            1
04019                                                                                            1
04020                                                                                            1
04021                                                                                            1
04022                                                                                            2
04024                                                                                            1
04027                                                                                            1
04029                                                                                            1
04030                                                                                            1
04032                                                                                            1
04037                                                                                            2
04038                                                                                            1
04039                                                                                            1
04040                                                                                          1,2
04041                                                                                            2
04042                                                                                            1
04043                                                                                            1
04046                                                                                            1
04047                                                                                            1
04048                                                                                            1
04049                                                                                            1
04050                                                                                            1
04051                                                                                            2
04055                                                                                            1
04056                                                                                            1
04057                                                                                            1
04061                                                                                            1
04062                                                                                            1
04063                                                                                            1
04064                                                                                            1
04066                                                                                            1
04068                                                                                            2
04069                                                                                            1
04071                                                                                            1
04072                                                                                            1
04073                                                                                            1
04074                                                                                            1
04076                                                                                            1
04079                                                                                            1
04083                                                                                            1
04084                                                                                            1
04085                                                                                            1
04086                                                                                            1
04087                                                                                            1
04088                                                                                            2
04090                                                                                            1
04091                                                                                            1
04092                                                                                            1
04093                                                                                            1
04095                                                                                            1
04096                                                                                            1
04097                                                                                            1
04101                                                                                            1
04102                                                                                            1
04103                                                                                            1
04105                                                                                            1
04106                                                                                            1
04107                                                                                            1
04108                                                                                            1
04109                                                                                            1
04110                                                                                            1
04210                                                                                            2
04216                                                                                            2
04217                                                                                            2
04219                                                                                            2
04220                                                                                            2
04221                                                                                            2
04222                                                                                            2
04224                                                                                            2
04226                                                                                            2
04227                                                                                            2
04228                                                                                            2
04231                                                                                            2
04234                                                                                            2
04236                                                                                            2
04237                                                                                            2
04238                                                                                            2
04239                                                                                            2
04240                                                                                            2
04250                                                                                            2
04252                                                                                            2
04253                                                                                            2
04254                                                                                            2
04255                                                                                            2
04256                                                                                            2
04257                                                                                            2
04258                                                                                            2
04259                                                                                          1,2
04260                                                                                            1
04261                                                                                            2
04263                                                                                            2
04265                                                                                            2
04267                                                                                            2
04268                                                                                            2
04270                                                                                            2
04271                                                                                            2
04274                                                                                            2
04275                                                                                            2
04276                                                                                            2
04280                                                                                            2
04281                                                                                            2
04282                                                                                            2
04284                                                                                            2
04285                                                                                            2
04286                                                                                            2
04287                                                                                            1
04289                                                                                            2
04290                                                                                            2
04292                                                                                            2
04294                                                                                            2
04330                                                                                          1,2
04342                                                                                            1
04343                                                                                            1
04344                                                                                            1
04345                                                                                          1,2
04346                                                                                            2
04347                                                                                            1
04348                                                                                            1
04349                                                                                            2
04350                                                                                            2
04351                                                                                            1
04352                                                                                            2
04353                                                                                            1
04354                                                                                            2
04355                                                                                            1
04357                                                                                            1
04358                                                                                            1
04359                                                                                            2
04360                                                                                            2
04363                                                                                            1
04364                                                                                            1
04401                                                                                            2
04406                                                                                            2
04408                                                                                            2
04410                                                                                            2
04411                                                                                            2
04412                                                                                            2
04413                                                                                            2
04414                                                                                            2
04415                                                                                            2
04416                                                                                            2
04417                                                                                            2
04418                                                                                            2
04419                                                                                            2
04421                                                                                            2
04422                                                                                            2
04424                                                                                            2
04426                                                                                            2
04427                                                                                            2
04428                                                                                            2
04429                                                                                            2
04430                                                                                            2
04431                                                                                            2
04434                                                                                            2
04435                                                                                            2
04438                                                                                            2
04441                                                                                            2
04442                                                                                            2
04443                                                                                            2
04444                                                                                            2
04448                                                                                            2
04449                                                                                            2
04450                                                                                            2
04451                                                                                            2
04453                                                                                            2
04454                                                                                            2
04455                                                                                            2
04456                                                                                            2
04457                                                                                            2
04459                                                                                            2
04460                                                                                            2
04461                                                                                            2
04462                                                                                            2
04463                                                                                            2
04464                                                                                            2
04468                                                                                            2
04469                                                                                            2
04471                                                                                            2
04472                                                                                            2
04473                                                                                            2
04474                                                                                            2
04475                                                                                            2
04476                                                                                            2
04478                                                                                            2
04479                                                                                            2
04481                                                                                            2
04485                                                                                            2
04487                                                                                            2
04488                                                                                            2
04489                                                                                            2
04490                                                                                            2
04491                                                                                            2
04492                                                                                            2
04493                                                                                            2
04495                                                                                            2
04496                                                                                            2
04497                                                                                            2
04530                                                                                            1
04535                                                                                            1
04537                                                                                            1
04538                                                                                            1
04539                                                                                            1
04541                                                                                            1
04543                                                                                            1
04544                                                                                            1
04547                                                                                            1
04548                                                                                            1
04551                                                                                            1
04553                                                                                            1
04554                                                                                            1
04555                                                                                            1
04556                                                                                            1
04558                                                                                            1
04562                                                                                            1
04563                                                                                            1
04564                                                                                            1
04568                                                                                            1
04570                                                                                            1
04571                                                                                            1
04572                                                                                            1
04573                                                                                            1
04574                                                                                            1
04575                                                                                            1
04576                                                                                            1
04578                                                                                            1
04579                                                                                            1
04605                                                                                            2
04606                                                                                            2
04607                                                                                            2
04609                                                                                            2
04611                                                                                            2
04612                                                                                            2
04613                                                                                            2
04614                                                                                            2
04616                                                                                            2
04617                                                                                            2
04619                                                                                            2
04622                                                                                            2
04623                                                                                            2
04624                                                                                            2
04625                                                                                            2
04626                                                                                            2
04627                                                                                            2
04628                                                                                            2
04629                                                                                            2
04630                                                                                            2
04631                                                                                            2
04634                                                                                            2
04635                                                                                            2
04637                                                                                            2
04640                                                                                            2
04642                                                                                            2
04643                                                                                            2
04644                                                                                            2
04645                                                                                            1
04646                                                                                            2
04648                                                                                            2
04649                                                                                            2
04650                                                                                            2
04652                                                                                            2
04653                                                                                            2
04654                                                                                            2
04655                                                                                            2
04657                                                                                            2
04658                                                                                            2
04660                                                                                            2
04662                                                                                            2
04664                                                                                            2
04666                                                                                            2
04667                                                                                            2
04668                                                                                            2
04669                                                                                            2
04671                                                                                            2
04673                                                                                            2
04674                                                                                            2
04675                                                                                            2
04676                                                                                            2
04677                                                                                            2
04679                                                                                            2
04680                                                                                            2
04681                                                                                            2
04683                                                                                            2
04684                                                                                            2
04685                                                                                            2
04686                                                                                            2
04691                                                                                            2
04693                                                                                            2
04694                                                                                            2
04730                                                                                            2
04732                                                                                            2
04733                                                                                            2
04734                                                                                            2
04735                                                                                            2
04736                                                                                            2
04739                                                                                            2
04740                                                                                            2
04741                                                                                            2
04742                                                                                            2
04743                                                                                            2
04745                                                                                            2
04746                                                                                            2
04747                                                                                            2
04750                                                                                            2
04756                                                                                            2
04757                                                                                            2
04758                                                                                            2
04760                                                                                            2
04761                                                                                            2
04762                                                                                            2
04763                                                                                            2
04764                                                                                            2
04765                                                                                            2
04766                                                                                            2
04768                                                                                            2
04769                                                                                            2
04772                                                                                            2
04773                                                                                            2
04774                                                                                            2
04776                                                                                            2
04777                                                                                            2
04779                                                                                            2
04780                                                                                            2
04781                                                                                            2
04783                                                                                            2
04785                                                                                            2
04786                                                                                            2
04787                                                                                            2
04841                                                                                            1
04843                                                                                            1
04847                                                                                            1
04848                                                                                            2
04849                                                                                            2
04851                                                                                            1
04852                                                                                            1
04853                                                                                            1
04854                                                                                            1
04855                                                                                            1
04856                                                                                            1
04858                                                                                            1
04859                                                                                            1
04860                                                                                            1
04861                                                                                            1
04862                                                                                            1
