MARYLAND CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

20601                                                                                            5
20602                                                                                            5
20603                                                                                            5
20606                                                                                            5
20607                                                                                            5
20608                                                                                            5
20609                                                                                            5
20611                                                                                            5
20612                                                                                            5
20613                                                                                            5
20615                                                                                            5
20616                                                                                            5
20617                                                                                            5
20618                                                                                            5
20619                                                                                            5
20620                                                                                            5
20621                                                                                            5
20622                                                                                            5
20623                                                                                            5
20624                                                                                            5
20625                                                                                            5
20626                                                                                            5
20628                                                                                            5
20629                                                                                            5
20630                                                                                            5
20632                                                                                            5
20634                                                                                            5
20636                                                                                            5
20637                                                                                            5
20639                                                                                            5
20640                                                                                            5
20645                                                                                            5
20646                                                                                            5
20650                                                                                            5
20653                                                                                            5
20657                                                                                            5
20658                                                                                            5
20659                                                                                            5
20660                                                                                            5
20662                                                                                            5
20664                                                                                            5
20667                                                                                            5
20670                                                                                            5
20674                                                                                            5
20675                                                                                            5
20676                                                                                            5
20677                                                                                            5
20678                                                                                            5
20680                                                                                            5
20684                                                                                            5
20685                                                                                            5
20686                                                                                            5
20687                                                                                            5
20688                                                                                            5
20689                                                                                            5
20690                                                                                            5
20692                                                                                            5
20693                                                                                            5
20695                                                                                            5
20701                                                                                            2
20705                                                                                          3-5
20706                                                                                          4,5
20707                                                                                          3-5
20708                                                                                          4,5
20710                                                                                            4
20711                                                                                            5
20712                                                                                            4
20714                                                                                            5
20715                                                                                            5
20716                                                                                            5
20720                                                                                          4,5
20721                                                                                          4,5
20722                                                                                            4
20723                                                                                          2,3
20724                                                                                          2-4
20732                                                                                            5
20733                                                                                            5
20735                                                                                          4,5
20736                                                                                            5
20737                                                                                          4,5
20740                                                                                          4,5
20742                                                                                            5
20743                                                                                            4
20744                                                                                          4,5
20745                                                                                            4
20746                                                                                          4,5
20747                                                                                            4
20748                                                                                          4,5
20751                                                                                            5
20754                                                                                            5
20755                                                                                          2,3
20758                                                                                            5
20759                                                                                            3
20762                                                                                          4,5
20763                                                                                            2
20764                                                                                            5
20765                                                                                            5
20769                                                                                          4,5
20770                                                                                            5
20772                                                                                          4,5
20774                                                                                          4,5
20776                                                                                            5
20777                                                                                          3,7
20778                                                                                            5
20779                                                                                            5
20781                                                                                          4,5
20782                                                                                          4,5
20783                                                                                          4,5
20784                                                                                          4,5
20785                                                                                            4
20794                                                                                            2
20812                                                                                            8
20814                                                                                            8
20815                                                                                            8
20816                                                                                            8
20817                                                                                          6,8
20818                                                                                            8
20832                                                                                            3
20833                                                                                        3,7,8
20837                                                                                            6
20838                                                                                            6
20839                                                                                            6
