MASSACHUSETTS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

01001                                                                                            1
01002                                                                                            2
01003                                                                                            2
01005                                                                                            2
01007                                                                                            2
01008                                                                                            1
01009                                                                                            1
01010                                                                                            1
01011                                                                                            1
01012                                                                                            1
01013                                                                                            1
01020                                                                                            1
01022                                                                                            1
01026                                                                                            1
01027                                                                                            1
01028                                                                                            1
01029                                                                                            1
01030                                                                                            1
01031                                                                                            2
01032                                                                                            1
01033                                                                                            1
01034                                                                                            1
01035                                                                                            2
01036                                                                                            1
01037                                                                                            2
01038                                                                                            2
01039                                                                                          1,2
01040                                                                                            1
01050                                                                                            1
01053                                                                                            2
01054                                                                                            2
01056                                                                                            1
01057                                                                                            1
01060                                                                                            2
01062                                                                                            2
01063                                                                                            2
01066                                                                                            2
01068                                                                                            2
01069                                                                                          1,2
01070                                                                                            1
01071                                                                                            1
01072                                                                                            2
01073                                                                                            1
01074                                                                                            2
01075                                                                                            1
01077                                                                                            1
01079                                                                                            1
01080                                                                                            1
01081                                                                                            1
01082                                                                                            2
01083                                                                                            1
01084                                                                                            1
01085                                                                                            1
01086                                                                                            1
01088                                                                                            2
01089                                                                                            1
01092                                                                                            1
01093                                                                                            2
01094                                                                                            2
01095                                                                                            1
01096                                                                                            1
01097                                                                                            1
01098                                                                                            1
01103                                                                                            1
01104                                                                                            1
01105                                                                                            1
01106                                                                                            1
01107                                                                                            1
01108                                                                                            1
01109                                                                                            1
01118                                                                                            1
01119                                                                                            1
01128                                                                                            1
01129                                                                                            1
01151                                                                                            1
01199                                                                                            1
01201                                                                                            1
01220                                                                                            1
01222                                                                                            1
01223                                                                                            1
01224                                                                                            1
01225                                                                                            1
01226                                                                                            1
01229                                                                                            1
01230                                                                                            1
01235                                                                                            1
01236                                                                                            1
01237                                                                                            1
01238                                                                                            1
01240                                                                                            1
01242                                                                                            1
01243                                                                                            1
01244                                                                                            1
01245                                                                                            1
01247                                                                                            1
01253                                                                                            1
01254                                                                                            1
01255                                                                                            1
01256                                                                                            1
01257                                                                                            1
01258                                                                                            1
01259                                                                                            1
01260                                                                                            1
01262                                                                                            1
01264                                                                                            1
01266                                                                                            1
01267                                                                                            1
01270                                                                                            1
01301                                                                                          1,2
01330                                                                                            1
01331                                                                                            2
01337                                                                                            1
01338                                                                                            1
01339                                                                                            1
01340                                                                                            1
01341                                                                                            1
01342                                                                                            2
01343                                                                                            1
01344                                                                                            2
01346                                                                                            1
01347                                                                                            2
01349                                                                                            2
01350                                                                                            1
01351                                                                                            2
01354                                                                                            2
01355                                                                                            2
01360                                                                                            2
01364                                                                                            2
01366                                                                                            2
01367                                                                                            1
01368                                                                                            2
01370                                                                                          1,2
01373                                                                                            2
01375                                                                                            2
01376                                                                                            2
01378                                                                                            2
01379                                                                                            2
01420                                                                                          2,3
01430                                                                                            3
01431                                                                                            3
01432                                                                                            3
01434                                                                                            3
01436                                                                                            2
01438                                                                                            2
01440                                                                                          2,3
01450                                                                                            3
01451                                                                                            3
01452                                                                                            2
01453                                                                                          2,3
01460                                                                                            3
01462                                                                                            3
01463                                                                                            3
01464                                                                                            3
01467                                                                                            3
01468                                                                                            2
01469                                                                                            3
01473                                                                                            3
01474                                                                                            3
01475                                                                                          2,3
01501                                                                                            2
01503                                                                                            3
01504                                                                                            2
01505                                                                                            2
01506                                                                                            1
01507                                                                                            1
01510                                                                                            3
01515                                                                                            1
01516                                                                                            2
01518                                                                                            1
01519                                                                                            2
01520                                                                                            2
01521                                                                                            1
01522                                                                                            2
01523                                                                                            3
01524                                                                                            2
01525                                                                                            2
01527                                                                                            2
01529                                                                                            2
01531                                                                                            2
01532                                                                                            2
01534                                                                                            2
01535                                                                                            2
01536                                                                                            2
01537                                                                                            2
01540                                                                                            2
01541                                                                                            2
01542                                                                                            2
01543                                                                                            2
01545                                                                                            2
01550                                                                                            1
01560                                                                                            2
01561                                                                                            3
01562                                                                                            2
01564                                                                                            2
01566                                                                                            1
01568                                                                                            2
01569                                                                                            2
01570                                                                                            2
01571                                                                                            1
01581                                                                                          2,5
01583                                                                                            2
01585                                                                                          1,2
01588                                                                                            2
01590                                                                                            2
01602                                                                                            2
01603                                                                                            2
01604                                                                                            2
01605                                                                                            2
01606                                                                                            2
01607                                                                                            2
01608                                                                                            2
01609                                                                                            2
01610                                                                                            2
01611                                                                                            2
01612                                                                                            2
01701                                                                                            5
01702                                                                                            5
01718                                                                                            3
01719                                                                                            3
01720                                                                                            3
01721                                                                                            5
01730                                                                                          5,6
01731                                                                                          5,6
01740                                                                                            3
01741                                                                                            3
01742                                                                                            3
01745                                                                                            5
01746                                                                                            5
01747                                                                                            4
01748                                                                                            4
01749                                                                                            3
01752                                                                                            3
01754                                                                                            3
01756                                                                                            2
01757                                                                                          2,4
01760                                                                                            5
01770                                                                                            5
01772                                                                                            5
01773                                                                                          3,5
01775                                                                                            3
01776                                                                                          3,5
01778                                                                                            5
01801                                                                                          5,6
01803                                                                                            6
01810                                                                                          3,6
