MICHIGAN CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

48001                                                                                           10
48002                                                                                           10
48003                                                                                           10
48005                                                                                           10
48006                                                                                           10
48009                                                                                         9,11
48014                                                                                           10
48015                                                                                            9
48017                                                                                         9,11
48021                                                                                            9
48022                                                                                           10
48023                                                                                           10
48025                                                                                         9,14
48026                                                                                            9
48027                                                                                           10
48028                                                                                           10
48030                                                                                            9
48032                                                                                           10
48033                                                                                           14
48034                                                                                         9,14
48035                                                                                            9
48036                                                                                         9,10
48038                                                                                            9
48039                                                                                           10
48040                                                                                           10
48041                                                                                           10
48042                                                                                           10
48043                                                                                            9
48044                                                                                           10
48045                                                                                         9,10
48047                                                                                           10
48048                                                                                           10
48049                                                                                           10
48050                                                                                           10
48051                                                                                           10
48054                                                                                           10
48059                                                                                           10
48060                                                                                           10
48062                                                                                           10
48063                                                                                           10
48064                                                                                           10
48065                                                                                           10
48066                                                                                            9
48067                                                                                            9
48069                                                                                            9
48070                                                                                         9,14
48071                                                                                            9
48072                                                                                            9
48073                                                                                         9,11
48074                                                                                           10
48075                                                                                           14
48076                                                                                           14
48079                                                                                           10
48080                                                                                            9
48081                                                                                            9
48082                                                                                            9
48083                                                                                           11
48084                                                                                         9,11
48085                                                                                           11
48088                                                                                            9
48089                                                                                            9
48091                                                                                            9
48092                                                                                            9
48093                                                                                            9
48094                                                                                           10
48095                                                                                           10
48096                                                                                           10
48097                                                                                           10
48098                                                                                           11
48101                                                                                           12
48103                                                                                         7,12
48104                                                                                           12
48105                                                                                         7,12
48108                                                                                         7,12
48109                                                                                           12
48111                                                                                         7,12
48114                                                                                            8
48116                                                                                            8
48117                                                                                            7
48118                                                                                            7
48120                                                                                           12
48122                                                                                        12,13
48124                                                                                           12
48125                                                                                        12,13
48126                                                                                        12,13
48127                                                                                           13
48128                                                                                           12
48130                                                                                         7,12
48131                                                                                            7
48133                                                                                            7
48134                                                                                         7,12
48135                                                                                           13
48137                                                                                          7,8
48138                                                                                           12
48139                                                                                            8
48140                                                                                            7
48141                                                                                           13
48143                                                                                            8
48144                                                                                            7
48145                                                                                            7
48146                                                                                           12
48150                                                                                           11
48152                                                                                           11
48154                                                                                           11
48157                                                                                            7
48158                                                                                            7
48159                                                                                            7
48160                                                                                            7
48161                                                                                            7
48162                                                                                            7
48164                                                                                         7,12
48165                                                                                           11
48166                                                                                            7
48167                                                                                      7,11,14
48168                                                                                         7,11
48169                                                                                          7,8
48170                                                                                      7,11,12
48173                                                                                           12
48174                                                                                        12,13
48176                                                                                         7,12
48177                                                                                            7
48178                                                                                       7,8,11
48179                                                                                            7
48180                                                                                           12
48182                                                                                            7
48183                                                                                           12
48184                                                                                        12,13
48185                                                                                           13
48186                                                                                           13
48187                                                                                           11
48188                                                                                        11,12
48189                                                                                          7,8
48190                                                                                            7
48191                                                                                            7
48192                                                                                           12
48193                                                                                           12
48195                                                                                           12
48197                                                                                         7,12
48198                                                                                           12
48201                                                                                           13
48202                                                                                           13
48203                                                                                        13,14
48204                                                                                           13
48205                                                                                           14
48206                                                                                           13
48207                                                                                        13,14
48208                                                                                           13
48209                                                                                        13,14
48210                                                                                        13,14
48211                                                                                        13,14
48212                                                                                        13,14
48213                                                                                        13,14
48214                                                                                        13,14
48215                                                                                        13,14
48216                                                                                        13,14
48217                                                                                        12,13
48218                                                                                           13
48219                                                                                           13
48220                                                                                         9,14
48221                                                                                        13,14
48223                                                                                           13
48224                                                                                           14
48225                                                                                           14
48226                                                                                        13,14
48227                                                                                        13,14
48228                                                                                           13
48229                                                                                        12,13
48230                                                                                           14
48233                                                                                           14
48234                                                                                           14
48235                                                                                        13,14
48236                                                                                         9,14
48237                                                                                         9,14
48238                                                                                        13,14
48239                                                                                           13
48240                                                                                           13
48242                                                                                           13
48243                                                                                           14
48301                                                                                         9,14
48302                                                                                         9,14
48304                                                                                         9,11
48306                                                                                         8,10
48307                                                                                            8
48309                                                                                         8,11
48310                                                                                         9,10
48312                                                                                         9,10
48313                                                                                         9,10
48314                                                                                           10
48315                                                                                           10
48316                                                                                           10
48317                                                                                           10
48320                                                                                      9,11,14
48322                                                                                           14
48323                                                                                      9,11,14
48324                                                                                        11,14
48326                                                                                      8,11,14
48327                                                                                           11
48328                                                                                        11,14
48329                                                                                         8,11
48331                                                                                           14
48334                                                                                           14
48335                                                                                        11,14
48336                                                                                        11,14
48340                                                                                           14
48341                                                                                      9,11,14
48342                                                                                           14
48346                                                                                         8,11
48348                                                                                            8
48350                                                                                            8
48353                                                                                            8
48356                                                                                           11
48357                                                                                           11
48359                                                                                         8,11
48360                                                                                            8
48362                                                                                            8
48363                                                                                            8
48367                                                                                            8
48370                                                                                            8
48371                                                                                         8,10
48374                                                                                           11
48375                                                                                           11
48377                                                                                           11
48380                                                                                         8,11
48381                                                                                           11
48382                                                                                           11
48383                                                                                           11
48386                                                                                         8,11
48390                                                                                           11
48393                                                                                           11
48397                                                                                            9
48401                                                                                           10
48411                                                                                            5
48412                                                                                           10
48413                                                                                           10
48414                                                                                            4
48415                                                                                          4,5
48416                                                                                           10
48417                                                                                            4
48418                                                                                        4,5,8
48419                                                                                           10
48420                                                                                          4,5
48421                                                                                         5,10
48422                                                                                           10
48423                                                                                         5,10
48426                                                                                           10
48427                                                                                           10
48428                                                                                         8,10
48429                                                                                          4,5
48430                                                                                          5,8
48432                                                                                           10
48433                                                                                          4,5
48434                                                                                           10
48435                                                                                           10
48436                                                                                          4,5
48437                                                                                            5
48438                                                                                         5,10
48439                                                                                          5,8
48440                                                                                           10
48441                                                                                           10
48442                                                                                       5,8,11
48444                                                                                           10
48445                                                                                           10
48446                                                                                           10
48449                                                                                          4,5
48450                                                                                           10
48451                                                                                          5,8
48453                                                                                           10
48454                                                                                           10
48455                                                                                           10
48456                                                                                           10
48457                                                                                          4,5
48458                                                                                            5
48460                                                                                            4
48461                                                                                           10
48462                                                                                       5,8,10
48463                                                                                            5
48464                                                                                         5,10
48465                                                                                           10
48466                                                                                           10
48467                                                                                           10
48468                                                                                           10
48469                                                                                           10
48470                                                                                           10
48471                                                                                           10
48472                                                                                           10
48473                                                                                            5
48475                                                                                           10
48476                                                                                            4
48502                                                                                            5
48503                                                                                            5
48504                                                                                            5
48505                                                                                            5
48506                                                                                            5
48507                                                                                            5
48509                                                                                            5
48519                                                                                            5
48529                                                                                            5
48532                                                                                            5
48551                                                                                            5
48553                                                                                            5
48554                                                                                            5
48601                                                                                          4,5
48602                                                                                            5
48603                                                                                          4,5
48604                                                                                          4,5
48607                                                                                            5
48609                                                                                            4
48610                                                                                          4,5
48611                                                                                            5
48612                                                                                            4
48613                                                                                          4,5
48614                                                                                            4
48615                                                                                            4
48616                                                                                            4
48617                                                                                            4
48618                                                                                            4
48619                                                                                            1
48621                                                                                            1
48622                                                                                            4
48623                                                                                          4,5
48624                                                                                            4
48625                                                                                            4
48626                                                                                            4
48627                                                                                            4
48628                                                                                            4
48629                                                                                            4
48630                                                                                            4
48631                                                                                            5
48632                                                                                            4
48633                                                                                            4
48634                                                                                            5
48635                                                                                            4
48636                                                                                            1
48637                                                                                            4
48638                                                                                            5
48640                                                                                            4
48642                                                                                          4,5
48647                                                                                            1
48649                                                                                            4
48650                                                                                            5
48651                                                                                            4
48652                                                                                          4,5
48653                                                                                          1,4
48654                                                                                          1,4
48655                                                                                            4
48656                                                                                            4
48657                                                                                            4
48658                                                                                            5
48659                                                                                            5
48661                                                                                            4
48662                                                                                            4
48667                                                                                            4
48701                                                                                           10
48703                                                                                            5
48705                                                                                            1
48706                                                                                            5
48708                                                                                            5
48710                                                                                            5
48720                                                                                           10
48721                                                                                            1
48722                                                                                          4,5
48723                                                                                           10
48724                                                                                            5
48725                                                                                           10
48726                                                                                           10
48727                                                                                           10
48728                                                                                            1
48729                                                                                           10
48730                                                                                            5
48731                                                                                           10
48732                                                                                            5
48733                                                                                         5,10
48734                                                                                          4,5
48735                                                                                           10
48737                                                                                          1,5
48738                                                                                          1,5
48739                                                                                          4,5
48740                                                                                            1
48741                                                                                           10
48742                                                                                            1
48743                                                                                            5
48744                                                                                           10
48745                                                                                          1,5
48746                                                                                         5,10
48747                                                                                            5
48748                                                                                            5
48749                                                                                            5
48750                                                                                          1,5
48754                                                                                           10
48755                                                                                           10
48756                                                                                            4
48757                                                                                         5,10
48759                                                                                           10
48760                                                                                           10
48761                                                                                        1,4,5
48762                                                                                            1
48763                                                                                            5
48765                                                                                            5
48766                                                                                            5
48767                                                                                           10
48768                                                                                         5,10
48770                                                                                            5
48801                                                                                            4
48806                                                                                            4
48807                                                                                            4
48808                                                                                            4
48809                                                                                          3,4
48811                                                                                            4
48813                                                                                          3,7
48815                                                                                            3
48816                                                                                            8
48817                                                                                            4
48818                                                                                            4
48819                                                                                            8
48820                                                                                            4
48821                                                                                          7,8
48822                                                                                            4
48823                                                                                          4,8
48825                                                                                            8
48827                                                                                          7,8
48829                                                                                            4
48831                                                                                            4
48832                                                                                            4
48834                                                                                          3,4
48835                                                                                            4
48836                                                                                            8
48837                                                                                        3,4,7
48838                                                                                          3,4
48840                                                                                          4,8
48841                                                                                            4
48842                                                                                            8
48843                                                                                            8
48845                                                                                          3,4
48846                                                                                            3
48847                                                                                            4
48848                                                                                            4
48849                                                                                          3,7
48850                                                                                            4
48851                                                                                            3
48852                                                                                            4
48853                                                                                            4
48854                                                                                            8
48855                                                                                            8
48856                                                                                            4
48857                                                                                            4
48858                                                                                            4
48860                                                                                            3
48861                                                                                          3,7
48864                                                                                            8
48865                                                                                            3
48866                                                                                            4
48867                                                                                            4
48870                                                                                            3
48871                                                                                            4
48872                                                                                          4,8
48873                                                                                          3,4
48874                                                                                            4
48875                                                                                          3,4
48876                                                                                            7
48877                                                                                            4
48878                                                                                            4
48879                                                                                            4
