MINNESOTA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

51360                                                                                            1
55001                                                                                          2,4
55003                                                                                            4
55005                                                                                            6
55006                                                                                            8
55007                                                                                            8
55008                                                                                            8
55009                                                                                            2
55011                                                                                            6
55012                                                                                            8
55013                                                                                            8
55014                                                                                            6
55016                                                                                            2
55017                                                                                            8
55018                                                                                            2
55019                                                                                          1,2
55020                                                                                            2
55021                                                                                          1,2
55024                                                                                            2
55025                                                                                          6,8
55026                                                                                            2
55027                                                                                            2
55029                                                                                            8
55030                                                                                            8
55031                                                                                            2
55032                                                                                            8
55033                                                                                            2
55036                                                                                            8
55037                                                                                            8
55038                                                                                          4,6
55040                                                                                            8
55041                                                                                            2
55042                                                                                            4
55043                                                                                            4
55044                                                                                            2
55045                                                                                            8
55046                                                                                            1
55047                                                                                            6
55049                                                                                          1,2
55051                                                                                            8
55052                                                                                            1
55053                                                                                            2
55054                                                                                            2
55055                                                                                            4
55056                                                                                            8
55057                                                                                          1,2
55060                                                                                            1
55063                                                                                            8
55065                                                                                            2
55066                                                                                            2
55068                                                                                            2
55069                                                                                            8
55070                                                                                          6,8
55071                                                                                          2,4
55072                                                                                            8
55073                                                                                          6,8
55074                                                                                            8
55075                                                                                            2
55076                                                                                            2
55077                                                                                            2
55079                                                                                          6,8
55080                                                                                            8
55082                                                                                          4,6
55084                                                                                            8
55085                                                                                            2
55087                                                                                            1
55088                                                                                          1,2
55089                                                                                            2
55090                                                                                            4
55092                                                                                          6,8
55101                                                                                            4
55102                                                                                            4
55103                                                                                            4
55104                                                                                            4
55105                                                                                            4
55106                                                                                            4
55107                                                                                            4
55108                                                                                            4
55109                                                                                            4
55110                                                                                          4,6
55111                                                                                            5
55112                                                                                          4,5
55113                                                                                            4
55114                                                                                            4
55115                                                                                            4
55116                                                                                            4
55117                                                                                            4
55118                                                                                          2,4
55119                                                                                            4
55120                                                                                            2
55121                                                                                            2
55122                                                                                            2
55123                                                                                            2
55124                                                                                            2
55125                                                                                            4
55126                                                                                          4,6
55127                                                                                            4
55128                                                                                            4
55129                                                                                            4
55130                                                                                            4
55150                                                                                            2
55155                                                                                            4
55301                                                                                            6
55302                                                                                            6
55303                                                                                            6
55304                                                                                          3,6
55305                                                                                          3,5
55306                                                                                            2
55307                                                                                            7
55308                                                                                            6
55309                                                                                            6
55310                                                                                            7
55311                                                                                            3
55312                                                                                            7
55313                                                                                            6
55314                                                                                            7
55315                                                                                            6
55316                                                                                            3
55317                                                                                            3
55318                                                                                          3,6
55319                                                                                            6
55320                                                                                            6
55321                                                                                            6
55322                                                                                            6
55324                                                                                            7
55325                                                                                            7
55327                                                                                          3,6
55328                                                                                          3,6
55329                                                                                          6,7
55330                                                                                            6
55331                                                                                            3
55332                                                                                          1,7
55333                                                                                          1,7
55334                                                                                          1,7
55335                                                                                          1,7
55336                                                                                            7
55337                                                                                            2
