MISSISSIPPI CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

38326                                                                                            1
38601                                                                                            1
38603                                                                                            1
38606                                                                                          1,2
38610                                                                                            1
38611                                                                                            1
38614                                                                                            2
38617                                                                                            2
38618                                                                                            1
38619                                                                                          1,2
38620                                                                                            2
38621                                                                                            2
38622                                                                                            2
38623                                                                                            2
38625                                                                                            1
38626                                                                                            2
38627                                                                                            1
38629                                                                                            1
38630                                                                                            2
38631                                                                                            2
38632                                                                                            1
38633                                                                                            1
38635                                                                                            1
38637                                                                                            1
38639                                                                                            2
38641                                                                                            1
38642                                                                                            1
38643                                                                                            2
38644                                                                                            2
38645                                                                                            2
38646                                                                                            2
38647                                                                                            1
38650                                                                                            1
38651                                                                                            1
38652                                                                                            1
38654                                                                                            1
38655                                                                                            1
38658                                                                                            2
38659                                                                                            1
38661                                                                                            1
38663                                                                                            1
38664                                                                                            2
38665                                                                                          1,2
38666                                                                                            2
38668                                                                                            1
38670                                                                                            2
38671                                                                                            1
38672                                                                                            1
38673                                                                                            1
38674                                                                                            1
38676                                                                                            2
38677                                                                                            1
38680                                                                                            1
38683                                                                                            1
38685                                                                                            1
38701                                                                                            2
38702                                                                                            2
38703                                                                                            2
38704                                                                                            2
38720                                                                                            2
38721                                                                                            2
38722                                                                                            2
38723                                                                                            2
38725                                                                                            2
38726                                                                                            2
38730                                                                                            2
38731                                                                                            2
38732                                                                                            2
38736                                                                                            2
38737                                                                                            2
38738                                                                                            2
38740                                                                                            2
38744                                                                                            2
38745                                                                                            2
38746                                                                                            2
38748                                                                                            2
38749                                                                                            2
38751                                                                                            2
38753                                                                                            2
38754                                                                                            2
38756                                                                                            2
38759                                                                                            2
38760                                                                                            2
38761                                                                                            2
38762                                                                                            2
38764                                                                                            2
38765                                                                                            2
38767                                                                                            2
38768                                                                                            2
38769                                                                                            2
38771                                                                                            2
38772                                                                                            2
38773                                                                                            2
38774                                                                                            2
38778                                                                                            2
38781                                                                                            2
38801                                                                                            1
38804                                                                                            1
38821                                                                                            1
38824                                                                                            1
38826                                                                                            1
38827                                                                                            1
38828                                                                                            1
38829                                                                                            1
38833                                                                                            1
38834                                                                                            1
38838                                                                                            1
38841                                                                                            1
38843                                                                                            1
38844                                                                                            1
38846                                                                                            1
38847                                                                                            1
38848                                                                                            1
38849                                                                                            1
38850                                                                                            1
38851                                                                                            1
38852                                                                                            1
38855                                                                                            1
38856                                                                                            1
38857                                                                                            1
38858                                                                                            1
38859                                                                                            1
38860                                                                                            1
38862                                                                                            1
38863                                                                                            1
38864                                                                                            1
38865                                                                                            1
38866                                                                                            1
38868                                                                                            1
38869                                                                                            1
38870                                                                                            1
38871                                                                                            1
38873                                                                                            1
38876                                                                                            1
38878                                                                                            1
38879                                                                                            1
38901                                                                                            2
38913                                                                                            1
38914                                                                                          1,2
38915                                                                                            1
38916                                                                                            1
38917                                                                                            2
38920                                                                                            2
38921                                                                                            2
38922                                                                                            2
38923                                                                                            2
38924                                                                                            2
38925                                                                                          1,2
38927                                                                                            2
38928                                                                                            2
38929                                                                                          1,2
38930                                                                                            2
38940                                                                                            2
38941                                                                                            2
38943                                                                                            2
38944                                                                                            2
38945                                                                                            2
38946                                                                                            2
38947                                                                                            2
38948                                                                                            2
38949                                                                                            1
38950                                                                                            2
38951                                                                                            1
38952                                                                                            2
38953                                                                                            2
38954                                                                                            2
38957                                                                                            2
38958                                                                                            2
38961                                                                                            2
38962                                                                                            2
38963                                                                                            2
38964                                                                                            2
38965                                                                                          1,2
38966                                                                                            2
38967                                                                                            2
39038                                                                                            2
39039                                                                                            2
39040                                                                                            2
39041                                                                                            2
39042                                                                                            3
39044                                                                                            3
39045                                                                                            2
39046                                                                                          2,3
39047                                                                                            3
39051                                                                                          2,3
39054                                                                                            2
39056                                                                                            2
39057                                                                                            3
39059                                                                                            2
39061                                                                                            2
39062                                                                                            3
39063                                                                                            2
39066                                                                                            2
39067                                                                                            2
39069                                                                                            2
39071                                                                                          2,3
