MISSOURI CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

51640                                                                                            6
52542                                                                                            6
52573                                                                                            6
52626                                                                                            6
63005                                                                                            2
63010                                                                                          2,3
63011                                                                                            2
63012                                                                                          3,8
63013                                                                                            3
63014                                                                                            3
63015                                                                                          3,8
63016                                                                                          3,8
63017                                                                                            2
63019                                                                                          3,8
63020                                                                                            8
63021                                                                                            2
63023                                                                                          3,8
63025                                                                                          2,3
63026                                                                                          2,3
63028                                                                                          3,8
63030                                                                                            8
63031                                                                                            1
63033                                                                                            1
63034                                                                                            1
63036                                                                                            8
63037                                                                                            3
63038                                                                                            2
63039                                                                                            3
63040                                                                                            2
63041                                                                                          3,8
63042                                                                                            1
63043                                                                                          1,2
63044                                                                                          1,2
63045                                                                                            1
63047                                                                                            8
63048                                                                                            3
63049                                                                                          2,3
63050                                                                                          3,8
63051                                                                                            3
63052                                                                                            3
63053                                                                                            3
63055                                                                                            3
63056                                                                                            3
63057                                                                                            3
63060                                                                                            3
63061                                                                                            3
63068                                                                                            3
63069                                                                                          2,3
63070                                                                                          3,8
63071                                                                                            8
63072                                                                                          3,8
63073                                                                                            3
63074                                                                                          1,2
63077                                                                                            3
63079                                                                                            3
63080                                                                                          3,8
63084                                                                                            3
63087                                                                                            8
63088                                                                                            2
63089                                                                                            3
63090                                                                                            3
63091                                                                                            3
63101                                                                                            1
63102                                                                                            1
63103                                                                                            1
63104                                                                                            1
63105                                                                                          1,2
63106                                                                                            1
63107                                                                                            1
63108                                                                                            1
63109                                                                                            1
63110                                                                                            1
63111                                                                                            1
63112                                                                                            1
63113                                                                                            1
63114                                                                                          1,2
63115                                                                                            1
63116                                                                                            1
63117                                                                                          1,2
63118                                                                                            1
63119                                                                                          1,2
63120                                                                                            1
63121                                                                                            1
63122                                                                                          1,2
63123                                                                                          1,2
63124                                                                                          1,2
63125                                                                                          1,2
63126                                                                                            2
63127                                                                                            2
63128                                                                                            2
63129                                                                                            2
63130                                                                                          1,2
63131                                                                                            2
63132                                                                                          1,2
63133                                                                                            1
63134                                                                                            1
63135                                                                                            1
63136                                                                                            1
63137                                                                                            1
63138                                                                                            1
63139                                                                                            1
63140                                                                                            1
63141                                                                                          1,2
63143                                                                                            1
63144                                                                                          1,2
63146                                                                                          1,2
63147                                                                                            1
63155                                                                                            1
63301                                                                                          2,3
63303                                                                                          2,3
63304                                                                                          2,3
63330                                                                                            6
63332                                                                                            3
63333                                                                                            3
63334                                                                                          3,6
63336                                                                                            6
63339                                                                                            6
63341                                                                                          2,3
63343                                                                                          3,6
63344                                                                                          3,6
63345                                                                                            6
63347                                                                                            3
63348                                                                                            3
63349                                                                                            3
63350                                                                                            3
63351                                                                                            3
63352                                                                                          4,6
63353                                                                                            6
63357                                                                                            3
63359                                                                                          3,6
63361                                                                                            3
63362                                                                                            3
63363                                                                                            3
63366                                                                                          2,3
63367                                                                                            3
63368                                                                                          2,3
63369                                                                                            3
63370                                                                                            3
63373                                                                                            3
63376                                                                                          2,3
63377                                                                                            3
63379                                                                                            3
63381                                                                                            3
63382                                                                                            6
63383                                                                                            3
63384                                                                                          3,6
63385                                                                                          2,3
63386                                                                                            3
63387                                                                                            3
63388                                                                                            3
63389                                                                                            3
63390                                                                                            3
63401                                                                                            6
63430                                                                                            6
63431                                                                                            6
63432                                                                                            6
63433                                                                                            6
63434                                                                                            6
63435                                                                                            6
63436                                                                                            6
63437                                                                                            6
63438                                                                                            6
63439                                                                                            6
63440                                                                                            6
63441                                                                                            6
63443                                                                                            6
63445                                                                                            6
63446                                                                                            6
63447                                                                                            6
63448                                                                                            6
63450                                                                                            6
63451                                                                                            6
63452                                                                                            6
63453                                                                                            6
63454                                                                                            6
63456                                                                                            6
63457                                                                                            6
63458                                                                                            6
63459                                                                                            6
63460                                                                                            6
63461                                                                                            6
63462                                                                                            6
63463                                                                                            6
63464                                                                                            6
63465                                                                                            6
63467                                                                                            6
63468                                                                                            6
63469                                                                                            6
63471                                                                                            6
63472                                                                                            6
63473                                                                                            6
63474                                                                                            6
63501                                                                                            6
63530                                                                                            6
63531                                                                                            6
63532                                                                                            6
63533                                                                                            6
63534                                                                                            6
63535                                                                                            6
63536                                                                                            6
63537                                                                                            6
63538                                                                                            6
63539                                                                                            6
63540                                                                                            6
63541                                                                                            6
63543                                                                                            6
63544                                                                                            6
63545                                                                                            6
63546                                                                                            6
63547                                                                                            6
63548                                                                                            6
63549                                                                                            6
63551                                                                                            6
63552                                                                                            6
63555                                                                                            6
63556                                                                                            6
63557                                                                                            6
63558                                                                                            6
63559                                                                                            6
63560                                                                                            6
63561                                                                                            6
63563                                                                                            6
63565                                                                                            6
63566                                                                                            6
63567                                                                                            6
63601                                                                                            8
63620                                                                                            8
63621                                                                                            8
63622                                                                                            8
63623                                                                                            8
63624                                                                                            8
63625                                                                                            8
63626                                                                                            8
63627                                                                                            8
63628                                                                                            8
63629                                                                                            8
63630                                                                                            8
63631                                                                                            8
63633                                                                                            8
63636                                                                                            8
63637                                                                                            8
63638                                                                                            8
63640                                                                                            8
63645                                                                                            8
63648                                                                                            8
63650                                                                                            8
63653                                                                                            8
63654                                                                                            8
63655                                                                                            8
63656                                                                                            8
63660                                                                                            8
63662                                                                                            8
63663                                                                                            8
63664                                                                                            8
63665                                                                                            8
63666                                                                                            8
63670                                                                                            8
63673                                                                                            8
63674                                                                                            8
63675                                                                                            8
63701                                                                                            8
63703                                                                                            8
63730                                                                                            8
63732                                                                                            8
63735                                                                                            8
63736                                                                                            8
63738                                                                                            8
63739                                                                                            8
63740                                                                                            8
63742                                                                                            8
63743                                                                                            8
63744                                                                                            8
63745                                                                                            8
63746                                                                                            8
63747                                                                                            8
63748                                                                                            8
63750                                                                                            8
63751                                                                                            8
63755                                                                                            8
63758                                                                                            8
63760                                                                                            8
63763                                                                                            8
63764                                                                                            8
63766                                                                                            8
63767                                                                                            8
63769                                                                                            8
63770                                                                                            8
63771                                                                                            8
63774                                                                                            8
63775                                                                                            8
63780                                                                                            8
63781                                                                                            8
63782                                                                                            8
63783                                                                                            8
63784                                                                                            8
63785                                                                                            8
63787                                                                                            8
63801                                                                                            8
63820                                                                                            8
63821                                                                                            8
63822                                                                                            8
63823                                                                                            8
63824                                                                                            8
63825                                                                                            8
63826                                                                                            8
63827                                                                                            8
63828                                                                                            8
63829                                                                                            8
63830                                                                                            8
63833                                                                                            8
63834                                                                                            8
63837                                                                                            8
63839                                                                                            8
63841                                                                                            8
63845                                                                                            8
63846                                                                                            8
63847                                                                                            8
63848                                                                                            8
63849                                                                                            8
63851                                                                                            8
63852                                                                                            8
63853                                                                                            8
63855                                                                                            8
63857                                                                                            8
63860                                                                                            8
63862                                                                                            8
63863                                                                                            8
63866                                                                                            8
63867                                                                                            8
63868                                                                                            8
63869                                                                                            8
63870                                                                                            8
63873                                                                                            8
63874                                                                                            8
63876                                                                                            8
63877                                                                                            8
63878                                                                                            8
63879                                                                                            8
63880                                                                                            8
63882                                                                                            8
63901                                                                                            8
63902                                                                                            8
63932                                                                                            8
63933                                                                                            8
63934                                                                                            8
63935                                                                                            8
63936                                                                                            8
63937                                                                                            8
63939                                                                                            8
63940                                                                                            8
63941                                                                                            8
63942                                                                                            8
63943                                                                                            8
63944                                                                                            8
63945                                                                                            8
63951                                                                                            8
63952                                                                                            8
63953                                                                                            8
63954                                                                                            8
63955                                                                                            8
63956                                                                                            8
63957                                                                                            8
63960                                                                                            8
63961                                                                                            8
63962                                                                                            8
63964                                                                                            8
63965                                                                                            8
63966                                                                                            8
63967                                                                                            8
64001                                                                                            5
64011                                                                                          4,5
64012                                                                                            4
64014                                                                                          5,6
64015                                                                                          5,6
64016                                                                                            6
64017                                                                                            5
64018                                                                                            6
64019                                                                                            4
64020                                                                                          4,5
64021                                                                                            5
64022                                                                                            5
64024                                                                                          5,6
64029                                                                                          5,6
64030                                                                                            5
64034                                                                                          4,5
64035                                                                                          5,6
64036                                                                                            5
64037                                                                                            5
64040                                                                                            4
64048                                                                                            6
64050                                                                                            5
64052                                                                                            5
64053                                                                                            5
64054                                                                                            5
64055                                                                                          5,6
64056                                                                                          5,6
64057                                                                                          5,6
64058                                                                                          5,6
64060                                                                                            6
64061                                                                                            4
64062                                                                                          5,6
64063                                                                                          5,6
64064                                                                                          5,6
64065                                                                                            5
64066                                                                                            6
64067                                                                                            5
64068                                                                                          5,6
64070                                                                                          4,5
64071                                                                                            5
64072                                                                                            6
64074                                                                                            5
64075                                                                                          5,6
64076                                                                                          4,5
64077                                                                                          5,6
64078                                                                                            4
64079                                                                                            6
64080                                                                                          4,5
64081                                                                                            5
64082                                                                                          4,5
64083                                                                                            4
64084                                                                                            5
64085                                                                                            5
64086                                                                                          5,6
64088                                                                                            6
64089                                                                                            6
64090                                                                                            4
64092                                                                                            6
64093                                                                                          4,5
64096                                                                                            5
64097                                                                                            5
64098                                                                                            6
64101                                                                                            5
64102                                                                                            5
64105                                                                                            5
64106                                                                                            5
64108                                                                                            5
64109                                                                                            5
64110                                                                                            5
64111                                                                                            5
64112                                                                                            5
64113                                                                                            5
64114                                                                                            5
64116                                                                                          5,6
64117                                                                                            5
64118                                                                                          5,6
64119                                                                                          5,6
64120                                                                                            5
64123                                                                                            5
64124                                                                                            5
64125                                                                                            5
64126                                                                                            5
64127                                                                                            5
64128                                                                                            5
64129                                                                                            5
64130                                                                                            5
64131                                                                                            5
64132                                                                                            5
64133                                                                                            5
64134                                                                                            5
64136                                                                                            5
64137                                                                                            5
64138                                                                                            5
64139                                                                                            5
64145                                                                                            5
64146                                                                                            5
64147                                                                                          4,5
64149                                                                                            5
64150                                                                                            6
64151                                                                                            6
64152                                                                                            6
64153                                                                                            6
64154                                                                                            6
64155                                                                                            6
64156                                                                                            6
64157                                                                                            6
64158                                                                                            6
64161                                                                                          5,6
64163                                                                                            6
64164                                                                                            6
64165                                                                                            6
64166                                                                                            6
64167                                                                                            6
64192                                                                                            5
64401                                                                                            6
64402                                                                                            6
64420                                                                                            6
64421                                                                                            6
64422                                                                                            6
64423                                                                                            6
64424                                                                                            6
64426                                                                                            6
64427                                                                                            6
64428                                                                                            6
64429                                                                                            6
64430                                                                                            6
64431                                                                                            6
64432                                                                                            6
64433                                                                                            6
64434                                                                                            6
64436                                                                                            6
64437                                                                                            6
64438                                                                                            6
64439                                                                                            6
64440                                                                                            6
64441                                                                                            6
64442                                                                                            6
64443                                                                                            6
64444                                                                                            6
64445                                                                                            6
64446                                                                                            6
64448                                                                                            6
64449                                                                                            6
64451                                                                                            6
64453                                                                                            6
64454                                                                                            6
64455                                                                                            6
64456                                                                                            6
64457                                                                                            6
64458                                                                                            6
64459                                                                                            6
64461                                                                                            6
64463                                                                                            6
64465                                                                                            6
64466                                                                                            6
64467                                                                                            6
64468                                                                                            6
64469                                                                                            6
64470                                                                                            6
64471                                                                                            6
64473                                                                                            6
64474                                                                                            6
64475                                                                                            6
64476                                                                                            6
64477                                                                                            6
64479                                                                                            6
64480                                                                                            6
64481                                                                                            6
64482                                                                                            6
64483                                                                                            6
64484                                                                                            6
64485                                                                                            6
64486                                                                                            6
64487                                                                                            6
64489                                                                                            6
64490                                                                                            6
64491                                                                                            6
64492                                                                                            6
64493                                                                                            6
64494                                                                                            6
64496                                                                                            6
64497                                                                                            6
64498                                                                                            6
64499                                                                                            6
64501                                                                                            6
64503                                                                                            6
64504                                                                                            6
64505                                                                                            6
64506                                                                                            6
64507                                                                                            6
64601                                                                                            6
64620                                                                                            6
64622                                                                                            6
64623                                                                                            6
64624                                                                                          5,6
64625                                                                                            6
64628                                                                                            6
64630                                                                                            6
64631                                                                                            6
64632                                                                                            6
64633                                                                                            6
64635                                                                                            6
64636                                                                                            6
64637                                                                                          5,6
64638                                                                                            6
64639                                                                                            6
64640                                                                                            6
64641                                                                                            6
64642                                                                                            6
64643                                                                                            6
64644                                                                                            6
64645                                                                                            6
64646                                                                                            6
64647                                                                                            6
64648                                                                                            6
64649                                                                                            6
64650                                                                                            6
64651                                                                                            6
64652                                                                                            6
64653                                                                                            6
64654                                                                                            6
64655                                                                                            6
64656                                                                                            6
64657                                                                                            6
64658                                                                                            6
64659                                                                                            6
64660                                                                                            6
64661                                                                                            6
64664                                                                                            6
64667                                                                                            6
64668                                                                                          5,6
64670                                                                                            6
64671                                                                                          5,6
64672                                                                                            6
64673                                                                                            6
64674                                                                                            6
64676                                                                                            6
64679                                                                                            6
64681                                                                                            6
64682                                                                                            6
64683                                                                                            6
64686                                                                                            6
64688                                                                                            6
64689                                                                                            6
64701                                                                                            4
64720                                                                                            4
64722                                                                                            4
64723                                                                                            4
64724                                                                                            4
64725                                                                                            4
64726                                                                                            4
64728                                                                                            4
64730                                                                                            4
64733                                                                                            4
64734                                                                                            4
64735                                                                                            4
64738                                                                                            4
64739                                                                                            4
64740                                                                                            4
64741                                                                                            4
64742                                                                                            4
64743                                                                                            4
64744                                                                                            4
64745                                                                                            4
64746                                                                                            4
64747                                                                                            4
64748                                                                                          4,7
64750                                                                                            4
64752                                                                                            4
64755                                                                                          4,7
64756                                                                                            4
64759                                                                                            4
64761                                                                                            4
64762                                                                                            4
64763                                                                                            4
64765                                                                                            4
64767                                                                                            4
64769                                                                                            4
64770                                                                                            4
64771                                                                                            4
64772                                                                                            4
64776                                                                                            4
64778                                                                                            4
64779                                                                                            4
64780                                                                                            4
64781                                                                                            4
64783                                                                                            4
64784                                                                                            4
64788                                                                                            4
64790                                                                                            4
64801                                                                                            7
64804                                                                                            7
64830                                                                                            7
64831                                                                                            7
64832                                                                                          4,7
64833                                                                                            7
64834                                                                                            7
64835                                                                                            7
64836                                                                                            7
64840                                                                                            7
64841                                                                                            7
64842                                                                                            7
64843                                                                                            7
64844                                                                                            7
64847                                                                                            7
64848                                                                                            7
64849                                                                                            7
64850                                                                                            7
64854                                                                                            7
64855                                                                                          4,7
64856                                                                                            7
64857                                                                                            7
64858                                                                                            7
64859                                                                                            7
64861                                                                                            7
64862                                                                                            7
64863                                                                                            7
64865                                                                                            7
64866                                                                                            7
64867                                                                                            7
64870                                                                                            7
64873                                                                                            7
64874                                                                                            7
65001                                                                                            3
65010                                                                                            4
