NEBRASKA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

51557                                                                                            1
57078                                                                                            3
66541                                                                                            3
68001                                                                                            1
68002                                                                                            1
68003                                                                                            1
68004                                                                                            1
68005                                                                                            1
68007                                                                                          1,2
68008                                                                                            1
68010                                                                                            2
68014                                                                                            1
68015                                                                                            1
68016                                                                                            1
68017                                                                                            1
68018                                                                                            1
68019                                                                                            1
68020                                                                                            1
68022                                                                                            2
68023                                                                                            1
68025                                                                                            1
68028                                                                                            2
68029                                                                                            1
68030                                                                                            3
68031                                                                                            1
68033                                                                                            1
68034                                                                                            1
68036                                                                                            1
68037                                                                                            1
68038                                                                                            1
68039                                                                                            1
68040                                                                                            1
68041                                                                                            1
68042                                                                                            1
68044                                                                                            1
68045                                                                                            1
68046                                                                                            2
68047                                                                                          1,3
68048                                                                                            1
68050                                                                                            1
68055                                                                                            1
68057                                                                                            1
68058                                                                                            1
68059                                                                                            2
68061                                                                                            1
68062                                                                                            1
68063                                                                                            1
68064                                                                                          1,2
68065                                                                                            1
68066                                                                                            1
68067                                                                                            1
68068                                                                                            1
68069                                                                                            2
68070                                                                                            1
68071                                                                                            1
68072                                                                                            1
68073                                                                                            1
68102                                                                                            2
68104                                                                                            2
68105                                                                                            2
68106                                                                                            2
68107                                                                                            2
68108                                                                                            2
68110                                                                                            2
68111                                                                                            2
68112                                                                                          1,2
68113                                                                                            1
68114                                                                                            2
68116                                                                                            2
68117                                                                                            2
68118                                                                                            2
68122                                                                                          1,2
68123                                                                                          1,2
68124                                                                                            2
68127                                                                                            2
68128                                                                                            2
68130                                                                                            2
68131                                                                                            2
68132                                                                                            2
68133                                                                                          1,2
68134                                                                                            2
68135                                                                                            2
68136                                                                                            2
68137                                                                                            2
68138                                                                                            2
68142                                                                                          1,2
68144                                                                                            2
68147                                                                                          1,2
68152                                                                                          1,2
68154                                                                                            2
68157                                                                                          1,2
68164                                                                                            2
68178                                                                                            2
68301                                                                                          1,3
68303                                                                                            3
68304                                                                                            1
68305                                                                                            3
68307                                                                                            1
68309                                                                                            3
68310                                                                                            3
68313                                                                                            1
68314                                                                                            1
68315                                                                                            3
68316                                                                                          1,3
68317                                                                                            1
68318                                                                                            3
68319                                                                                            3
68320                                                                                            3
68321                                                                                            3
68322                                                                                            3
68323                                                                                            3
68324                                                                                            1
68325                                                                                            3
68326                                                                                            3
68327                                                                                            3
68328                                                                                            3
68329                                                                                          1,3
68331                                                                                            3
68332                                                                                            3
68333                                                                                          1,3
68335                                                                                            3
68336                                                                                            1
68337                                                                                            3
68338                                                                                            3
68339                                                                                            1
68340                                                                                            3
68341                                                                                            3
68342                                                                                            3
68343                                                                                          1,3
68344                                                                                            1
68345                                                                                            3
68346                                                                                            1
68347                                                                                            1
68348                                                                                            3
68349                                                                                            1
68350                                                                                            3
68351                                                                                            3
68352                                                                                            3
68354                                                                                            3
68355                                                                                            3
68357                                                                                            3
68358                                                                                          1,3
68359                                                                                          1,3
68360                                                                                            1
68361                                                                                            3
68362                                                                                            3
68364                                                                                            1
68365                                                                                            3
68366                                                                                            1
68367                                                                                          1,3
68368                                                                                            1
68370                                                                                            3
68371                                                                                            3
68372                                                                                            1
68375                                                                                            3
68376                                                                                            3
68377                                                                                            3
68378                                                                                            3
68379                                                                                            3
68380                                                                                            3
68381                                                                                            3
68382                                                                                            1
68401                                                                                            3
68402                                                                                            1
68403                                                                                            1
68404                                                                                            1
68405                                                                                            1
68406                                                                                            3
68407                                                                                            1
68409                                                                                            1
68410                                                                                            1
68413                                                                                            1
68414                                                                                            3
68415                                                                                            3
68416                                                                                            3
68417                                                                                            1
68418                                                                                            1
68419                                                                                            1
68420                                                                                            3
68421                                                                                            3
68422                                                                                            3
68423                                                                                            1
68424                                                                                            3
68428                                                                                            1
68430                                                                                            1
68431                                                                                            3
68433                                                                                            3
68434                                                                                            1
68436                                                                                            3
68437                                                                                            3
68438                                                                                            1
68439                                                                                            1
68440                                                                                            3
68441                                                                                            3
68442                                                                                            3
68443                                                                                            3
68444                                                                                            3
68445                                                                                            3
68446                                                                                            1
68447                                                                                            3
68448                                                                                            1
68450                                                                                            3
68452                                                                                            3
68453                                                                                            3
68454                                                                                            1
68455                                                                                            1
68456                                                                                            1
68457                                                                                            3
68458                                                                                            3
68460                                                                                            3
68461                                                                                            1
68462                                                                                            1
68463                                                                                            1
68464                                                                                            3
68465                                                                                            3
68466                                                                                            3
68467                                                                                            3
68502                                                                                            1
68503                                                                                            1
68504                                                                                            1
68505                                                                                            1
68506                                                                                            1
68507                                                                                            1
68508                                                                                            1
68510                                                                                            1
68512                                                                                            1
68514                                                                                            1
68516                                                                                            1
68517                                                                                            1
68520                                                                                            1
68521                                                                                            1
68522                                                                                            1
68523                                                                                            1
68524                                                                                            1
68526                                                                                            1
68527                                                                                            1
68528                                                                                            1
68531                                                                                            1
68532                                                                                            1
68601                                                                                            1
68620                                                                                            3
68621                                                                                            1
68622                                                                                            3
68623                                                                                            3
68624                                                                                            1
68626                                                                                            1
68627                                                                                            3
68628                                                                                          1,3
68629                                                                                            1
68631                                                                                            1
68632                                                                                            1
68633                                                                                            1
68634                                                                                            1
68635                                                                                            1
68636                                                                                            3
68637                                                                                            3
68638                                                                                            3
68640                                                                                          1,3
68641                                                                                            1
68642                                                                                            1
68643                                                                                            1
68644                                                                                            1
68647                                                                                            1
68648                                                                                            1
68649                                                                                            1
68651                                                                                            1
68652                                                                                            3
68653                                                                                            1
68654                                                                                          1,3
68655                                                                                            3
68658                                                                                            1
68659                                                                                            1
68660                                                                                          1,3
68661                                                                                            1
68662                                                                                            1
68663                                                                                          1,3
68664                                                                                            1
68665                                                                                            3
68666                                                                                            1
68667                                                                                            1
68669                                                                                            1
68701                                                                                          1,3
68710                                                                                            3
68711                                                                                            3
68713                                                                                            3
68714                                                                                            3
68715                                                                                            1
68716                                                                                            1
68717                                                                                            3
68718                                                                                            3
68719                                                                                            3
68720                                                                                            3
68722                                                                                            3
68723                                                                                            3
68724                                                                                            3
68725                                                                                            3
68726                                                                                            3
68727                                                                                            3
68728                                                                                            3
68729                                                                                            3
68730                                                                                            3
68731                                                                                            3
68732                                                                                            3
68733                                                                                          1,3
68734                                                                                            3
68735                                                                                            3
68736                                                                                            3
68739                                                                                            3
68740                                                                                          1,3
68741                                                                                            3
68742                                                                                            3
68743                                                                                            3
68745                                                                                            3
68746                                                                                            3
68747                                                                                            3
68748                                                                                            1
68749                                                                                            3
68751                                                                                            3
68752                                                                                          1,3
68753                                                                                            3
68755                                                                                            3
68756                                                                                            3
68757                                                                                            3
68758                                                                                          1,3
68759                                                                                            3
68760                                                                                            3
68761                                                                                            3
68763                                                                                            3
68764                                                                                            3
68765                                                                                            3
68766                                                                                            3
68767                                                                                            3
68768                                                                                            1
68769                                                                                            3
68770                                                                                            3
68771                                                                                            3
68773                                                                                            3
68774                                                                                            3
68776                                                                                            3
68777                                                                                            3
68778                                                                                            3
68779                                                                                            1
68780                                                                                            3
68781                                                                                          1,3
68783                                                                                            3
68784                                                                                          1,3
68785                                                                                            3
68786                                                                                            3
68787                                                                                            3
68788                                                                                            1
68789                                                                                            3
68790                                                                                            3
68791                                                                                          1,3
68792                                                                                            3
68801                                                                                            3
68803                                                                                            3
68810                                                                                            3
68812                                                                                            3
68813                                                                                            3
68814                                                                                            3
68815                                                                                            3
68816                                                                                            3
68817                                                                                            3
68818                                                                                            3
68820                                                                                            3
68821                                                                                            3
68822                                                                                            3
68823                                                                                            3
68824                                                                                            3
68825                                                                                            3
68826                                                                                            3
68827                                                                                            3
68828                                                                                            3
68831                                                                                            3
68832                                                                                            3
68833                                                                                            3
68834                                                                                            3
68835                                                                                            3
68836                                                                                            3
68837                                                                                            3
68838                                                                                            3
68840                                                                                            3
68841                                                                                            3
68842                                                                                            3
68843                                                                                            3
68844                                                                                            3
68845                                                                                            3
68846                                                                                            3
68847                                                                                            3
68849                                                                                            3
68850                                                                                            3
68852                                                                                            3
68853                                                                                            3
68854                                                                                            3
68855                                                                                            3
68856                                                                                            3
68858                                                                                            3
68859                                                                                            3
68860                                                                                            3
68861                                                                                            3
68862                                                                                            3
68863                                                                                            3
68864                                                                                            3
68865                                                                                            3
68866                                                                                            3
68869                                                                                            3
68870                                                                                            3
68871                                                                                            3
68872                                                                                            3
68873                                                                                            3
68874                                                                                            3
68875                                                                                            3
68876                                                                                            3
68878                                                                                            3
68879                                                                                            3
68881                                                                                            3
68882                                                                                            3
68883                                                                                            3
68901                                                                                            3
68920                                                                                            3
68922                                                                                            3
68923                                                                                            3
68924                                                                                            3
68925                                                                                            3
68926                                                                                            3
68927                                                                                            3
68928                                                                                            3
68929                                                                                            3
68930                                                                                            3
68932                                                                                            3
68933                                                                                            3
68934                                                                                            3
68935                                                                                            3
68936                                                                                            3
68937                                                                                            3
68938                                                                                            3
68939                                                                                            3
68940                                                                                            3
68941                                                                                            3
68942                                                                                            3
68943                                                                                            3
68944                                                                                            3
68945                                                                                            3
68946                                                                                            3
68947                                                                                            3
68948                                                                                            3
68949                                                                                            3
68950                                                                                            3
68952                                                                                            3
68954                                                                                            3
68955                                                                                            3
68956                                                                                            3
68957                                                                                            3
68958                                                                                            3
68959                                                                                            3
68960                                                                                            3
68961                                                                                            3
68964                                                                                            3
68966                                                                                            3
68967                                                                                            3
68969                                                                                            3
68970                                                                                            3
68971                                                                                            3
68972                                                                                            3
68973                                                                                            3
68974                                                                                            3
68975                                                                                            3
68976                                                                                            3
68977                                                                                            3
68978                                                                                            3
68979                                                                                            3
68980                                                                                            3
68981                                                                                            3
68982                                                                                            3
69001                                                                                            3
69020                                                                                            3
69021                                                                                            3
69022                                                                                            3
69023                                                                                            3
69024                                                                                            3
69025                                                                                            3
69026                                                                                            3
69027                                                                                            3
69028                                                                                            3
69029                                                                                            3
69030                                                                                            3
69032                                                                                            3
69033                                                                                            3
69034                                                                                            3
69036                                                                                            3
69037                                                                                            3
69038                                                                                            3
69039                                                                                            3
69040                                                                                            3
69041                                                                                            3
69042                                                                                            3
69043                                                                                            3
69044                                                                                            3
69045                                                                                            3
69046                                                                                            3
69101                                                                                            3
69120                                                                                            3
69121                                                                                            3
69122                                                                                            3
69123                                                                                            3
69125                                                                                            3
69127                                                                                            3
69128                                                                                            3
69129                                                                                            3
69130                                                                                            3
69131                                                                                            3
69132                                                                                            3
69133                                                                                            3
69134                                                                                            3
69135                                                                                            3
69138                                                                                            3
69140                                                                                            3
69141                                                                                            3
69142                                                                                            3
69143                                                                                            3
69144                                                                                            3
69145                                                                                            3
69146                                                                                            3
69147                                                                                            3
69148                                                                                            3
69149                                                                                            3
69150                                                                                            3
69151                                                                                            3
69152                                                                                            3
69153                                                                                            3
69154                                                                                            3
69155                                                                                            3
69156                                                                                            3
69157                                                                                            3
69161                                                                                            3
69162                                                                                            3
69163                                                                                            3
69165                                                                                            3
69166                                                                                            3
69167                                                                                            3
69168                                                                                            3
69169                                                                                            3
69170                                                                                            3
69171                                                                                            3
69201                                                                                            3
69210                                                                                            3
69211                                                                                            3
69212                                                                                            3
69214                                                                                            3
69216                                                                                            3
69217                                                                                            3
69218                                                                                            3
69219                                                                                            3
69220                                                                                            3
69221                                                                                            3
69301                                                                                            3
69331                                                                                            3
69333                                                                                            3
69334                                                                                            3
69335                                                                                            3
69336                                                                                            3
69337                                                                                            3
69339                                                                                            3
69340                                                                                            3
69341                                                                                            3
69343                                                                                            3
69345                                                                                            3
69346                                                                                            3
69347                                                                                            3
69348                                                                                            3
69350                                                                                            3
69351                                                                                            3
69352                                                                                            3
69353                                                                                            3
69354                                                                                            3
69355                                                                                            3
69356                                                                                            3
69357                                                                                            3
69358                                                                                            3
69360                                                                                            3
69361                                                                                            3
69365                                                                                            3
69366                                                                                            3
69367                                                                                            3
80758                                                                                            3
82082                                                                                            3
