NEVADA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

84034                                                                                            4
89001                                                                                            4
89002                                                                                            3
89003                                                                                            4
89004                                                                                          3,4
89005                                                                                          3,4
89007                                                                                            4
89008                                                                                            4
89010                                                                                            4
89011                                                                                          1,3
89012                                                                                            3
89013                                                                                            4
89014                                                                                          1,3
89015                                                                                            3
89017                                                                                            4
89018                                                                                            4
89019                                                                                            3
89020                                                                                            4
89021                                                                                            4
89022                                                                                            4
89025                                                                                            4
89026                                                                                            3
89027                                                                                            4
89029                                                                                            3
89030                                                                                          1,4
89031                                                                                            4
89032                                                                                            4
89039                                                                                            3
89040                                                                                            4
89042                                                                                            4
89043                                                                                            4
89044                                                                                            3
89045                                                                                            4
89046                                                                                            3
89047                                                                                            4
89048                                                                                            4
89049                                                                                            4
89052                                                                                            3
89054                                                                                            3
89060                                                                                            4
89061                                                                                            4
89074                                                                                            3
89081                                                                                            4
89084                                                                                            4
89085                                                                                            4
89086                                                                                            4
89101                                                                                            1
89102                                                                                            1
89103                                                                                            1
89104                                                                                            1
89106                                                                                          1,4
89107                                                                                            1
89108                                                                                          1,4
89109                                                                                            1
89110                                                                                          1,4
89113                                                                                          1,3
89115                                                                                          1,4
89117                                                                                          1,3
89118                                                                                          1,3
89119                                                                                          1,3
89120                                                                                          1,3
89121                                                                                            1
89122                                                                                          1,3
89123                                                                                            3
89124                                                                                          3,4
89128                                                                                          1,4
89129                                                                                            4
89130                                                                                            4
89131                                                                                            4
89134                                                                                          3,4
89135                                                                                            3
89138                                                                                            3
89139                                                                                            3
89141                                                                                            3
89142                                                                                          1,4
89143                                                                                            4
89144                                                                                          3,4
89145                                                                                          1,3
89146                                                                                            1
89147                                                                                          1,3
89148                                                                                            3
89149                                                                                            4
89156                                                                                        1,3,4
89161                                                                                            3
89166                                                                                            4
89169                                                                                            1
89178                                                                                            3
89179                                                                                            3
89183                                                                                            3
89191                                                                                            4
89301                                                                                            4
89310                                                                                          2,4
89311                                                                                            4
89314                                                                                            4
89316                                                                                          2,4
89317                                                                                            4
89318                                                                                            4
89319                                                                                            4
89402                                                                                            2
89403                                                                                            2
89404                                                                                            2
89405                                                                                            2
89406                                                                                            2
89408                                                                                            2
89409                                                                                            4
89410                                                                                            2
89411                                                                                            2
89412                                                                                            2
89413                                                                                            2
89414                                                                                            2
89415                                                                                            4
89418                                                                                            2
89419                                                                                            2
89420                                                                                            4
89421                                                                                            2
89422                                                                                            4
89423                                                                                            2
89424                                                                                            2
89425                                                                                            2
89426                                                                                            2
89427                                                                                            4
89428                                                                                            2
89429                                                                                            2
89430                                                                                            4
89431                                                                                            2
89433                                                                                            2
89434                                                                                            2
89436                                                                                            2
89438                                                                                            2
89439                                                                                            2
89440                                                                                            2
89441                                                                                            2
89442                                                                                            2
89444                                                                                          2,4
89445                                                                                            2
89446                                                                                            2
89447                                                                                          2,4
89448                                                                                            2
89449                                                                                            2
89450                                                                                            2
89451                                                                                            2
89460                                                                                            2
89501                                                                                            2
89502                                                                                            2
89503                                                                                            2
89506                                                                                            2
89508                                                                                            2
89509                                                                                            2
89510                                                                                            2
89511                                                                                            2
89512                                                                                            2
89519                                                                                            2
89521                                                                                            2
89523                                                                                            2
89701                                                                                            2
89702                                                                                            2
89703                                                                                            2
89704                                                                                            2
89705                                                                                            2
89706                                                                                            2
89801                                                                                            2
89815                                                                                            2
89820                                                                                            2
89821                                                                                            2
89822                                                                                            2
89823                                                                                            2
89825                                                                                            2
89826                                                                                            2
89828                                                                                            2
89830                                                                                            2
89831                                                                                            2
89832                                                                                            2
89833                                                                                            2
89834                                                                                            2
89835                                                                                            2
89883                                                                                            2
