NEW HAMPSHIRE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

03031                                                                                          1,2
03032                                                                                            1
03033                                                                                            2
03034                                                                                          1,2
03036                                                                                            1
03037                                                                                            2
03038                                                                                            1
03042                                                                                            1
03043                                                                                            2
03044                                                                                            1
03045                                                                                            1
03046                                                                                            2
03047                                                                                            2
03048                                                                                            2
03049                                                                                            2
03051                                                                                            2
03052                                                                                            2
03053                                                                                            1
03054                                                                                            1
03055                                                                                            2
03057                                                                                            2
03060                                                                                            2
03062                                                                                            2
03063                                                                                            2
03064                                                                                            2
03070                                                                                            2
03071                                                                                            2
03076                                                                                            2
03077                                                                                            1
03079                                                                                            2
03082                                                                                            2
03084                                                                                            2
03086                                                                                            2
03087                                                                                            2
03101                                                                                            1
03102                                                                                            1
03103                                                                                            1
03104                                                                                            1
03106                                                                                            1
03109                                                                                            1
03110                                                                                            1
03215                                                                                            2
03216                                                                                            2
03217                                                                                            2
03218                                                                                            1
03220                                                                                          1,2
03221                                                                                            2
03222                                                                                            2
03223                                                                                          1,2
03224                                                                                            2
03225                                                                                            1
03226                                                                                          1,2
03227                                                                                            1
03229                                                                                            2
03230                                                                                            2
03231                                                                                            2
03233                                                                                            2
03234                                                                                            2
03235                                                                                            2
03237                                                                                            1
03238                                                                                            2
03240                                                                                            2
03241                                                                                            2
03242                                                                                            2
03243                                                                                            2
03244                                                                                            2
03245                                                                                            2
03246                                                                                            1
03249                                                                                            1
03251                                                                                            2
03253                                                                                            1
03254                                                                                            1
03255                                                                                            2
03256                                                                                            1
03257                                                                                            2
03258                                                                                            2
03259                                                                                            1
03260                                                                                            2
03261                                                                                          1,2
03262                                                                                            2
03263                                                                                            2
03264                                                                                            2
03266                                                                                            2
03268                                                                                            2
03269                                                                                            1
03273                                                                                            2
03275                                                                                            2
03276                                                                                          1,2
03278                                                                                            2
03279                                                                                            2
03280                                                                                            2
03281                                                                                            2
03282                                                                                            2
03284                                                                                            2
03285                                                                                            2
03287                                                                                            2
03290                                                                                          1,2
03291                                                                                            1
03293                                                                                            2
03301                                                                                            2
03303                                                                                            2
03304                                                                                            2
03307                                                                                            2
03431                                                                                            2
03440                                                                                            2
03441                                                                                            2
03442                                                                                            2
03443                                                                                            2
03444                                                                                            2
03445                                                                                            2
03446                                                                                            2
03447                                                                                            2
03448                                                                                            2
03449                                                                                            2
03450                                                                                            2
03451                                                                                            2
03452                                                                                            2
03455                                                                                            2
03456                                                                                            2
03457                                                                                            2
03458                                                                                            2
03461                                                                                            2
03462                                                                                            2
03464                                                                                            2
03465                                                                                            2
03466                                                                                            2
03467                                                                                            2
03470                                                                                            2
03561                                                                                            2
03570                                                                                            2
03574                                                                                            2
03575                                                                                            2
03576                                                                                            2
03579                                                                                            2
03580                                                                                            2
03581                                                                                            2
03582                                                                                            2
03583                                                                                            2
03584                                                                                            2
03585                                                                                            2
03586                                                                                            2
03588                                                                                            2
03590                                                                                            2
03592                                                                                            2
03593                                                                                            2
03595                                                                                            2
03597                                                                                            2
03598                                                                                            2
03601                                                                                            2
03602                                                                                            2
03603                                                                                            2
03604                                                                                            2
03605                                                                                            2
03607                                                                                            2
03608                                                                                            2
03609                                                                                            2
03740                                                                                            2
03741                                                                                            2
03743                                                                                            2
03745                                                                                            2
03746                                                                                            2
03748                                                                                            2
03750                                                                                            2
03751                                                                                            2
03752                                                                                            2
03753                                                                                            2
03754                                                                                            2
03755                                                                                            2
03765                                                                                            2
03766                                                                                            2
03768                                                                                            2
03770                                                                                            2
03771                                                                                            2
03773                                                                                            2
03774                                                                                            2
03777                                                                                            2
03779                                                                                            2
03780                                                                                            2
03781                                                                                            2
03782                                                                                            2
03784                                                                                            2
03785                                                                                            2
03801                                                                                            1
03809                                                                                            1
03810                                                                                            1
03811                                                                                          1,2
03812                                                                                            1
03813                                                                                            1
03814                                                                                            1
03816                                                                                            1
03817                                                                                            1
03818                                                                                            1
03819                                                                                            1
03820                                                                                            1
03823                                                                                            1
03824                                                                                            1
03825                                                                                            1
03826                                                                                            1
03827                                                                                            1
03830                                                                                            1
03832                                                                                            1
03833                                                                                            1
03835                                                                                            1
03836                                                                                            1
03837                                                                                            1
03838                                                                                            1
03839                                                                                            1
03840                                                                                            1
03841                                                                                            1
03842                                                                                            1
03844                                                                                            1
03845                                                                                            1
03846                                                                                            1
03847                                                                                            1
03848                                                                                            1
03849                                                                                            1
03850                                                                                            1
03851                                                                                            1
03852                                                                                            1
03853                                                                                            1
03854                                                                                            1
03855                                                                                            1
03856                                                                                            1
03857                                                                                            1
03858                                                                                            1
03860                                                                                            1
03861                                                                                            1
03862                                                                                            1
03864                                                                                            1
03865                                                                                          1,2
03867                                                                                            1
03868                                                                                            1
03869                                                                                            1
03870                                                                                            1
03871                                                                                            1
03872                                                                                            1
03873                                                                                            1
03874                                                                                            1
03875                                                                                            1
03878                                                                                            1
03882                                                                                            1
03883                                                                                            1
03884                                                                                            1
03885                                                                                            1
03886                                                                                            1
03887                                                                                            1
03890                                                                                            1
03894                                                                                            1
