NEW JERSEY CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

07001                                                                                            6
07002                                                                                         8,10
07003                                                                                      8,10,11
07004                                                                                           11
07005                                                                                           11
07006                                                                                           11
07008                                                                                            6
07009                                                                                           11
07010                                                                                            9
07011                                                                                            9
07012                                                                                            9
07013                                                                                            9
07014                                                                                            9
07016                                                                                            7
07017                                                                                         8,10
07018                                                                                           10
07020                                                                                            9
07021                                                                                           11
07022                                                                                            8
07023                                                                                           12
07024                                                                                            9
07026                                                                                            9
07027                                                                                            7
07028                                                                                           10
07029                                                                                            8
07030                                                                                            8
07031                                                                                            9
07032                                                                                          8,9
07033                                                                                            7
07034                                                                                           11
07035                                                                                           11
07036                                                                                         7,10
07039                                                                                         7,11
07040                                                                                           10
07041                                                                                         7,10
07042                                                                                           10
07043                                                                                         9-11
07044                                                                                        10,11
07045                                                                                           11
07046                                                                                           11
07047                                                                                            8
07050                                                                                           10
07052                                                                                        10,11
07054                                                                                           11
07055                                                                                            9
07057                                                                                            9
07058                                                                                           11
07059                                                                                            7
07060                                                                                         7,12
07062                                                                                         7,12
07063                                                                                         7,12
07064                                                                                            6
07065                                                                                           10
07066                                                                                            7
07067                                                                                            6
07068                                                                                           11
07069                                                                                            7
07070                                                                                            9
07071                                                                                            9
07072                                                                                            9
07073                                                                                            9
07074                                                                                            9
07075                                                                                            9
07076                                                                                         7,12
07077                                                                                            6
07078                                                                                            7
07079                                                                                           10
07080                                                                                            6
07081                                                                                            7
07082                                                                                           11
07083                                                                                       7,8,10
07086                                                                                            8
07087                                                                                            8
07088                                                                                           10
07090                                                                                         7,12
07092                                                                                            7
07093                                                                                            8
07094                                                                                            9
07095                                                                                            6
07102                                                                                         8,10
07103                                                                                           10
07104                                                                                         8,10
07105                                                                                         8,10
07106                                                                                           10
07107                                                                                         8,10
07108                                                                                           10
07109                                                                                         8,11
07110                                                                                         9,11
07111                                                                                           10
07112                                                                                           10
07114                                                                                         8,10
07201                                                                                            8
07202                                                                                            8
07203                                                                                           10
07204                                                                                           10
07205                                                                                           10
07206                                                                                            8
07208                                                                                         8,10
07302                                                                                         8,10
07304                                                                                         8,10
07305                                                                                         8,10
07306                                                                                         8,10
07307                                                                                            8
07310                                                                                            8
07311                                                                                            8
07401                                                                                            5
07403                                                                                           11
07405                                                                                           11
07407                                                                                            9
07410                                                                                            5
07416                                                                                            5
07417                                                                                            5
07418                                                                                            5
07419                                                                                            5
07420                                                                                           11
07421                                                                                            5
07422                                                                                            5
07423                                                                                            5
07424                                                                                           11
07430                                                                                            5
07432                                                                                            5
07435                                                                                         5,11
07436                                                                                            5
07438                                                                                         5,11
07439                                                                                           11
07440                                                                                           11
07442                                                                                           11
07444                                                                                           11
07446                                                                                            5
07450                                                                                            5
07452                                                                                            5
07456                                                                                            5
07457                                                                                           11
07458                                                                                            5
07460                                                                                         5,11
07461                                                                                            5
07462                                                                                            5
07463                                                                                            5
07465                                                                                         5,11
07470                                                                                           11
07480                                                                                            5
07481                                                                                            5
07495                                                                                            5
07501                                                                                            9
07502                                                                                            9
07503                                                                                            9
07504                                                                                            9
07505                                                                                            9
07506                                                                                            9
07508                                                                                         9,11
07512                                                                                           11
07513                                                                                            9
07514                                                                                            9
07522                                                                                            9
07524                                                                                            9
07601                                                                                            5
07603                                                                                            5
07604                                                                                            9
07605                                                                                            9
07606                                                                                            9
07607                                                                                            5
07608                                                                                            9
07620                                                                                            5
07621                                                                                            5
07624                                                                                            5
07626                                                                                            9
07627                                                                                            5
07628                                                                                            5
07630                                                                                            5
07631                                                                                            9
07632                                                                                            9
07640                                                                                            5
07641                                                                                            5
07642                                                                                            5
07643                                                                                            9
07644                                                                                            5
07645                                                                                            5
07646                                                                                            5
07647                                                                                            5
07648                                                                                            5
07649                                                                                            5
07650                                                                                            9
07652                                                                                            5
07656                                                                                            5
07657                                                                                            9
07660                                                                                            9
07661                                                                                            5
07662                                                                                            5
07663                                                                                            9
07666                                                                                          5,9
07670                                                                                          5,9
07675                                                                                            5
07676                                                                                            5
07677                                                                                            5
07701                                                                                          4,6
07702                                                                                            4
07703                                                                                          4,6
07704                                                                                            4
07711                                                                                          4,6
07712                                                                                          4,6
07716                                                                                            6
07717                                                                                            4
07718                                                                                            6
07719                                                                                            4
07720                                                                                            4
07721                                                                                            6
07722                                                                                            4
07723                                                                                          4,6
07724                                                                                            4
07726                                                                                          4,6
07727                                                                                            4
07728                                                                                            4
07730                                                                                          4,6
