NEW MEXICO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

79837                                                                                            2
81137                                                                                            3
86504                                                                                            3
86515                                                                                            3
87001                                                                                          1,3
87002                                                                                            2
87004                                                                                          1,3
87005                                                                                            2
87006                                                                                            2
87007                                                                                            2
87008                                                                                            1
87010                                                                                            3
87011                                                                                            2
87012                                                                                            3
87013                                                                                            3
87014                                                                                          2,3
87015                                                                                          1,3
87016                                                                                            1
87017                                                                                            3
87018                                                                                            3
87020                                                                                            2
87021                                                                                            2
87022                                                                                            2
87023                                                                                            2
87024                                                                                            3
87025                                                                                            3
87026                                                                                          1,2
87027                                                                                            3
87028                                                                                            2
87029                                                                                            3
87031                                                                                          1,2
87032                                                                                            1
87034                                                                                            2
87035                                                                                          1,3
87036                                                                                          1,2
87037                                                                                            3
87038                                                                                            2
87040                                                                                            2
87041                                                                                            3
87042                                                                                            2
87043                                                                                          1,3
87044                                                                                            3
87045                                                                                          2,3
87046                                                                                            3
87047                                                                                          1,3
87048                                                                                          1,3
87049                                                                                            2
87051                                                                                            2
87052                                                                                            3
87053                                                                                            3
87056                                                                                            3
87059                                                                                          1,2
87061                                                                                            1
87062                                                                                            2
87063                                                                                            1
87064                                                                                            3
87068                                                                                            2
87070                                                                                            1
87072                                                                                            3
87083                                                                                            3
87102                                                                                            1
87104                                                                                            1
87105                                                                                          1,2
87106                                                                                            1
87107                                                                                            1
87108                                                                                            1
87109                                                                                            1
87110                                                                                            1
87111                                                                                            1
87112                                                                                            1
87113                                                                                            1
87114                                                                                          1,3
87116                                                                                            1
87117                                                                                          1,2
87120                                                                                            1
87121                                                                                          1-3
87122                                                                                            1
87123                                                                                            1
87124                                                                                            3
87144                                                                                          1,3
87301                                                                                            3
87305                                                                                          2,3
87310                                                                                            3
87311                                                                                            3
87312                                                                                            3
87313                                                                                            3
87315                                                                                            2
87316                                                                                            3
87317                                                                                            3
87319                                                                                            3
87320                                                                                            3
87321                                                                                          2,3
87322                                                                                            3
87323                                                                                          2,3
87325                                                                                            3
87326                                                                                            3
87327                                                                                          2,3
87328                                                                                            3
87347                                                                                            3
87357                                                                                            2
87364                                                                                            3
87375                                                                                            3
87401                                                                                            3
87402                                                                                            3
87410                                                                                            3
87412                                                                                            3
87413                                                                                            3
87415                                                                                            3
87416                                                                                            3
87417                                                                                            3
87418                                                                                            3
87419                                                                                            3
87420                                                                                            3
87421                                                                                            3
87455                                                                                            3
87461                                                                                            3
87499                                                                                            3
87501                                                                                            3
87505                                                                                            3
87506                                                                                            3
87507                                                                                            3
87508                                                                                            3
87510                                                                                            3
87511                                                                                            3
87512                                                                                            3
87513                                                                                            3
87514                                                                                            3
87515                                                                                            3
87516                                                                                            3
87517                                                                                            3
87518                                                                                            3
87519                                                                                            3
87520                                                                                            3
87521                                                                                            3
87522                                                                                            3
87523                                                                                            3
87524                                                                                            3
87525                                                                                            3
87527                                                                                            3
87528                                                                                            3
87529                                                                                            3
87530                                                                                            3
87531                                                                                            3
87532                                                                                            3
87533                                                                                            3
87535                                                                                            3
87537                                                                                            3
87538                                                                                            3
87539                                                                                            3
87540                                                                                            3
87543                                                                                            3
87544                                                                                            3
87548                                                                                            3
87549                                                                                            3
87551                                                                                            3
87552                                                                                            3
87553                                                                                            3
87554                                                                                            3
87556                                                                                            3
87557                                                                                            3
87558                                                                                            3
87560                                                                                            3
87562                                                                                            3
87564                                                                                            3
87565                                                                                            3
87566                                                                                            3
87567                                                                                            3
87569                                                                                            3
87571                                                                                            3
87573                                                                                            3
87574                                                                                            3
87575                                                                                            3
87577                                                                                            3
87578                                                                                            3
87579                                                                                            3
87580                                                                                            3
87581                                                                                            3
87582                                                                                            3
87583                                                                                            3
87701                                                                                            3
87710                                                                                            3
87711                                                                                          2,3
87712                                                                                            3
87713                                                                                            3
87714                                                                                            3
87715                                                                                            3
87718                                                                                            3
87722                                                                                            3
87723                                                                                            3
87724                                                                                            2
87728                                                                                            3
87729                                                                                            3
87730                                                                                            3
87731                                                                                            3
87732                                                                                            3
87733                                                                                            3
87734                                                                                            3
87735                                                                                            3
87736                                                                                            3
87740                                                                                            3
87742                                                                                            3
87743                                                                                            3
87745                                                                                            3
87746                                                                                            3
87747                                                                                            3
87749                                                                                            3
87750                                                                                            3
87752                                                                                            3
87753                                                                                            3
87801                                                                                            2
87820                                                                                            2
87821                                                                                            2
87823                                                                                            2
87824                                                                                            2
87825                                                                                            2
87827                                                                                            2
87828                                                                                            2
87829                                                                                            2
87830                                                                                            2
87831                                                                                            2
