NEW YORK CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

06390                                                                                            1
10001                                                                                        10,12
10002                                                                                         7,12
10003                                                                                        10,12
10004                                                                                         7,10
10005                                                                                           10
10006                                                                                           10
10007                                                                                         7,10
10009                                                                                         7,12
10010                                                                                           12
10011                                                                                        10,12
10012                                                                                      7,10,12
10013                                                                                         7,10
10014                                                                                           10
10016                                                                                           12
10017                                                                                           12
10018                                                                                        10,12
10019                                                                                        10,12
10020                                                                                           12
10021                                                                                           12
10022                                                                                           12
10023                                                                                           10
10024                                                                                        10,13
10025                                                                                        10,13
10026                                                                                        10,13
10027                                                                                        10,13
10028                                                                                           12
10029                                                                                        12,13
10030                                                                                           13
10031                                                                                           13
10032                                                                                           13
10033                                                                                           13
10034                                                                                           13
10035                                                                                        12,13
10036                                                                                        10,12
10037                                                                                           13
10038                                                                                         7,10
10039                                                                                           13
10040                                                                                           13
10044                                                                                           12
10065                                                                                           12
10069                                                                                           10
10075                                                                                           12
10103                                                                                           12
10110                                                                                           12
10111                                                                                           12
10112                                                                                           12
10115                                                                                           10
10119                                                                                           12
10128                                                                                        12,13
10152                                                                                           12
10153                                                                                           12
10154                                                                                           12
10162                                                                                           12
10165                                                                                           12
10167                                                                                           12
10168                                                                                           12
10169                                                                                           12
10170                                                                                           12
10171                                                                                           12
10172                                                                                           12
10173                                                                                           12
10174                                                                                           12
10177                                                                                           12
10199                                                                                           10
10271                                                                                           10
10278                                                                                           10
10279                                                                                           10
10280                                                                                           10
10282                                                                                           10
10301                                                                                           11
10302                                                                                           11
10303                                                                                           11
10304                                                                                           11
10305                                                                                           11
10306                                                                                           11
10307                                                                                           11
10308                                                                                           11
10309                                                                                           11
10310                                                                                           11
10311                                                                                           11
10312                                                                                           11
10314                                                                                           11
10451                                                                                           15
10452                                                                                           15
10453                                                                                        13,15
10454                                                                                           15
10455                                                                                           15
10456                                                                                           15
10457                                                                                           15
10458                                                                                        13-15
10459                                                                                           15
10460                                                                                        14,15
10461                                                                                           14
10462                                                                                        14,15
10463                                                                                        13,16
10464                                                                                           14
10465                                                                                        14,15
10466                                                                                        14,16
10467                                                                                     13,14,16
10468                                                                                        13,15
10469                                                                                        14,16
10470                                                                                           16
10471                                                                                           16
10472                                                                                           15
10473                                                                                           15
10474                                                                                           15
10475                                                                                        14,16
10501                                                                                           18
10502                                                                                        16,17
10503                                                                                           17
10504                                                                                        17,18
10505                                                                                           18
10506                                                                                           18
10507                                                                                           18
10509                                                                                           18
10510                                                                                           17
10511                                                                                           17
10512                                                                                           18
10514                                                                                           17
10516                                                                                           18
10517                                                                                           17
10518                                                                                           18
10519                                                                                           18
10520                                                                                           17
10522                                                                                           17
10523                                                                                           17
10524                                                                                           18
10526                                                                                           18
10527                                                                                           18
10528                                                                                        16,17
10530                                                                                        16,17
10532                                                                                           17
10533                                                                                           17
10535                                                                                           17
10536                                                                                           18
10537                                                                                        17,18
10538                                                                                           16
10541                                                                                           18
10543                                                                                           16
10545                                                                                           17
10546                                                                                           17
10547                                                                                           17
10548                                                                                           17
10549                                                                                        17,18
10550                                                                                           16
10552                                                                                           16
10553                                                                                           16
10560                                                                                           18
10562                                                                                           17
10566                                                                                           17
10567                                                                                           17
10570                                                                                           17
10573                                                                                        16,17
10576                                                                                           18
10577                                                                                           17
10578                                                                                           18
10579                                                                                           18
10580                                                                                        16,17
10583                                                                                        16,17
10588                                                                                        17,18
10589                                                                                           18
10590                                                                                           18
10591                                                                                           17
10594                                                                                           17
10595                                                                                           17
10596                                                                                           17
10597                                                                                           18
10598                                                                                        17,18
10601                                                                                           17
10603                                                                                           17
10604                                                                                           17
10605                                                                                           17
10606                                                                                           17
10607                                                                                           17
10701                                                                                           16
10703                                                                                           16
10704                                                                                           16
10705                                                                                           16
10706                                                                                           16
10707                                                                                           16
10708                                                                                           16
10709                                                                                           16
10710                                                                                           16
10801                                                                                           16
10803                                                                                           16
10804                                                                                           16
10805                                                                                           16
10901                                                                                           17
10910                                                                                           18
10911                                                                                           18
10913                                                                                           17
10914                                                                                           18
10915                                                                                           18
