NORTH CAROLINA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

27006                                                                                            5
27007                                                                                            6
27009                                                                                          5,6
27011                                                                                            5
27012                                                                                            5
27013                                                                                          5,9
27014                                                                                            5
27016                                                                                            6
27017                                                                                            6
27018                                                                                            5
27019                                                                                          5,6
27020                                                                                            5
27021                                                                                          5,6
27022                                                                                            6
27023                                                                                            5
27024                                                                                            6
27025                                                                                            6
27027                                                                                            6
27028                                                                                            5
27030                                                                                            6
27040                                                                                            5
27041                                                                                            6
27042                                                                                            6
27043                                                                                          5,6
27045                                                                                          5,6
27046                                                                                            6
27047                                                                                            6
27048                                                                                            6
27050                                                                                          5,6
27051                                                                                            5
27052                                                                                          5,6
27053                                                                                            6
27054                                                                                            5
27055                                                                                            5
27101                                                                                         5,12
27103                                                                                            5
27104                                                                                            5
27105                                                                                         5,12
27106                                                                                         5,12
27107                                                                                         5,12
27109                                                                                            5
27110                                                                                           12
27127                                                                                         5,12
27201                                                                                            6
27203                                                                                            2
27205                                                                                          2,8
27207                                                                                            2
27208                                                                                            2
27209                                                                                          2,8
27212                                                                                            6
27214                                                                                         6,12
27215                                                                                        2,4,6
27217                                                                                          4,6
27229                                                                                            8
27231                                                                                          4,6
27233                                                                                          2,6
27235                                                                                            6
27239                                                                                            8
27242                                                                                            2
27243                                                                                          4,6
27244                                                                                            6
27248                                                                                            2
27249                                                                                            6
27252                                                                                            2
27253                                                                                          4,6
27258                                                                                          4,6
27260                                                                                       2,6,12
27262                                                                                       5,6,12
27263                                                                                          2,6
27265                                                                                       5,6,12
27278                                                                                          4,6
27281                                                                                          2,8
27282                                                                                         6,12
27283                                                                                          2,6
27284                                                                                       5,6,12
27288                                                                                            6
27291                                                                                            6
27292                                                                                       5,8,12
27295                                                                                         5,12
27298                                                                                          2,6
27299                                                                                       5,8,12
27301                                                                                         6,12
27302                                                                                          4,6
27305                                                                                            6
27306                                                                                            8
27310                                                                                            6
27311                                                                                            6
27312                                                                                        2,4,6
27313                                                                                          2,6
27314                                                                                            6
27315                                                                                            6
27316                                                                                            2
27317                                                                                          2,6
27320                                                                                            6
27325                                                                                            2
27326                                                                                            6
27330                                                                                          2,4
27332                                                                                          2,4
27340                                                                                            6
27341                                                                                          2,8
27343                                                                                            6
27344                                                                                            2
27349                                                                                          2,6
27350                                                                                            2
27355                                                                                            2
27356                                                                                          2,8
27357                                                                                            6
27358                                                                                            6
27360                                                                                     2,5,8,12
27370                                                                                          2,8
27371                                                                                          2,8
27376                                                                                            2
27377                                                                                            6
27379                                                                                            6
27401                                                                                         6,12
27403                                                                                         6,12
27405                                                                                         6,12
27406                                                                                         6,12
27407                                                                                         6,12
27408                                                                                            6
27409                                                                                         6,12
27410                                                                                         6,12
27455                                                                                         6,12
27501                                                                                       2,7,13
27502                                                                                         2,13
27503                                                                                            6
27504                                                                                          2,7
27505                                                                                          2,4
27507                                                                                          1,6
27508                                                                                           13
27509                                                                                            1
27510                                                                                            4
27511                                                                                       2,4,13
27513                                                                                       2,4,13
27514                                                                                          4,6
27516                                                                                            4
27517                                                                                          2,4
27518                                                                                         4,13
27519                                                                                       2,4,13
27520                                                                                         7,13
27521                                                                                            2
27522                                                                                         1,13
27523                                                                                       2,4,13
27524                                                                                         7,13
27525                                                                                         1,13
27526                                                                                       2,4,13
27527                                                                                            7
27529                                                                                       4,7,13
27530                                                                                         1,13
27531                                                                                         1,13
27534                                                                                         1,13
27536                                                                                            1
27537                                                                                         1,13
27539                                                                                         2,13
27540                                                                                       2,4,13
27541                                                                                            6
27542                                                                                         7,13
27544                                                                                         1,13
27545                                                                                           13
27546                                                                                          2,4
27549                                                                                         1,13
27551                                                                                            1
27553                                                                                            1
27555                                                                                            7
27556                                                                                            1
27557                                                                                         7,13
27559                                                                                          2,4
27560                                                                                     1,2,4,13
27562                                                                                          2,4
27563                                                                                            1
27565                                                                                       1,6,13
27568                                                                                            7
27569                                                                                         7,13
27571                                                                                           13
27572                                                                                          1,6
27573                                                                                            6
27574                                                                                            6
27576                                                                                            7
27577                                                                                            7
27581                                                                                         1,13
27582                                                                                            6
27583                                                                                            6
27587                                                                                           13
27589                                                                                            1
27591                                                                                         7,13
27592                                                                                       2,7,13
27596                                                                                         1,13
27597                                                                                         7,13
27601                                                                                            4
27603                                                                                       4,7,13
27604                                                                                         4,13
27605                                                                                         4,13
27606                                                                                         4,13
27607                                                                                       2,4,13
27608                                                                                         4,13
27609                                                                                         4,13
27610                                                                                         4,13
27612                                                                                         4,13
27613                                                                                         4,13
27614                                                                                           13
27615                                                                                         4,13
27616                                                                                         4,13
27617                                                                                         4,13
27701                                                                                            1
27703                                                                                       1,4,13
27704                                                                                       1,6,13
27705                                                                                        1,4,6
27707                                                                                          1,4
27709                                                                                            4
27712                                                                                          1,6
27713                                                                                        1,2,4
27801                                                                                         1,13
27803                                                                                         1,13
27804                                                                                         1,13
27805                                                                                            1
27806                                                                                            3
27807                                                                                           13
27808                                                                                            3
27809                                                                                         1,13
27810                                                                                            3
27812                                                                                          1,3
27813                                                                                           13
27814                                                                                            3
27816                                                                                         1,13
27817                                                                                            3
27818                                                                                            1
27819                                                                                            1
27820                                                                                            1
27821                                                                                            3
27822                                                                                         1,13
27823                                                                                            1
27824                                                                                            3
27825                                                                                            3
27826                                                                                            3
27827                                                                                            1
27828                                                                                          1,3
27829                                                                                       1,3,13
27830                                                                                           13
27831                                                                                            1
27832                                                                                            1
27834                                                                                          1,3
27837                                                                                          1,3
27839                                                                                            1
27840                                                                                            1
27841                                                                                            1
27842                                                                                            1
27843                                                                                            1
27844                                                                                            1
27845                                                                                            1
27846                                                                                          1,3
27847                                                                                            1
27849                                                                                            1
27850                                                                                            1
27851                                                                                           13
27852                                                                                         1,13
27853                                                                                            1
27855                                                                                            1
27856                                                                                         1,13
27857                                                                                            1
27858                                                                                          1,3
27860                                                                                          1,3
27861                                                                                            1
27862                                                                                            1
27863                                                                                         1,13
27864                                                                                           13
27865                                                                                            3
27866                                                                                            1
27869                                                                                            1
27870                                                                                            1
27871                                                                                          1,3
27872                                                                                            1
27873                                                                                            1
27874                                                                                            1
27875                                                                                            3
27876                                                                                            1
27878                                                                                           13
27879                                                                                            3
27880                                                                                           13
27881                                                                                            1
27882                                                                                         1,13
27883                                                                                         1,13
27884                                                                                            3
27885                                                                                            3
27886                                                                                         1,13
27888                                                                                          1,3
27889                                                                                          1,3
27890                                                                                            1
27891                                                                                            1
27892                                                                                          1,3
27893                                                                                         1,13
27896                                                                                           13
27897                                                                                            1
27909                                                                                          1,3
27910                                                                                            1
27915                                                                                            3
27916                                                                                            3
27917                                                                                            3
27919                                                                                            3
27920                                                                                            3
27921                                                                                            3
27922                                                                                            1
27923                                                                                            3
27924                                                                                            1
27925                                                                                            3
27926                                                                                          1,3
27927                                                                                            3
27928                                                                                            3
27929                                                                                            3
27932                                                                                          1,3
27935                                                                                            3
27936                                                                                            3
27937                                                                                          1,3
27938                                                                                          1,3
27939                                                                                            3
27941                                                                                            3
27942                                                                                            1
27943                                                                                            3
27944                                                                                          1,3
27946                                                                                            3
27947                                                                                            3
27948                                                                                            3
27949                                                                                            3
27950                                                                                            3
27953                                                                                            3
27954                                                                                            3
27956                                                                                            3
27957                                                                                            1
27958                                                                                            3
27959                                                                                            3
27960                                                                                            3
27962                                                                                          1,3
27964                                                                                            3
27965                                                                                            3
27966                                                                                            3
27967                                                                                            1
27968                                                                                            3
27970                                                                                          1,3
27972                                                                                            3
27973                                                                                            3
27974                                                                                            3
27976                                                                                            3
27978                                                                                            3
27979                                                                                          1,3
27980                                                                                          1,3
27981                                                                                            3
27982                                                                                            3
27983                                                                                            1
27985                                                                                            1
27986                                                                                            1
28001                                                                                            8
28006                                                                                           10
28007                                                                                            8
28009                                                                                            8
28012                                                                                           10
28016                                                                                           10
28017                                                                                           10
28018                                                                                           10
28019                                                                                           10
28020                                                                                           10
28021                                                                                           10
28023                                                                                         8,12
28025                                                                                            8
28027                                                                                         8,12
