OHIO CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

43001                                                                                           12
43002                                                                                        12,15
43003                                                                                           12
43004                                                                                         3,12
43005                                                                                            7
43006                                                                                            7
43008                                                                                           12
43009                                                                                            4
43010                                                                                            8
43011                                                                                         7,12
43013                                                                                           12
43014                                                                                            7
43015                                                                                         4,12
43016                                                                                      4,12,15
43017                                                                                      4,12,15
43019                                                                                         7,12
43021                                                                                           12
43022                                                                                            7
43023                                                                                           12
43025                                                                                           12
43026                                                                                      3,12,15
43028                                                                                            7
43029                                                                                         4,15
43030                                                                                           12
43031                                                                                           12
43032                                                                                           12
43033                                                                                           12
43035                                                                                           12
43036                                                                                            4
43037                                                                                            7
43040                                                                                         4,12
43044                                                                                       4,8,15
43045                                                                                            4
43046                                                                                        12,15
43050                                                                                         7,12
43054                                                                                         3,12
43055                                                                                           12
43056                                                                                           12
43060                                                                                            4
43061                                                                                         4,12
43062                                                                                        12,15
43064                                                                                      4,12,15
43065                                                                                           12
43066                                                                                           12
43067                                                                                            4
43068                                                                                      3,12,15
43070                                                                                            4
43071                                                                                           12
43072                                                                                            4
43074                                                                                           12
43076                                                                                        12,15
43077                                                                                            4
43078                                                                                          4,8
43080                                                                                         7,12
43081                                                                                         3,12
43082                                                                                           12
43084                                                                                            4
43085                                                                                         3,12
43101                                                                                           15
43102                                                                                           15
43103                                                                                           15
43105                                                                                           15
43106                                                                                           10
43107                                                                                           15
43109                                                                                            3
43110                                                                                         3,15
43111                                                                                           15
43112                                                                                           15
43113                                                                                           15
43115                                                                                           15
43116                                                                                           15
43117                                                                                           15
43119                                                                                         3,15
43123                                                                                         3,15
43125                                                                                         3,15
43126                                                                                           15
43127                                                                                           15
43128                                                                                           10
43130                                                                                           15
43135                                                                                           15
43136                                                                                           15
43137                                                                                         3,15
43138                                                                                           15
43140                                                                                         8,15
43142                                                                                           10
43143                                                                                        10,15
43144                                                                                           15
43145                                                                                        10,15
43146                                                                                         3,15
43147                                                                                      3,12,15
43148                                                                                           15
43149                                                                                           15
43150                                                                                           15
43151                                                                                           15
43152                                                                                           15
43153                                                                                      8,10,15
43154                                                                                           15
43155                                                                                           15
43156                                                                                           15
43157                                                                                           15
43158                                                                                           15
43160                                                                                        10,15
43162                                                                                           15
43164                                                                                           15
43201                                                                                      3,12,15
43202                                                                                         3,12
43203                                                                                            3
43204                                                                                         3,15
43205                                                                                            3
43206                                                                                         3,15
43207                                                                                         3,15
43209                                                                                            3
43210                                                                                         3,15
43211                                                                                            3
43212                                                                                         3,15
43213                                                                                            3
43214                                                                                         3,12
43215                                                                                         3,15
43217                                                                                         3,15
43219                                                                                            3
43220                                                                                           15
43221                                                                                      3,12,15
43222                                                                                         3,15
43223                                                                                         3,15
43224                                                                                            3
43227                                                                                            3
43228                                                                                         3,15
43229                                                                                         3,12
43230                                                                                         3,12
43231                                                                                         3,12
43232                                                                                            3
43235                                                                                        12,15
43240                                                                                           12
43302                                                                                         4,12
43310                                                                                          4,5
43311                                                                                            4
43314                                                                                         4,12
43315                                                                                           12
43316                                                                                          4,5
43317                                                                                           12
43318                                                                                            4
43319                                                                                            4
43320                                                                                           12
43321                                                                                           12
43322                                                                                            4
43323                                                                                            5
43324                                                                                            4
43326                                                                                            5
43330                                                                                            5
43331                                                                                          4,5
43332                                                                                          4,5
43333                                                                                            4
43334                                                                                           12
43336                                                                                            4
43337                                                                                          4,5
43338                                                                                           12
43340                                                                                          4,5
43341                                                                                            4
43342                                                                                         4,12
43343                                                                                            4
43344                                                                                         4,12
43345                                                                                          4,5
43347                                                                                          4,5
43348                                                                                            4
43351                                                                                            5
43356                                                                                           12
43357                                                                                            4
43358                                                                                            4
43359                                                                                            5
43360                                                                                            4
43402                                                                                            5
43403                                                                                            5
43406                                                                                          4,5
43407                                                                                            4
43408                                                                                            5
43410                                                                                            4
43412                                                                                          5,9
43413                                                                                            5
43416                                                                                          4,5
43420                                                                                            4
43430                                                                                          4,5
43431                                                                                            4
43432                                                                                            5
43433                                                                                            9
43434                                                                                            9
43435                                                                                            4
43437                                                                                            5
43438                                                                                            9
43439                                                                                            9
43440                                                                                            9
43442                                                                                            4
43443                                                                                            5
43445                                                                                          5,9
43446                                                                                            9
43447                                                                                            5
43449                                                                                        4,5,9
43450                                                                                            5
43451                                                                                            5
43452                                                                                          5,9
43456                                                                                            9
43457                                                                                          4,5
43458                                                                                            5
43460                                                                                            5
43462                                                                                            5
43463                                                                                            5
43464                                                                                          4,9
43465                                                                                            5
43466                                                                                            5
43467                                                                                            5
43468                                                                                            5
43469                                                                                          4,5
43501                                                                                            5
43502                                                                                            5
43504                                                                                            5
43505                                                                                            5
43506                                                                                            5
43511                                                                                            5
43512                                                                                            5
43515                                                                                            5
43516                                                                                            5
43517                                                                                            5
43518                                                                                            5
43519                                                                                            5
43521                                                                                            5
43522                                                                                            5
43523                                                                                            5
43524                                                                                            5
43525                                                                                            5
43526                                                                                            5
43527                                                                                            5
43528                                                                                            5
43529                                                                                            5
43531                                                                                            5
43532                                                                                            5
43533                                                                                            5
43534                                                                                            5
43535                                                                                            5
43536                                                                                            5
43537                                                                                            5
43540                                                                                            5
43541                                                                                            5
43542                                                                                            5
43543                                                                                            5
43545                                                                                            5
43547                                                                                            5
43548                                                                                            5
43549                                                                                            5
43551                                                                                            5
43553                                                                                            5
43554                                                                                            5
43555                                                                                            5
43556                                                                                            5
43557                                                                                            5
43558                                                                                            5
43560                                                                                            5
43565                                                                                            5
43566                                                                                            5
43567                                                                                            5
43569                                                                                            5
43570                                                                                            5
43571                                                                                            5
43604                                                                                            9
43605                                                                                          5,9
43606                                                                                          5,9
43607                                                                                            9
43608                                                                                            9
43609                                                                                            9
43610                                                                                            9
43611                                                                                            9
43612                                                                                            9
43613                                                                                          5,9
43614                                                                                          5,9
43615                                                                                          5,9
43616                                                                                            9
43617                                                                                            5
43619                                                                                            5
43620                                                                                            9
43623                                                                                            5
43701                                                                                         6,12
43711                                                                                            6
43713                                                                                            6
43716                                                                                            6
43717                                                                                            6
43718                                                                                            6
43719                                                                                            6
43720                                                                                           12
43721                                                                                           12
43722                                                                                            6
43723                                                                                            6
43724                                                                                         6,15
43725                                                                                            6
43727                                                                                           12
43728                                                                                           15
43730                                                                                           15
43731                                                                                           15
43732                                                                                         6,12
43733                                                                                            6
43734                                                                                           12
43735                                                                                           12
43736                                                                                            6
43738                                                                                           12
43739                                                                                        12,15
43740                                                                                           12
43746                                                                                           12
43747                                                                                            6
43748                                                                                           15
43749                                                                                          6,7
43750                                                                                            6
43754                                                                                            6
43755                                                                                            6
43756                                                                                           15
43758                                                                                           15
43759                                                                                            6
43760                                                                                        12,15
43761                                                                                           15
43762                                                                                         6,12
43764                                                                                           15
43766                                                                                           15
43767                                                                                         6,12
43768                                                                                            6
43771                                                                                           12
43772                                                                                            6
43773                                                                                            6
43777                                                                                        12,15
43778                                                                                            6
43779                                                                                            6
43780                                                                                            6
43782                                                                                           15
43783                                                                                           15
43786                                                                                            6
43787                                                                                         6,15
43788                                                                                            6
43793                                                                                            6
43802                                                                                            6
43804                                                                                            7
43805                                                                                            7
43811                                                                                            7
43812                                                                                          6,7
43821                                                                                          6,7
43822                                                                                       6,7,12
43824                                                                                            7
43830                                                                                         6,12
43832                                                                                          6,7
43836                                                                                            7
43837                                                                                          6,7
43840                                                                                            7
43842                                                                                            6
43843                                                                                            7
43844                                                                                            7
43845                                                                                            7
43901                                                                                            6
43902                                                                                            6
43903                                                                                            6
43905                                                                                            6
43906                                                                                            6
43907                                                                                            6
43908                                                                                            6
43910                                                                                            6
43912                                                                                            6
43913                                                                                            6
43914                                                                                            6
43915                                                                                            6
43917                                                                                            6
43920                                                                                            6
43925                                                                                            6
43926                                                                                            6
43927                                                                                            6
43928                                                                                            6
43930                                                                                            6
43931                                                                                            6
43932                                                                                            6
43933                                                                                            6
43934                                                                                            6
43935                                                                                            6
43938                                                                                            6
43939                                                                                            6
43940                                                                                            6
43942                                                                                            6
43943                                                                                            6
43944                                                                                            6
43945                                                                                            6
43946                                                                                            6
43947                                                                                            6
43948                                                                                            6
43950                                                                                            6
43951                                                                                            6
43952                                                                                            6
43953                                                                                            6
43961                                                                                            6
43962                                                                                            6
