OKLAHOMA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

67950                                                                                            3
73002                                                                                            4
73003                                                                                            5
73004                                                                                            4
73005                                                                                            3
73006                                                                                          3,4
73007                                                                                          3,5
73008                                                                                            5
73009                                                                                            3
73010                                                                                            4
73011                                                                                            4
73012                                                                                            5
73013                                                                                            5
73014                                                                                            3
73015                                                                                            3
73016                                                                                            3
73017                                                                                          3,4
73018                                                                                            4
73019                                                                                            4
73020                                                                                          4,5
73021                                                                                            3
73024                                                                                            3
73025                                                                                          3,5
73026                                                                                            4
73027                                                                                            3
73028                                                                                            3
73029                                                                                            3
73030                                                                                            4
73032                                                                                            4
73033                                                                                            3
73034                                                                                          3,5
73036                                                                                            3
73038                                                                                            3
73040                                                                                            3
73041                                                                                            3
73042                                                                                            3
73043                                                                                            3
73044                                                                                            3
73045                                                                                          3,5
73047                                                                                            3
73048                                                                                            3
73049                                                                                            5
73050                                                                                            3
73051                                                                                            4
73052                                                                                            4
73053                                                                                            3
73054                                                                                          3,5
73055                                                                                            4
73056                                                                                            3
73057                                                                                            4
73058                                                                                            3
73059                                                                                          3,4
73061                                                                                            3
73062                                                                                            3
73063                                                                                            3
73064                                                                                          3,4
73065                                                                                            4
73066                                                                                          4,5
73067                                                                                            4
73068                                                                                            4
73069                                                                                            4
73071                                                                                            4
73072                                                                                            4
73073                                                                                            3
73074                                                                                            4
73075                                                                                            4
73077                                                                                            3
73078                                                                                          3,5
73079                                                                                          3,4
73080                                                                                            4
73082                                                                                            4
73084                                                                                            5
73086                                                                                            4
73089                                                                                            4
73090                                                                                            3
73092                                                                                          3,4
73093                                                                                            4
73095                                                                                            4
73096                                                                                            3
73097                                                                                            5
73098                                                                                            4
73099                                                                                            3
73102                                                                                            5
73103                                                                                            5
73104                                                                                            5
73105                                                                                            5
73106                                                                                            5
73107                                                                                            5
73108                                                                                            5
73109                                                                                            5
73110                                                                                          4,5
73111                                                                                            5
73112                                                                                            5
73114                                                                                            5
73115                                                                                            5
73116                                                                                            5
73117                                                                                            5
73118                                                                                            5
73119                                                                                            5
73120                                                                                            5
73121                                                                                            5
73122                                                                                            5
73127                                                                                          3,5
73128                                                                                          3,5
73129                                                                                            5
73130                                                                                          4,5
73131                                                                                            5
73132                                                                                            5
73134                                                                                            5
73135                                                                                          4,5
73139                                                                                          4,5
73141                                                                                          4,5
73142                                                                                            5
73145                                                                                            4
73149                                                                                          4,5
73150                                                                                          4,5
73151                                                                                            5
73159                                                                                          4,5
73160                                                                                            4
73162                                                                                            5
73165                                                                                            4
73169                                                                                          4,5
73170                                                                                            4
73173                                                                                            4
73179                                                                                          3,5
73401                                                                                          2,4
73425                                                                                            4
73430                                                                                            4
73432                                                                                            2
73433                                                                                            4
73434                                                                                            4
73437                                                                                            4
73438                                                                                            4
73439                                                                                            2
73440                                                                                            2
73441                                                                                            4
73442                                                                                            4
73443                                                                                            4
73444                                                                                            4
73446                                                                                            2
73447                                                                                            2
73448                                                                                            4
73449                                                                                            2
73450                                                                                            2
73453                                                                                            4
73455                                                                                            2
73456                                                                                            4
73458                                                                                            4
73459                                                                                            4
73460                                                                                            2
73461                                                                                            2
73463                                                                                            4
73481                                                                                            4
73487                                                                                            4
73491                                                                                            4
73501                                                                                            4
73503                                                                                            4
73505                                                                                            4
73507                                                                                            4
73520                                                                                            4
73521                                                                                            3
73526                                                                                            3
73527                                                                                            4
73528                                                                                            4
73529                                                                                            4
73530                                                                                            4
73531                                                                                            4
73532                                                                                            3
73533                                                                                            4
73537                                                                                            3
73538                                                                                            4
73539                                                                                            3
73540                                                                                            4
73541                                                                                            4
73542                                                                                            4
73543                                                                                            4
73544                                                                                            3
73546                                                                                            4
73547                                                                                            3
73548                                                                                            4
73549                                                                                            3
73550                                                                                            3
73551                                                                                            4
73552                                                                                            4
73553                                                                                            4
73554                                                                                            3
73555                                                                                            4
73556                                                                                            3
73557                                                                                            4
73559                                                                                          3,4
73560                                                                                            3
73562                                                                                            4
73564                                                                                          3,4
73565                                                                                            4
73566                                                                                          3,4
73567                                                                                            4
73568                                                                                            4
73569                                                                                            4
73570                                                                                            4
73571                                                                                            3
73572                                                                                            4
73573                                                                                            4
73601                                                                                            3
73620                                                                                            3
73622                                                                                            3
73624                                                                                            3
73625                                                                                            3
73626                                                                                            3
73627                                                                                            3
73628                                                                                            3
73632                                                                                            3
73638                                                                                            3
73639                                                                                            3
73641                                                                                            3
73642                                                                                            3
73644                                                                                            3
73645                                                                                            3
73646                                                                                            3
73647                                                                                            3
73650                                                                                            3
73651                                                                                            3
73654                                                                                            3
73655                                                                                            3
73658                                                                                            3
73659                                                                                            3
73660                                                                                            3
73661                                                                                            3
73662                                                                                            3
73663                                                                                            3
73664                                                                                            3
73666                                                                                            3
73667                                                                                            3
73669                                                                                            3
73673                                                                                            3
73701                                                                                            3
73703                                                                                            3
73705                                                                                            3
73716                                                                                            3
73717                                                                                            3
73718                                                                                            3
73719                                                                                            3
73720                                                                                            3
73722                                                                                            3
73724                                                                                            3
73726                                                                                            3
73727                                                                                            3
73728                                                                                            3
73729                                                                                            3
73730                                                                                            3
73731                                                                                            3
73733                                                                                            3
73734                                                                                            3
73735                                                                                            3
73736                                                                                            3
73737                                                                                            3
73738                                                                                            3
73739                                                                                            3
73741                                                                                            3
73742                                                                                            3
73743                                                                                            3
73744                                                                                            3
73746                                                                                            3
73747                                                                                            3
73749                                                                                            3
73750                                                                                            3
73753                                                                                            3
73754                                                                                            3
73755                                                                                            3
73756                                                                                            3
73757                                                                                            3
73758                                                                                            3
73759                                                                                            3
73760                                                                                            3
73761                                                                                            3
73762                                                                                            3
73763                                                                                            3
73764                                                                                            3
73766                                                                                            3
73768                                                                                            3
73771                                                                                            3
73772                                                                                            3
73773                                                                                            3
73801                                                                                            3
73832                                                                                            3
73834                                                                                            3
73835                                                                                            3
73838                                                                                            3
73840                                                                                            3
73841                                                                                            3
73842                                                                                            3
73843                                                                                            3
73844                                                                                            3
73848                                                                                            3
73851                                                                                            3
73852                                                                                            3
73853                                                                                            3
73855                                                                                            3
73857                                                                                            3
73858                                                                                            3
73859                                                                                            3
73860                                                                                            3
73901                                                                                            3
73931                                                                                            3
73932                                                                                            3
73933                                                                                            3
73937                                                                                            3
73938                                                                                            3
73939                                                                                            3
73942                                                                                            3
73944                                                                                            3
73945                                                                                            3
73946                                                                                            3
73947                                                                                            3
73949                                                                                            3
73950                                                                                            3
73951                                                                                            3
74001                                                                                            3
74002                                                                                            3
74003                                                                                          1,3
74006                                                                                            1
74008                                                                                            1
74010                                                                                          2,3
74011                                                                                            1
74012                                                                                            1
74014                                                                                            1
74015                                                                                          1,2
74016                                                                                            2
74017                                                                                            2
74019                                                                                            2
74020                                                                                            3
74021                                                                                          1,2
74022                                                                                          1,3
74023                                                                                            3
74026                                                                                            3
74027                                                                                            2
74028                                                                                            3
74029                                                                                            1
74030                                                                                            3
74032                                                                                            3
74033                                                                                            1
74034                                                                                            3
74035                                                                                            3
74036                                                                                          1,2
74037                                                                                            1
74038                                                                                            3
74039                                                                                            3
74041                                                                                            1
74042                                                                                            2
74044                                                                                            3
74045                                                                                            3
74046                                                                                            3
74047                                                                                          1,2
74048                                                                                            2
74050                                                                                          1,3
74051                                                                                          1,3
74052                                                                                            3
74053                                                                                            2
74054                                                                                            3
74055                                                                                          1,2
74056                                                                                            3
74058                                                                                            3
74059                                                                                            3
74060                                                                                            3
74061                                                                                            1
74062                                                                                            3
74063                                                                                          1,3
74066                                                                                          1,3
74068                                                                                            3
74070                                                                                          1,3
74071                                                                                            3
74072                                                                                            2
74073                                                                                          1,3
74074                                                                                            3
74075                                                                                            3
74078                                                                                            3
74079                                                                                            3
74080                                                                                          1,2
74081                                                                                            3
74082                                                                                            1
74083                                                                                          1,2
74084                                                                                            3
74085                                                                                            3
74103                                                                                            1
74104                                                                                            1
74105                                                                                            1
74106                                                                                          1,3
74107                                                                                            1
74108                                                                                            1
74110                                                                                            1
74112                                                                                            1
74114                                                                                            1
74115                                                                                            1
74116                                                                                            1
74117                                                                                            1
74119                                                                                            1
74120                                                                                            1
74126                                                                                          1,3
74127                                                                                          1,3
74128                                                                                            1
74129                                                                                            1
74130                                                                                            1
74131                                                                                          1,3
74132                                                                                          1,3
74133                                                                                            1
74134                                                                                            1
74135                                                                                            1
74136                                                                                            1
74137                                                                                            1
74145                                                                                            1
74146                                                                                            1
74301                                                                                            2
74330                                                                                            2
74331                                                                                            2
74332                                                                                            2
74333                                                                                            2
74337                                                                                          1,2
74338                                                                                            2
74339                                                                                            2
74340                                                                                            2
74342                                                                                            2
74343                                                                                            2
74344                                                                                            2
74346                                                                                            2
74347                                                                                            2
74349                                                                                            2
74350                                                                                            2
74352                                                                                          1,2
74354                                                                                            2
74358                                                                                            2
74359                                                                                            2
74360                                                                                            2
74361                                                                                            2
74363                                                                                            2
74364                                                                                            2
74365                                                                                            2
74366                                                                                            2
74367                                                                                            2
74368                                                                                            2
74369                                                                                            2
74370                                                                                            2
74401                                                                                            2
74403                                                                                          1,2
74421                                                                                            2
74422                                                                                            2
74423                                                                                            2
74425                                                                                            2
74426                                                                                            2
74427                                                                                            2
74428                                                                                            2
74429                                                                                            1
74430                                                                                            2
74431                                                                                            2
74432                                                                                            2
74434                                                                                          1,2
74435                                                                                            2
74436                                                                                          1,2
74437                                                                                            2
74438                                                                                            2
74441                                                                                            2
74442                                                                                            2
74445                                                                                            2
74446                                                                                            1
74447                                                                                            2
74450                                                                                            2
74451                                                                                            2
74452                                                                                            2
74454                                                                                            1
74455                                                                                            2
74456                                                                                            2
74457                                                                                            2
74458                                                                                            1
74459                                                                                            2
74460                                                                                            2
