OREGON CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

89421                                                                                            2
97001                                                                                            2
97002                                                                                            5
97004                                                                                            3
97005                                                                                            1
97006                                                                                            1
97007                                                                                            1
97008                                                                                            1
97009                                                                                            3
97011                                                                                            3
97013                                                                                            5
97014                                                                                          2,3
97015                                                                                          3,5
97016                                                                                            1
97017                                                                                          3,5
97018                                                                                            1
97019                                                                                            3
97020                                                                                            5
97021                                                                                            2
97022                                                                                            3
97023                                                                                          3,5
97024                                                                                            3
97026                                                                                            5
97027                                                                                            5
97028                                                                                            3
97029                                                                                            2
97030                                                                                            3
97031                                                                                            2
97032                                                                                            5
97033                                                                                            2
97034                                                                                          3,5
97035                                                                                        1,3,5
97037                                                                                            2
97038                                                                                          3,5
97039                                                                                            2
97040                                                                                            2
97041                                                                                            2
97042                                                                                          3,5
97045                                                                                          3,5
97048                                                                                            1
97049                                                                                            3
97050                                                                                            2
97051                                                                                            1
97053                                                                                            1
97054                                                                                            1
97055                                                                                            3
97056                                                                                            1
97057                                                                                            2
97058                                                                                            2
97060                                                                                            3
97062                                                                                          1,5
97063                                                                                            2
97064                                                                                            1
97065                                                                                            2
97067                                                                                            3
97068                                                                                            5
97070                                                                                          1,5
97071                                                                                            5
97080                                                                                            3
97086                                                                                          3,5
97089                                                                                            3
97101                                                                                          1,5
97102                                                                                          1,5
97103                                                                                            1
97106                                                                                            1
97107                                                                                            5
97108                                                                                            5
97109                                                                                            1
97110                                                                                            1
97111                                                                                            1
97112                                                                                            5
97113                                                                                            1
97114                                                                                            1
97115                                                                                            1
97116                                                                                            1
97117                                                                                            1
97118                                                                                            5
97119                                                                                            1
97121                                                                                            1
97122                                                                                            5
97123                                                                                            1
97124                                                                                            1
97125                                                                                            1
97127                                                                                            1
97128                                                                                            1
97130                                                                                            5
97131                                                                                          1,5
97132                                                                                          1,5
97133                                                                                            1
97134                                                                                            5
97135                                                                                            5
97136                                                                                            5
97137                                                                                            5
97138                                                                                            1
97140                                                                                          1,5
97141                                                                                            5
97144                                                                                            1
97145                                                                                            1
97146                                                                                            1
97147                                                                                            5
97148                                                                                            1
97149                                                                                            5
97201                                                                                            3
97202                                                                                          3,5
97203                                                                                          1,3
97204                                                                                            3
97205                                                                                          1,3
97206                                                                                          3,5
97208                                                                                            1
97209                                                                                          1,3
97210                                                                                          1,3
97211                                                                                            3
97212                                                                                            3
97213                                                                                            3
97214                                                                                            3
97215                                                                                            3
97216                                                                                            3
97217                                                                                            3
97218                                                                                            3
97219                                                                                        1,3,5
97220                                                                                            3
97221                                                                                          1,3
97222                                                                                          3,5
97223                                                                                            1
97224                                                                                            1
97225                                                                                          1,3
97227                                                                                            3
97229                                                                                            1
97230                                                                                            3
97231                                                                                            1
97232                                                                                            3
97233                                                                                            3
97236                                                                                            3
97239                                                                                          1,3
97266                                                                                          3,5
97267                                                                                            5
97301                                                                                            5
97302                                                                                            5
97303                                                                                            5
97304                                                                                          1,5
97305                                                                                            5
97306                                                                                            5
97317                                                                                            5
97321                                                                                          4,5
97322                                                                                            4
97324                                                                                          4,5
97325                                                                                            5
97326                                                                                          4,5
97327                                                                                            4
97329                                                                                            4
97330                                                                                          4,5
97331                                                                                            4
97333                                                                                            4
97338                                                                                            5
97341                                                                                            5
97342                                                                                            5
97343                                                                                            5
97344                                                                                            5
97345                                                                                            4
97346                                                                                          4,5
97347                                                                                          1,5
97348                                                                                            4
97350                                                                                          4,5
97351                                                                                            5
97352                                                                                          4,5
97355                                                                                            4
97357                                                                                            5
97358                                                                                          4,5
97360                                                                                          4,5
97361                                                                                          4,5
97362                                                                                            5
97364                                                                                            5
97365                                                                                            5
97366                                                                                            5
97367                                                                                            5
97368                                                                                            5
97369                                                                                            5
97370                                                                                          4,5
97371                                                                                            5
97373                                                                                            5
97374                                                                                            4
97375                                                                                            5
97376                                                                                            5
97377                                                                                            4
97378                                                                                          1,5
97380                                                                                            5
97381                                                                                            5
97383                                                                                          4,5
97384                                                                                            5
97385                                                                                            5
97386                                                                                            4
97388                                                                                            5
97389                                                                                            4
97390                                                                                          4,5
97391                                                                                            5
97392                                                                                            5
97394                                                                                            5
97396                                                                                          1,5
97401                                                                                            4
97402                                                                                            4
97403                                                                                            4
97404                                                                                            4
97405                                                                                            4
97406                                                                                            4
97408                                                                                            4
97410                                                                                            4
97411                                                                                            4
97412                                                                                            4
97413                                                                                            4
97414                                                                                            4
97415                                                                                            4
97416                                                                                            4
97417                                                                                            4
97419                                                                                            4
97420                                                                                            4
97423                                                                                            4
97424                                                                                            4
97426                                                                                            4
97429                                                                                            4
97430                                                                                            4
97431                                                                                            4
97434                                                                                            4
97435                                                                                            4
97436                                                                                            4
97437                                                                                            4
97438                                                                                            4
97439                                                                                            4
97441                                                                                            4
97442                                                                                            4
97443                                                                                            4
97444                                                                                            4
97446                                                                                            4
97447                                                                                            4
97448                                                                                            4
97449                                                                                            4
97450                                                                                            4
97451                                                                                            4
97452                                                                                            4
97453                                                                                            4
97454                                                                                            4
97455                                                                                            4
97456                                                                                            4
97457                                                                                            4
97458                                                                                            4
97459                                                                                            4
97461                                                                                            4
97462                                                                                            4
97463                                                                                            4
97465                                                                                            4
97466                                                                                            4
97467                                                                                            4
97469                                                                                            4
97470                                                                                            4
97471                                                                                            4
97473                                                                                            4
97476                                                                                            4
97477                                                                                            4
97478                                                                                            4
97479                                                                                            4
97480                                                                                            4
97481                                                                                            4
97484                                                                                            4
97486                                                                                            4
97487                                                                                            4
97488                                                                                            4
97489                                                                                            4
97490                                                                                            4
97492                                                                                            4
97493                                                                                            4
97494                                                                                            4
97495                                                                                            4
97496                                                                                            4
97497                                                                                          2,4
97498                                                                                          4,5
97499                                                                                            4
97501                                                                                            2
97502                                                                                            2
97503                                                                                            2
97504                                                                                            2
97520                                                                                            2
97522                                                                                            2
97523                                                                                            4
97524                                                                                            2
97525                                                                                            2
97526                                                                                          2,4
97527                                                                                          2,4
97530                                                                                            2
97531                                                                                            4
97532                                                                                            4
97534                                                                                            4
97535                                                                                            2
97536                                                                                            2
97537                                                                                            2
97538                                                                                            4
97539                                                                                            2
97540                                                                                            2
97541                                                                                            2
97543                                                                                            4
97544                                                                                            4
97601                                                                                            2
97603                                                                                            2
97604                                                                                            2
97620                                                                                            2
97621                                                                                            2
97622                                                                                            2
97623                                                                                            2
97624                                                                                            2
97625                                                                                            2
97626                                                                                            2
97627                                                                                            2
97630                                                                                            2
97632                                                                                            2
97633                                                                                            2
97634                                                                                            2
97635                                                                                            2
97636                                                                                            2
97637                                                                                            2
97638                                                                                            2
97639                                                                                            2
97640                                                                                            2
97641                                                                                            2
97701                                                                                            2
97702                                                                                            2
97707                                                                                            2
97710                                                                                            2
97711                                                                                            2
97712                                                                                            2
97720                                                                                            2
97721                                                                                            2
97722                                                                                            2
97730                                                                                            2
97731                                                                                          2,4
97732                                                                                            2
97733                                                                                            2
97734                                                                                            2
97735                                                                                            2
97736                                                                                            2
97737                                                                                            2
97738                                                                                            2
97739                                                                                            2
97741                                                                                            2
97750                                                                                            2
97751                                                                                            2
97752                                                                                            2
97753                                                                                            2
97754                                                                                            2
97756                                                                                            2
97758                                                                                            2
97759                                                                                          2,4
97760                                                                                            2
97761                                                                                            2
97801                                                                                            2
97810                                                                                            2
97812                                                                                            2
97813                                                                                            2
97814                                                                                            2
97817                                                                                            2
97818                                                                                            2
97819                                                                                            2
97820                                                                                            2
97823                                                                                            2
97824                                                                                            2
97825                                                                                            2
97826                                                                                            2
97827                                                                                            2
97828                                                                                            2
97830                                                                                            2
97833                                                                                            2
97834                                                                                            2
97835                                                                                            2
97836                                                                                            2
97837                                                                                            2
97838                                                                                            2
97839                                                                                            2
97840                                                                                            2
97841                                                                                            2
97842                                                                                            2
97843                                                                                            2
97844                                                                                            2
97845                                                                                            2
97846                                                                                            2
97848                                                                                            2
97850                                                                                            2
97856                                                                                            2
97857                                                                                            2
97859                                                                                            2
97862                                                                                            2
97864                                                                                            2
97865                                                                                            2
97867                                                                                            2
97868                                                                                            2
97869                                                                                            2
97870                                                                                            2
97873                                                                                            2
97874                                                                                            2
97875                                                                                            2
97876                                                                                            2
97877                                                                                            2
97880                                                                                            2
97882                                                                                            2
97883                                                                                            2
97884                                                                                            2
97885                                                                                            2
97886                                                                                            2
97901                                                                                            2
97903                                                                                            2
97904                                                                                            2
97905                                                                                            2
97906                                                                                            2
97907                                                                                            2
97908                                                                                            2
97909                                                                                            2
97910                                                                                            2
97911                                                                                            2
97913                                                                                            2
97914                                                                                            2
97918                                                                                            2
97920                                                                                            2
99362                                                                                            2
