PENNSYLVANIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

15001                                                                                           12
15003                                                                                        12,18
15004                                                                                           18
15005                                                                                           12
15006                                                                                           12
15007                                                                                           12
15009                                                                                           12
15010                                                                                           12
15012                                                                                         9,18
15014                                                                                           14
15015                                                                                           12
15017                                                                                           18
15018                                                                                           18
15019                                                                                           18
15020                                                                                           18
15021                                                                                           18
15022                                                                                            9
15024                                                                                        12,14
15025                                                                                        14,18
15026                                                                                        12,18
15027                                                                                           12
15028                                                                                           18
15030                                                                                        12,14
15031                                                                                           18
15033                                                                                            9
15034                                                                                           14
15035                                                                                           14
15037                                                                                        14,18
15038                                                                                           18
15042                                                                                           12
15043                                                                                           12
15044                                                                                         3,12
15045                                                                                           14
15046                                                                                           18
15047                                                                                           18
15049                                                                                           14
15050                                                                                           12
15051                                                                                           12
15052                                                                                           12
15053                                                                                           18
15054                                                                                           18
15055                                                                                           18
15056                                                                                           18
15057                                                                                           18
15059                                                                                           12
15060                                                                                           18
15061                                                                                           12
15062                                                                                         9,18
15063                                                                                         9,18
15064                                                                                           18
15065                                                                                        12,14
15066                                                                                           12
15067                                                                                         9,18
15068                                                                                        12,14
15071                                                                                           18
15072                                                                                           18
15074                                                                                           12
15075                                                                                           12
15076                                                                                           12
15077                                                                                           12
15078                                                                                           18
15081                                                                                           12
15082                                                                                           18
15083                                                                                           18
15084                                                                                        12,14
15085                                                                                        14,18
15086                                                                                         3,12
15087                                                                                           18
15088                                                                                           18
15089                                                                                           18
15090                                                                                           12
15101                                                                                           12
15102                                                                                           18
15104                                                                                           14
15106                                                                                        14,18
15108                                                                                        14,18
15110                                                                                           14
15112                                                                                           14
15116                                                                                           12
15120                                                                                           14
15122                                                                                        14,18
15126                                                                                           18
15129                                                                                           18
15131                                                                                        14,18
15132                                                                                           14
15133                                                                                           14
15135                                                                                        14,18
15136                                                                                        14,18
15137                                                                                        14,18
15139                                                                                        12,14
15140                                                                                           14
15142                                                                                           18
15143                                                                                     12,14,18
15144                                                                                           14
15145                                                                                           14
15146                                                                                     12,14,18
15147                                                                                        12,14
15148                                                                                           14
15201                                                                                           14
15202                                                                                        12,14
15203                                                                                           14
15204                                                                                           14
15205                                                                                        14,18
15206                                                                                           14
15207                                                                                           14
15208                                                                                           14
15209                                                                                        12,14
15210                                                                                           14
15211                                                                                           14
15212                                                                                        12,14
15213                                                                                           14
15214                                                                                        12,14
15215                                                                                        12,14
15216                                                                                        14,18
15217                                                                                           14
15218                                                                                           14
15219                                                                                           14
15220                                                                                        14,18
15221                                                                                           14
15222                                                                                           14
15223                                                                                        12,14
15224                                                                                           14
15225                                                                                           14
15226                                                                                        14,18
15227                                                                                        14,18
15228                                                                                        14,18
15229                                                                                           12
15232                                                                                           14
15233                                                                                           14
15234                                                                                        14,18
15235                                                                                        12,14
15236                                                                                        14,18
15237                                                                                           12
15238                                                                                        12,14
15239                                                                                           12
15241                                                                                           18
15243                                                                                           18
15260                                                                                           14
15290                                                                                           14
15301                                                                                           18
15310                                                                                           18
15311                                                                                           18
15312                                                                                           18
15313                                                                                           18
15314                                                                                         9,18
15315                                                                                            9
15316                                                                                           18
15317                                                                                           18
15320                                                                                            9
15321                                                                                           18
