RHODE ISLAND CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

02802                                                                                            1
02804                                                                                            2
02806                                                                                            1
02807                                                                                            2
02808                                                                                            2
02809                                                                                            1
02812                                                                                            2
02813                                                                                            2
02814                                                                                          1,2
02815                                                                                            2
02816                                                                                            2
02817                                                                                            2
02818                                                                                            2
02822                                                                                            2
02825                                                                                            2
02826                                                                                            2
02827                                                                                            2
02828                                                                                          1,2
02830                                                                                            2
02831                                                                                            2
02832                                                                                            2
02833                                                                                            2
02835                                                                                            1
02836                                                                                            2
02837                                                                                            1
02838                                                                                            1
02839                                                                                            2
02840                                                                                            1
02841                                                                                            1
02842                                                                                            1
02852                                                                                            2
02857                                                                                            2
02858                                                                                            2
02859                                                                                            2
02860                                                                                            1
02861                                                                                            1
02863                                                                                            1
02864                                                                                            1
02865                                                                                            1
02871                                                                                            1
02872                                                                                            1
02873                                                                                            2
02874                                                                                            2
02875                                                                                            2
02876                                                                                            1
02878                                                                                            1
02879                                                                                            2
02881                                                                                            2
02882                                                                                            2
02885                                                                                            1
02886                                                                                            2
02888                                                                                            2
02889                                                                                            2
02891                                                                                            2
02892                                                                                            2
02893                                                                                            2
02894                                                                                            2
02895                                                                                            1
02896                                                                                            1
02898                                                                                            2
02903                                                                                          1,2
02904                                                                                          1,2
02905                                                                                          1,2
02906                                                                                            1
02907                                                                                          1,2
02908                                                                                          1,2
02909                                                                                          1,2
02910                                                                                          1,2
02911                                                                                          1,2
02912                                                                                            1
02914                                                                                            1
02915                                                                                            1
02916                                                                                            1
02917                                                                                            1
02919                                                                                            2
02920                                                                                            2
02921                                                                                            2
