SOUTH CAROLINA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

29001                                                                                            6
29003                                                                                            6
29006                                                                                          2,3
29009                                                                                          5,7
29010                                                                                            5
29014                                                                                            5
29015                                                                                            5
29016                                                                                        2,5,6
29018                                                                                            6
29020                                                                                            5
29030                                                                                            6
29031                                                                                            5
29032                                                                                            5
29033                                                                                            2
29036                                                                                          2,5
29037                                                                                            3
29038                                                                                            2
29039                                                                                          2,6
29040                                                                                            5
29042                                                                                            6
29044                                                                                          2,6
29045                                                                                          2,5
29046                                                                                            5
29047                                                                                            6
29048                                                                                            6
29051                                                                                            6
29052                                                                                            6
29053                                                                                          2,6
29054                                                                                            2
29055                                                                                            5
29056                                                                                            6
29058                                                                                            5
29059                                                                                            6
29061                                                                                            6
29062                                                                                            5
29063                                                                                            2
29065                                                                                            5
29067                                                                                            5
29069                                                                                          5,7
29070                                                                                          2,3
29072                                                                                            2
29073                                                                                            2
29074                                                                                            5
29075                                                                                          2,5
29078                                                                                        2,5,6
29079                                                                                            7
29080                                                                                          5,6
29081                                                                                            6
29082                                                                                            6
29101                                                                                            7
29102                                                                                            6
29104                                                                                          5,6
29105                                                                                          2,3
29107                                                                                          2,6
29108                                                                                          3,5
29111                                                                                            6
29112                                                                                          2,6
29113                                                                                            2
29114                                                                                            6
29115                                                                                          2,6
29117                                                                                            6
29118                                                                                            6
29122                                                                                            5
29123                                                                                            2
29125                                                                                          5,6
29126                                                                                            5
29127                                                                                          3,5
29128                                                                                            5
29129                                                                                          2,3
29130                                                                                          2,5
29133                                                                                          2,6
29135                                                                                            6
29137                                                                                            2
29138                                                                                            3
29142                                                                                            6
29145                                                                                            3
29146                                                                                            2
29147                                                                                            6
29148                                                                                            6
29150                                                                                          5,6
29152                                                                                            5
29153                                                                                          5,6
29154                                                                                            5
29160                                                                                          2,6
29161                                                                                            7
29162                                                                                            6
29163                                                                                            6
29164                                                                                            2
29166                                                                                            3
29168                                                                                            5
29169                                                                                            2
29170                                                                                            2
29172                                                                                            2
29175                                                                                            5
29178                                                                                          3,5
29180                                                                                          2,5
29201                                                                                            6
29202                                                                                            6
29203                                                                                          2,6
29204                                                                                          2,6
29205                                                                                          2,6
29206                                                                                          2,6
29207                                                                                            2
29208                                                                                            6
29209                                                                                          2,6
29210                                                                                          2,6
29212                                                                                          2,6
29223                                                                                          2,6
29225                                                                                            6
29229                                                                                          2,6
29301                                                                                            4
29302                                                                                            4
29303                                                                                          4,5
29306                                                                                            4
29307                                                                                          4,5
29316                                                                                          4,5
29320                                                                                            4
29321                                                                                            5
29322                                                                                          4,5
29323                                                                                            5
29324                                                                                            4
29325                                                                                            3
29329                                                                                            4
29330                                                                                          4,5
29331                                                                                            4
29332                                                                                            3
29333                                                                                            4
29334                                                                                            4
29335                                                                                          3-5
29338                                                                                            5
29340                                                                                            5
29341                                                                                            5
29346                                                                                            4
29349                                                                                          4,5
29351                                                                                            3
29353                                                                                            5
29355                                                                                          3,5
29356                                                                                            4
29360                                                                                            3
29364                                                                                            5
29365                                                                                            4
29368                                                                                            5
29369                                                                                            4
29370                                                                                            3
29372                                                                                          4,5
29373                                                                                            4
29374                                                                                          4,5
29375                                                                                            4
29376                                                                                            4
29377                                                                                            4
29378                                                                                            4
29379                                                                                            5
29384                                                                                            3
29385                                                                                            4
29388                                                                                          3,4
29401                                                                                          1,6
29403                                                                                          1,6
29404                                                                                            6
29405                                                                                            6
29406                                                                                          1,6
29407                                                                                            1
29409                                                                                            6
29410                                                                                          1,6
29412                                                                                            1
29414                                                                                            1
29418                                                                                          1,6
29420                                                                                          1,6
29423                                                                                            1
29424                                                                                            1
29426                                                                                            6
29429                                                                                            1
29431                                                                                          1,6
29432                                                                                            6
29434                                                                                            6
29435                                                                                            6
29436                                                                                          1,6
29437                                                                                            6
29438                                                                                            1
29439                                                                                            1
29440                                                                                            7
29445                                                                                          1,6
29446                                                                                          1,6
29448                                                                                            6
29449                                                                                            6
29450                                                                                          1,6
29451                                                                                            1
29452                                                                                          1,6
29453                                                                                            6
29455                                                                                            1
29456                                                                                          1,6
29458                                                                                            1
29461                                                                                          1,6
29464                                                                                          1,6
29466                                                                                            1
29468                                                                                          1,6
29469                                                                                          1,6
29470                                                                                          1,6
29471                                                                                            6
29472                                                                                          1,6
29474                                                                                            6
29475                                                                                            6
29477                                                                                            6
29479                                                                                          1,6
29481                                                                                            6
29482                                                                                            1
29483                                                                                          1,6
29485                                                                                            1
29487                                                                                          1,6
29488                                                                                            6
29492                                                                                          1,6
29493                                                                                            6
29501                                                                                            7
29505                                                                                            7
29506                                                                                            7
29510                                                                                          6,7
29511                                                                                            7
29512                                                                                            7
29516                                                                                            7
29518                                                                                            6
29519                                                                                            7
29520                                                                                            7
29525                                                                                            7
29526                                                                                            7
29527                                                                                            7
29530                                                                                          6,7
29532                                                                                            7
29536                                                                                            7
29540                                                                                            7
29541                                                                                            7
29543                                                                                            7
29544                                                                                            7
29545                                                                                            7
29546                                                                                            7
29547                                                                                            7
29550                                                                                          5,7
29554                                                                                          6,7
29555                                                                                          6,7
29556                                                                                            6
29560                                                                                          6,7
29563                                                                                            7
29564                                                                                            6
29565                                                                                            7
29566                                                                                            7
29567                                                                                            7
29568                                                                                            7
29569                                                                                            7
29570                                                                                            7
29571                                                                                            7
29572                                                                                            7
29574                                                                                            7
29575                                                                                            7
29576                                                                                            7
29577                                                                                            7
29579                                                                                            7
29580                                                                                            6
29581                                                                                            7
29582                                                                                            7
29583                                                                                          6,7
29584                                                                                            7
29585                                                                                            7
29588                                                                                            7
29590                                                                                            6
29591                                                                                          6,7
29592                                                                                            7
29593                                                                                            7
29594                                                                                            7
29596                                                                                            7
29601                                                                                            4
29605                                                                                          3,4
29607                                                                                            4
29609                                                                                            4
29611                                                                                          3,4
29613                                                                                            4
29614                                                                                            4
29615                                                                                            4
29617                                                                                            4
29620                                                                                            3
29621                                                                                            3
29624                                                                                            3
29625                                                                                            3
29626                                                                                            3
29627                                                                                            3
29628                                                                                            3
29630                                                                                            3
29631                                                                                            3
29634                                                                                            3
29635                                                                                          3,4
29638                                                                                            3
29639                                                                                            3
29640                                                                                            3
29642                                                                                            3
29643                                                                                            3
29644                                                                                            3
29645                                                                                            3
29646                                                                                            3
29649                                                                                            3
29650                                                                                            4
29651                                                                                            4
29653                                                                                            3
29654                                                                                            3
29655                                                                                            3
29657                                                                                            3
29658                                                                                            3
29659                                                                                            3
29661                                                                                          3,4
29662                                                                                            4
29664                                                                                            3
29665                                                                                            3
29666                                                                                            3
29667                                                                                            3
29669                                                                                            3
29670                                                                                            3
29671                                                                                            3
29672                                                                                            3
29673                                                                                          3,4
29676                                                                                            3
29678                                                                                            3
29680                                                                                          3,4
29681                                                                                          3,4
29682                                                                                            3
29683                                                                                            4
