TENNESSEE CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

37010                                                                                          6,7
37012                                                                                            6
37013                                                                                            5
37014                                                                                          4,7
37015                                                                                          5-7
37016                                                                                            6
37018                                                                                          4,6
37019                                                                                            4
37020                                                                                            4
37022                                                                                            6
37023                                                                                            7
37025                                                                                          5,7
37026                                                                                            6
37027                                                                                          5,7
37028                                                                                            7
37029                                                                                            5
37030                                                                                            6
37031                                                                                            6
37032                                                                                          5,6
37033                                                                                            7
37034                                                                                            4
37035                                                                                          5,6
37036                                                                                            5
37037                                                                                            4
37040                                                                                            7
37042                                                                                            7
37043                                                                                          5,7
37046                                                                                          4,7
37047                                                                                          4,7
37048                                                                                            6
37049                                                                                            6
37050                                                                                            7
37051                                                                                          5,7
37052                                                                                            7
37055                                                                                          5,7
37057                                                                                            6
37058                                                                                            7
37059                                                                                            6
37060                                                                                          4,7
37061                                                                                            7
37062                                                                                          5,7
37064                                                                                          5,7
37066                                                                                            6
37067                                                                                            7
37069                                                                                            7
37072                                                                                          5,6
37073                                                                                            6
37074                                                                                            6
37075                                                                                            6
37076                                                                                          5,6
37078                                                                                            7
37079                                                                                            7
37080                                                                                          5,6
37082                                                                                            5
37083                                                                                            6
37085                                                                                          4,6
37086                                                                                          4,5
37087                                                                                            6
37090                                                                                            6
37091                                                                                            4
37095                                                                                            6
37096                                                                                            7
37097                                                                                            7
37098                                                                                            7
37101                                                                                            7
37110                                                                                          4,6
37115                                                                                            5
37118                                                                                          4,6
37122                                                                                          4-6
37127                                                                                            4
37128                                                                                            4
37129                                                                                            4
37130                                                                                            4
37132                                                                                            4
37134                                                                                            7
37135                                                                                        4,5,7
37137                                                                                            7
37138                                                                                          5,6
37140                                                                                            7
37141                                                                                            6
37142                                                                                            7
37143                                                                                            5
37144                                                                                          4,7
37145                                                                                            6
37146                                                                                          5,6
37148                                                                                            6
37149                                                                                          4,6
37150                                                                                            6
37151                                                                                            6
37153                                                                                            4
37160                                                                                            4
37165                                                                                            5
37166                                                                                          4,6
37167                                                                                            4
37171                                                                                            7
37172                                                                                            6
37174                                                                                          4,7
37175                                                                                            7
37178                                                                                            7
37179                                                                                            7
37180                                                                                            4
37181                                                                                          5,7
37183                                                                                          4,6
37184                                                                                            6
