TEXAS CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

73949                                                                                           13
75001                                                                                           24
75002                                                                                         3,32
75006                                                                                           24
75007                                                                                           24
75009                                                                                       3,4,26
75010                                                                                           24
75013                                                                                            3
75019                                                                                        24,26
75020                                                                                            4
75021                                                                                            4
75022                                                                                        24,26
75023                                                                                            3
75024                                                                                         3,24
75025                                                                                            3
75028                                                                                        24,26
75032                                                                                            4
75034                                                                                         3,26
75035                                                                                            3
75038                                                                                           24
75039                                                                                           24
75040                                                                                           32
75041                                                                                         5,32
75042                                                                                         5,32
75043                                                                                         5,32
75044                                                                                         3,32
75048                                                                                         3,32
75050                                                                                         6,33
75051                                                                                      6,30,33
75052                                                                                      6,30,33
75054                                                                                         6,30
75056                                                                                        24,26
75057                                                                                           26
75058                                                                                            4
75060                                                                                           33
75061                                                                                        24,33
75062                                                                                        24,33
75063                                                                                           24
75065                                                                                           26
75067                                                                                        24,26
75068                                                                                           26
75069                                                                                            3
75070                                                                                            3
75071                                                                                          3,4
75074                                                                                            3
75075                                                                                            3
75076                                                                                            4
75077                                                                                           26
75078                                                                                       3,4,26
75080                                                                                         3,32
75081                                                                                           32
75082                                                                                         3,32
75087                                                                                            4
75088                                                                                         4,32
75089                                                                                         4,32
75090                                                                                            4
75092                                                                                            4
75093                                                                                         3,24
75094                                                                                         3,32
75098                                                                                       3,4,32
75101                                                                                            6
75102                                                                                            6
75103                                                                                            5
75104                                                                                         6,30
75105                                                                                            6
75109                                                                                            6
75110                                                                                            6
75114                                                                                            5
75115                                                                                           30
75116                                                                                           30
75117                                                                                            5
75119                                                                                            6
75124                                                                                            5
75125                                                                                       5,6,30
75126                                                                                            5
75127                                                                                            5
75132                                                                                            4
75134                                                                                           30
75135                                                                                            4
75137                                                                                           30
75140                                                                                            5
75141                                                                                           30
75142                                                                                            5
75143                                                                                            5
75144                                                                                            6
75146                                                                                         6,30
75147                                                                                            5
75148                                                                                            5
75149                                                                                         5,30
75150                                                                                      5,30,32
75152                                                                                            6
75153                                                                                            6
75154                                                                                         6,30
75155                                                                                            6
75156                                                                                            5
75157                                                                                            5
75158                                                                                            5
75159                                                                                         5,30
75160                                                                                          4,5
75161                                                                                            5
75163                                                                                            5
75164                                                                                            4
75165                                                                                            6
75166                                                                                       3,4,32
75167                                                                                            6
75169                                                                                          4,5
75172                                                                                           30
75173                                                                                          3,4
75180                                                                                         5,30
75181                                                                                            5
75182                                                                                         5,32
75189                                                                                            4
75201                                                                                        30,32
75202                                                                                           30
75203                                                                                        30,33
75204                                                                                        30,32
75205                                                                                           32
75206                                                                                           32
75207                                                                                           30
75208                                                                                        30,33
75209                                                                                     24,30,32
75210                                                                                           30
75211                                                                                        30,33
75212                                                                                        30,33
75214                                                                                      5,30,32
75215                                                                                           30
75216                                                                                        30,33
75217                                                                                         5,30
75218                                                                                      5,30,32
75219                                                                                        30,32
75220                                                                                  24,30,32,33
75223                                                                                        30,32
75224                                                                                        30,33
75225                                                                                           32
75226                                                                                        30,32
75227                                                                                         5,30
75228                                                                                         5,30
75229                                                                                     24,32,33
75230                                                                                        24,32
75231                                                                                         5,32
75232                                                                                           30
75233                                                                                        30,33
75234                                                                                        24,33
75235                                                                                     30,32,33
75236                                                                                        30,33
75237                                                                                           30
75238                                                                                         5,32
75240                                                                                        24,32
75241                                                                                           30
75243                                                                                         5,32
75244                                                                                        24,32
75246                                                                                        30,32
75247                                                                                        30,33
75248                                                                                      3,24,32
75249                                                                                           30
75251                                                                                           32
75252                                                                                      3,24,32
75253                                                                                         5,30
75254                                                                                        24,32
75270                                                                                           30
75287                                                                                         3,24
75390                                                                                           30
75401                                                                                            4
75402                                                                                            4
75407                                                                                            3
75409                                                                                          3,4
75410                                                                                          4,5
75411                                                                                            4
75412                                                                                            4
75413                                                                                            4
75414                                                                                            4
75415                                                                                            4
75416                                                                                            4
75417                                                                                            4
75418                                                                                            4
75420                                                                                            4
75421                                                                                            4
75422                                                                                            4
75423                                                                                            4
75424                                                                                          3,4
75426                                                                                            4
75428                                                                                            4
75431                                                                                          4,5
75432                                                                                            4
75433                                                                                            4
75435                                                                                            4
75436                                                                                            4
75437                                                                                            4
75438                                                                                            4
75439                                                                                            4
75440                                                                                          4,5
75441                                                                                            4
75442                                                                                          3,4
75446                                                                                            4
75447                                                                                            4
75448                                                                                            4
75449                                                                                            4
75450                                                                                            4
75451                                                                                          1,4
75452                                                                                            4
75453                                                                                            4
75454                                                                                            3
75455                                                                                            4
75457                                                                                            4
75459                                                                                            4
75460                                                                                            4
75462                                                                                            4
75468                                                                                            4
75469                                                                                            4
75470                                                                                            4
75471                                                                                          4,5
75472                                                                                            4
75473                                                                                            4
75474                                                                                          4,5
75475                                                                                            4
75476                                                                                            4
75477                                                                                            4
75478                                                                                            4
75479                                                                                            4
75480                                                                                            4
75481                                                                                            4
75482                                                                                            4
75486                                                                                            4
75487                                                                                            4
75488                                                                                            4
75489                                                                                            4
75490                                                                                            4
75491                                                                                            4
75492                                                                                            4
75493                                                                                            4
75494                                                                                        1,4,5
75495                                                                                            4
75496                                                                                            4
75497                                                                                          4,5
75501                                                                                            4
75503                                                                                            4
75550                                                                                            4
75551                                                                                            4
75554                                                                                            4
75555                                                                                            4
75556                                                                                            4
75558                                                                                            4
75559                                                                                            4
75560                                                                                            4
75561                                                                                            4
75562                                                                                            4
75563                                                                                            4
75565                                                                                            4
75566                                                                                            4
75567                                                                                            4
75568                                                                                            4
75569                                                                                            4
75570                                                                                            4
75571                                                                                            4
75572                                                                                            4
75573                                                                                            4
75574                                                                                            4
75601                                                                                            1
75602                                                                                            1
75603                                                                                            1
75604                                                                                          1,4
75605                                                                                          1,4
75630                                                                                            4
75631                                                                                            1
75633                                                                                            1
75638                                                                                            4
75639                                                                                            1
75640                                                                                          1,4
75641                                                                                            1
75642                                                                                            1
75643                                                                                            1
75644                                                                                          1,4
75645                                                                                          1,4
75647                                                                                          1,4
75650                                                                                            1
75651                                                                                          1,4
75652                                                                                            1
75654                                                                                          1,5
75656                                                                                            4
75657                                                                                          1,4
75661                                                                                            1
75662                                                                                            1
75667                                                                                            1
75668                                                                                            4
75669                                                                                            1
75670                                                                                            1
75672                                                                                            1
75681                                                                                            1
75682                                                                                            1
75683                                                                                            4
75684                                                                                            1
75686                                                                                            4
75691                                                                                            1
75692                                                                                            1
75693                                                                                            1
75701                                                                                            1
75702                                                                                            1
75703                                                                                            1
