UTAH CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

81324                                                                                            3
82930                                                                                            1
83312                                                                                            1
83342                                                                                            1
84001                                                                                            1
84002                                                                                            1
84003                                                                                          3,4
84004                                                                                            3
84005                                                                                            4
84006                                                                                            4
84007                                                                                            1
84010                                                                                            2
84013                                                                                            4
84014                                                                                            2
84015                                                                                            1
84017                                                                                            1
84018                                                                                            1
84020                                                                                          3,4
84021                                                                                            1
84022                                                                                            2
84023                                                                                            1
84024                                                                                            1
84025                                                                                          1,2
84026                                                                                            1
84027                                                                                            1
84028                                                                                            1
84029                                                                                            2
84031                                                                                            1
84032                                                                                            3
84033                                                                                            1
84034                                                                                            2
84035                                                                                            1
84036                                                                                          1,3
84037                                                                                          1,2
84038                                                                                            1
84039                                                                                            1
84040                                                                                            1
84041                                                                                            1
84042                                                                                            3
84043                                                                                          3,4
84044                                                                                            2
84045                                                                                            4
84046                                                                                            1
84047                                                                                          3,4
84049                                                                                            3
84050                                                                                            1
84051                                                                                            1
84052                                                                                            1
84053                                                                                            1
84054                                                                                            2
84055                                                                                            1
84056                                                                                            1
84057                                                                                            3
84058                                                                                            3
84060                                                                                          1,3
84061                                                                                            1
84062                                                                                            3
84063                                                                                            1
84064                                                                                            1
84065                                                                                          3,4
84066                                                                                            1
84067                                                                                            1
84069                                                                                            2
84070                                                                                          3,4
84071                                                                                            2
84072                                                                                            1
84073                                                                                            1
84074                                                                                            2
84075                                                                                          1,2
84076                                                                                            1
84078                                                                                            1
84080                                                                                            2
84081                                                                                          2,4
84082                                                                                            3
84083                                                                                          1,2
84084                                                                                            4
84085                                                                                            1
84086                                                                                            1
84087                                                                                            2
84088                                                                                            4
84092                                                                                            3
84093                                                                                            3
84094                                                                                            3
84095                                                                                            4
84096                                                                                            4
84097                                                                                            3
84098                                                                                            1
84101                                                                                            2
84102                                                                                            2
84103                                                                                            2
84104                                                                                            2
84105                                                                                            2
84106                                                                                          2,4
84107                                                                                            4
84108                                                                                            2
84109                                                                                          2-4
84111                                                                                            2
84112                                                                                            2
84113                                                                                            2
84115                                                                                          2,4
84116                                                                                            2
84117                                                                                          3,4
84118                                                                                          2,4
84119                                                                                          2,4
84120                                                                                          2,4
84121                                                                                          3,4
84123                                                                                            4
84124                                                                                          3,4
84128                                                                                            2
84144                                                                                            2
84180                                                                                            2
84301                                                                                            1
84302                                                                                            1
84304                                                                                            1
84305                                                                                            1
84306                                                                                            1
84307                                                                                            1
84308                                                                                            1
84309                                                                                            1
84310                                                                                            1
84311                                                                                            1
84312                                                                                            1
84313                                                                                            1
84314                                                                                            1
84315                                                                                            1
84316                                                                                            1
84317                                                                                            1
84318                                                                                            1
84319                                                                                            1
84320                                                                                            1
84321                                                                                            1
84324                                                                                            1
84325                                                                                            1
84326                                                                                            1
84327                                                                                            1
84328                                                                                            1
84329                                                                                            1
84330                                                                                            1
84331                                                                                            1
84332                                                                                            1
84333                                                                                            1
84334                                                                                            1
84335                                                                                            1
84336                                                                                            1
84337                                                                                            1
84338                                                                                            1
84339                                                                                            1
84340                                                                                            1
84341                                                                                            1
84401                                                                                            1
84403                                                                                            1
84404                                                                                            1
84405                                                                                            1
84414                                                                                            1
84501                                                                                            3
84511                                                                                            3
84512                                                                                            3
84513                                                                                            3
84515                                                                                            3
84516                                                                                            3
84518                                                                                            3
84520                                                                                            3
84521                                                                                            3
84522                                                                                            3
84523                                                                                            3
84525                                                                                            3
84526                                                                                          1,3
84528                                                                                            3
84529                                                                                            3
84530                                                                                            3
84531                                                                                            3
84532                                                                                            3
84533                                                                                          2,3
84534                                                                                            3
84535                                                                                            3
84536                                                                                            3
84537                                                                                            3
84539                                                                                            3
84540                                                                                          1,3
84542                                                                                            3
84601                                                                                          3,4
84604                                                                                            3
84606                                                                                            3
84620                                                                                            2
84621                                                                                            2
84622                                                                                            2
84623                                                                                          2,4
84624                                                                                            2
84626                                                                                            4
84627                                                                                            2
84628                                                                                            2
84629                                                                                          3,4
84630                                                                                            2
84631                                                                                            2
84632                                                                                            4
84633                                                                                            4
84634                                                                                            2
84635                                                                                            2
84636                                                                                            2
84637                                                                                            2
84638                                                                                            2
84639                                                                                            4
84640                                                                                            2
84642                                                                                            2
84643                                                                                            2
84645                                                                                            4
84646                                                                                            4
84647                                                                                            4
84648                                                                                          2,4
84649                                                                                            2
84651                                                                                          3,4
84652                                                                                            2
84653                                                                                            3
84654                                                                                            2
84655                                                                                          3,4
84656                                                                                          2,4
84657                                                                                            2
84660                                                                                          3,4
84662                                                                                          2,4
84663                                                                                          3,4
84664                                                                                            3
84665                                                                                            2
84667                                                                                            4
84701                                                                                            2
84710                                                                                            2
84711                                                                                            2
84712                                                                                            2
84713                                                                                            2
84714                                                                                            2
84715                                                                                            2
84716                                                                                            2
84718                                                                                            2
84719                                                                                            2
84720                                                                                            2
84721                                                                                            2
84722                                                                                            2
84723                                                                                            2
84724                                                                                            2
84725                                                                                            2
84726                                                                                            2
84728                                                                                            2
84729                                                                                            2
84730                                                                                            2
84731                                                                                            2
84732                                                                                            2
84733                                                                                            2
84734                                                                                            2
84735                                                                                            2
84736                                                                                            2
84737                                                                                            2
84738                                                                                            2
84739                                                                                            2
84740                                                                                            2
84741                                                                                            2
84742                                                                                            2
84743                                                                                            2
84744                                                                                            2
84745                                                                                            2
84746                                                                                            2
84747                                                                                            2
84749                                                                                            2
84750                                                                                            2
84751                                                                                            2
84752                                                                                            2
84753                                                                                            2
84754                                                                                            2
84755                                                                                            2
84756                                                                                            2
84757                                                                                            2
84758                                                                                            2
84759                                                                                            2
84760                                                                                            2
84761                                                                                            2
84762                                                                                            2
84763                                                                                            2
84764                                                                                            2
84765                                                                                            2
84766                                                                                            2
84767                                                                                            2
84770                                                                                            2
84772                                                                                            2
84773                                                                                            2
84774                                                                                            2
84775                                                                                            2
84776                                                                                            2
84779                                                                                            2
84780                                                                                            2
84781                                                                                            2
84782                                                                                            2
84783                                                                                            2
84784                                                                                            2
84790                                                                                            2
86044                                                                                            3
86514                                                                                            3
