VIRGINIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

20105                                                                                           10
20106                                                                                          5,7
20109                                                                                         1,10
20110                                                                                         1,10
20111                                                                                         1,10
20112                                                                                      1,10,11
20115                                                                                            5
20117                                                                                         5,10
20118                                                                                           10
20119                                                                                          1,5
20120                                                                                        10,11
20121                                                                                        10,11
20124                                                                                        10,11
20129                                                                                           10
20130                                                                                         5,10
20132                                                                                           10
20135                                                                                           10
20136                                                                                            1
20137                                                                                         5,10
20139                                                                                            5
20141                                                                                           10
20143                                                                                           10
20144                                                                                            5
20147                                                                                           10
20148                                                                                           10
20151                                                                                        10,11
20152                                                                                           10
20155                                                                                         1,10
20158                                                                                           10
20164                                                                                           10
20165                                                                                           10
20166                                                                                           10
20169                                                                                           10
20170                                                                                        10,11
20171                                                                                        10,11
20175                                                                                           10
20176                                                                                           10
20180                                                                                           10
20181                                                                                          1,5
20184                                                                                         5,10
20186                                                                                          5,7
20187                                                                                            5
20190                                                                                        10,11
20191                                                                                        10,11
20194                                                                                        10,11
20197                                                                                           10
20198                                                                                            5
22003                                                                                         8,11
22015                                                                                        10,11
22025                                                                                            1
22026                                                                                         1,11
22027                                                                                           11
22030                                                                                        10,11
22031                                                                                           11
22032                                                                                           11
22033                                                                                        10,11
22035                                                                                           11
22039                                                                                        10,11
22041                                                                                         8,11
22042                                                                                         8,11
22043                                                                                         8,11
22044                                                                                         8,11
22046                                                                                            8
22060                                                                                            8
22066                                                                                           10
22079                                                                                      8,10,11
22101                                                                                         8,10
22102                                                                                      8,10,11
22124                                                                                        10,11
22125                                                                                           11
22134                                                                                         1,11
22150                                                                                         8,11
22151                                                                                         8,11
22152                                                                                           11
22153                                                                                      8,10,11
22172                                                                                         1,11
22180                                                                                           11
22181                                                                                        10,11
22182                                                                                        10,11
22185                                                                                           11
22191                                                                                           11
22192                                                                                         1,11
22193                                                                                         1,11
22201                                                                                            8
22202                                                                                            8
22203                                                                                            8
22204                                                                                            8
22205                                                                                            8
22206                                                                                            8
22207                                                                                            8
22209                                                                                            8
22211                                                                                            8
22213                                                                                            8
22214                                                                                            8
22301                                                                                            8
22302                                                                                            8
22303                                                                                            8
22304                                                                                            8
22305                                                                                            8
22306                                                                                            8
22307                                                                                            8
22308                                                                                            8
22309                                                                                            8
22310                                                                                            8
22311                                                                                            8
22312                                                                                            8
22314                                                                                            8
22315                                                                                            8
22401                                                                                            1
22405                                                                                            1
22406                                                                                            1
22407                                                                                          1,7
22408                                                                                          1,7
22427                                                                                            1
22432                                                                                            1
