WASHINGTON CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

98001                                                                                          8,9
98002                                                                                            8
98003                                                                                          8,9
98004                                                                                          1,9
98005                                                                                            9
98006                                                                                            9
98007                                                                                          1,9
98008                                                                                          1,9
98010                                                                                            8
98011                                                                                            1
98012                                                                                          1,2
98014                                                                                            1
98019                                                                                            1
98020                                                                                            7
98021                                                                                          1,2
98022                                                                                            8
98023                                                                                            9
98024                                                                                          1,8
98026                                                                                          2,7
98027                                                                                          8,9
98028                                                                                            1
98029                                                                                            8
98030                                                                                          8,9
98031                                                                                          8,9
98032                                                                                          8,9
98033                                                                                          1,9
98034                                                                                            1
98036                                                                                            2
98037                                                                                          2,7
98038                                                                                            8
98039                                                                                          1,9
98040                                                                                            9
98042                                                                                          8,9
98043                                                                                          2,7
98045                                                                                          1,8
98047                                                                                         8,10
98050                                                                                            8
98051                                                                                            8
98052                                                                                          1,9
98053                                                                                            1
98055                                                                                            9
98056                                                                                            9
98057                                                                                            9
98058                                                                                          8,9
98059                                                                                          8,9
98065                                                                                          1,8
98068                                                                                          1,8
98070                                                                                            7
98072                                                                                            1
98074                                                                                          1,8
98075                                                                                          1,8
98077                                                                                            1
98087                                                                                            2
98092                                                                                            8
98101                                                                                            7
98102                                                                                            7
98103                                                                                            7
98104                                                                                          7,9
98105                                                                                            7
98106                                                                                            7
98107                                                                                            7
98108                                                                                          7,9
98109                                                                                            7
98110                                                                                            6
98112                                                                                          7,9
98115                                                                                            7
98116                                                                                            7
98117                                                                                            7
98118                                                                                            9
98119                                                                                            7
98121                                                                                            7
98122                                                                                          7,9
98125                                                                                            7
98126                                                                                            7
98133                                                                                            7
98134                                                                                          7,9
98136                                                                                            7
98144                                                                                            9
98146                                                                                            7
98148                                                                                          7,9
98154                                                                                            7
98155                                                                                            7
98158                                                                                            9
98164                                                                                            7
98166                                                                                            7
98168                                                                                          7,9
98174                                                                                            7
98177                                                                                            7
98178                                                                                            9
98188                                                                                            9
98195                                                                                            7
98198                                                                                          7,9
98199                                                                                            7
98201                                                                                            2
98203                                                                                            2
98204                                                                                            2
98205                                                                                          1,2
98207                                                                                            2
98208                                                                                          1,2
98220                                                                                          1,2
98221                                                                                            2
98222                                                                                            2
98223                                                                                          1,2
98224                                                                                            1
98225                                                                                          1,2
98226                                                                                          1,2
98229                                                                                            2
98230                                                                                            1
98232                                                                                            2
98233                                                                                          1,2
98235                                                                                            1
98236                                                                                            2
98237                                                                                            1
98238                                                                                            2
98239                                                                                            2
98240                                                                                            1
98241                                                                                            1
98243                                                                                            2
98244                                                                                            1
98245                                                                                            2
98247                                                                                            1
98248                                                                                            1
98249                                                                                            2
98250                                                                                            2
98251                                                                                            1
98252                                                                                            1
98253                                                                                            2
98255                                                                                            1
98256                                                                                            1
98257                                                                                            2
98258                                                                                          1,2
98260                                                                                            2
98261                                                                                            2
98262                                                                                            1
98263                                                                                            1
98264                                                                                            1
98266                                                                                            1
98267                                                                                            1
98270                                                                                            2
98271                                                                                            2
98272                                                                                            1
98273                                                                                          1,2
98274                                                                                          1,2
98275                                                                                            2
98276                                                                                            1
98277                                                                                            2
98278                                                                                            2
98279                                                                                            2
98280                                                                                            2
98281                                                                                            1
98282                                                                                            2
98283                                                                                            1
98284                                                                                          1,2
98286                                                                                            2
98288                                                                                            1
98290                                                                                            1
98292                                                                                            2
98294                                                                                            1
98295                                                                                            1
98296                                                                                            1
98297                                                                                            2
98303                                                                                           10
98304                                                                                          3,8
98305                                                                                            6
98310                                                                                            6
98311                                                                                            6
98312                                                                                            6
98314                                                                                            6
98315                                                                                            6
98320                                                                                            6
98321                                                                                            8
98323                                                                                            8
98325                                                                                            6
98326                                                                                            6
98327                                                                                           10
98328                                                                                            8
98329                                                                                            6
98330                                                                                            8
98331                                                                                            6
98332                                                                                            6
98333                                                                                            6
98335                                                                                            6
98336                                                                                            3
98337                                                                                            6
98338                                                                                         8,10
98339                                                                                            6
98340                                                                                            6
98342                                                                                            6
98345                                                                                            6
98346                                                                                            6
98349                                                                                            6
98350                                                                                            6
98351                                                                                            6
98353                                                                                            6
98354                                                                                         8,10
98355                                                                                            3
98356                                                                                            3
98357                                                                                            6
98358                                                                                            6
98359                                                                                            6
98360                                                                                            8
98361                                                                                            3
98362                                                                                            6
98363                                                                                            6
98364                                                                                            6
98365                                                                                            6
98366                                                                                            6
98367                                                                                            6
98368                                                                                            6
98370                                                                                            6
98371                                                                                           10
98372                                                                                         8,10
98373                                                                                           10
98374                                                                                         8,10
98375                                                                                         8,10
98376                                                                                            6
98377                                                                                            3
98380                                                                                            6
98381                                                                                            6
98382                                                                                            6
98383                                                                                            6
98385                                                                                            8
98387                                                                                         8,10
98388                                                                                           10
98390                                                                                         8,10
98391                                                                                         8,10
98392                                                                                            6
98394                                                                                            6
98396                                                                                            8
98402                                                                                          6,9
98403                                                                                            6
98404                                                                                           10
98405                                                                                            6
98406                                                                                            6
98407                                                                                            6
98408                                                                                         6,10
98409                                                                                            6
98416                                                                                            6
98418                                                                                         6,10
98421                                                                                       6,9,10
98422                                                                                            9
98424                                                                                         8-10
98430                                                                                           10
98433                                                                                           10
98438                                                                                           10
98439                                                                                           10
98443                                                                                           10
98444                                                                                         6,10
98445                                                                                           10
98446                                                                                           10
98447                                                                                           10
98465                                                                                            6
98466                                                                                         6,10
98467                                                                                         6,10
98498                                                                                           10
98499                                                                                         6,10
98501                                                                                           10
98502                                                                                           10
98503                                                                                           10
98506                                                                                           10
98512                                                                                           10
98513                                                                                           10
98516                                                                                           10
98520                                                                                            6
98524                                                                                            6
98526                                                                                            6
98527                                                                                            3
98528                                                                                            6
98530                                                                                            3
98531                                                                                            3
98532                                                                                            3
98533                                                                                            3
98535                                                                                            6
98536                                                                                            6
98537                                                                                          3,6
98538                                                                                            3
98541                                                                                            6
98542                                                                                            3
98544                                                                                            3
98546                                                                                            6
98547                                                                                          3,6
98548                                                                                            6
98550                                                                                            6
98552                                                                                            6
98555                                                                                            6
98557                                                                                            6
98558                                                                                         8,10
98559                                                                                            6
98560                                                                                            6
98562                                                                                            6
98563                                                                                            6
98564                                                                                            3
98565                                                                                            3
98568                                                                                          3,6
98569                                                                                            6
98570                                                                                            3
98571                                                                                            6
98572                                                                                            3
98575                                                                                            6
98576                                                                                         3,10
98577                                                                                            3
98579                                                                                         3,10
98580                                                                                         8,10
98581                                                                                            3
98582                                                                                            3
98583                                                                                            6
98584                                                                                         6,10
98585                                                                                            3
98586                                                                                            3
98587                                                                                            6
98588                                                                                            6
98589                                                                                         3,10
98590                                                                                            3
98591                                                                                            3
98592                                                                                            6
98593                                                                                            3
98595                                                                                            6
98596                                                                                            3
98597                                                                                         3,10
98601                                                                                            3
98602                                                                                            3
98603                                                                                            3
98604                                                                                            3
98605                                                                                            3
98606                                                                                            3
98607                                                                                            3
98610                                                                                            3
98611                                                                                            3
98612                                                                                            3
98613                                                                                            3
98614                                                                                            3
98616                                                                                            3
98617                                                                                            3
98619                                                                                            3
98620                                                                                            3
98621                                                                                            3
98624                                                                                            3
98625                                                                                            3
98626                                                                                            3
98628                                                                                            3
98629                                                                                            3
98631                                                                                            3
98632                                                                                            3
98635                                                                                            3
98638                                                                                            3
98639                                                                                            3
98640                                                                                            3
98641                                                                                            3
98642                                                                                            3
98643                                                                                            3
98644                                                                                            3
98645                                                                                            3
98647                                                                                            3
98648                                                                                            3
98649                                                                                            3
98650                                                                                            3
98651                                                                                            3
98660                                                                                            3
98661                                                                                            3
98662                                                                                            3
98663                                                                                            3
98664                                                                                            3
98665                                                                                            3
98670                                                                                            3
98671                                                                                            3
98672                                                                                            3
98673                                                                                            3
98674                                                                                            3
98675                                                                                            3
98682                                                                                            3
98683                                                                                            3
98684                                                                                            3
98685                                                                                            3
98686                                                                                            3
98801                                                                                            8
98802                                                                                          4,8
98811                                                                                            8
98812                                                                                            4
98813                                                                                            4
98814                                                                                            4
98815                                                                                            8
98816                                                                                          4,8
98817                                                                                            8
98819                                                                                            4
98821                                                                                            8
98822                                                                                            8
98823                                                                                            4
98824                                                                                            4
98826                                                                                            8
98827                                                                                            4
