WEST VIRGINIA CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

20135                                                                                            2
24604                                                                                            3
24701                                                                                            3
24712                                                                                            3
24714                                                                                            3
24715                                                                                            3
24716                                                                                            3
24719                                                                                            3
24724                                                                                            3
24726                                                                                            3
24729                                                                                            3
24731                                                                                            3
24733                                                                                            3
24736                                                                                            3
24737                                                                                            3
24738                                                                                            3
24740                                                                                            3
24747                                                                                            3
24801                                                                                            3
24808                                                                                            3
24811                                                                                            3
24813                                                                                            3
24815                                                                                            3
24816                                                                                            3
24817                                                                                            3
24818                                                                                            3
24822                                                                                            3
24823                                                                                            3
24826                                                                                            3
24827                                                                                            3
24828                                                                                            3
24830                                                                                            3
24831                                                                                            3
24834                                                                                            3
24836                                                                                            3
24839                                                                                            3
24843                                                                                            3
24844                                                                                            3
24845                                                                                            3
24846                                                                                            3
24847                                                                                            3
24848                                                                                            3
24849                                                                                            3
24850                                                                                            3
24851                                                                                            3
24853                                                                                            3
24854                                                                                            3
24857                                                                                            3
24860                                                                                            3
24861                                                                                            3
24862                                                                                            3
24866                                                                                            3
24867                                                                                            3
24868                                                                                            3
24869                                                                                            3
24870                                                                                            3
24871                                                                                            3
24872                                                                                            3
24873                                                                                            3
24874                                                                                            3
24878                                                                                            3
24879                                                                                            3
24880                                                                                            3
24881                                                                                            3
24882                                                                                            3
24884                                                                                            3
24887                                                                                            3
24888                                                                                            3
24892                                                                                            3
24894                                                                                            3
24898                                                                                            3
24901                                                                                            3
24910                                                                                            3
24915                                                                                            3
24916                                                                                            3
24918                                                                                            3
24920                                                                                            3
24924                                                                                            3
24925                                                                                            3
24927                                                                                            3
24931                                                                                            3
24934                                                                                            3
24935                                                                                            3
24938                                                                                            3
24941                                                                                            3
24944                                                                                            3
24945                                                                                            3
24946                                                                                            3
24951                                                                                            3
24954                                                                                            3
24957                                                                                            3
24962                                                                                            3
24963                                                                                            3
24966                                                                                            3
24970                                                                                            3
24974                                                                                            3
24976                                                                                            3
24977                                                                                            3
24981                                                                                            3
24983                                                                                            3
24984                                                                                            3
24986                                                                                            3
24991                                                                                            3
25002                                                                                            3
25003                                                                                          2,3
25005                                                                                            2
25007                                                                                            3
25008                                                                                            3
25009                                                                                            3
25011                                                                                            2
25015                                                                                            2
25019                                                                                            2
25021                                                                                            3
25022                                                                                            3
25024                                                                                            3
25025                                                                                            2
25028                                                                                            3
25030                                                                                            2
25031                                                                                            3
25033                                                                                            2
25035                                                                                            2
25036                                                                                          2,3
25039                                                                                            2
25040                                                                                            3
25043                                                                                          2,3
25044                                                                                            3
25045                                                                                            2
25047                                                                                            3
25048                                                                                            3
25049                                                                                            3
25051                                                                                            3
25053                                                                                            3
25054                                                                                            2
25057                                                                                            3
25059                                                                                            3
25060                                                                                            3
25061                                                                                            2
25062                                                                                            3
25063                                                                                          2,3
25064                                                                                            2
25067                                                                                            2
25070                                                                                            2
25071                                                                                            2
25075                                                                                            2
25076                                                                                            3
25081                                                                                            3
25082                                                                                          2,3
25083                                                                                          2,3
25085                                                                                            3
25086                                                                                            2
25088                                                                                            2
25090                                                                                            3
25093                                                                                            3
25102                                                                                            2
25103                                                                                            2
25106                                                                                            3
25107                                                                                            2
25108                                                                                            3
25109                                                                                            2
25110                                                                                            2
25111                                                                                          2,3
25112                                                                                            2
25113                                                                                            2
25114                                                                                            3
25115                                                                                            3
25118                                                                                            3
25119                                                                                            3
25121                                                                                            3
25123                                                                                          2,3
25124                                                                                            2
25125                                                                                          2,3
25126                                                                                            2
25130                                                                                            3
25132                                                                                            2
25133                                                                                            2
25134                                                                                            2
25136                                                                                          2,3
25139                                                                                            3
25140                                                                                            3
25141                                                                                            2
25142                                                                                            3
25143                                                                                            2
25148                                                                                            3
25149                                                                                            3
25152                                                                                            3
25154                                                                                            3
25156                                                                                            2
25159                                                                                            2
25160                                                                                            2
25161                                                                                            3
25162                                                                                            2
25164                                                                                            2
25165                                                                                            3
25168                                                                                            2
25169                                                                                            3
25173                                                                                            3
25174                                                                                            3
25177                                                                                            2
25180                                                                                            3
25181                                                                                            3
25183                                                                                            3
25185                                                                                            3
25186                                                                                            3
25187                                                                                            3
25193                                                                                            3
25201                                                                                            2
25202                                                                                          2,3
25203                                                                                            3
25204                                                                                            3
25205                                                                                            3
25206                                                                                            3
25208                                                                                            3
25209                                                                                            3
25211                                                                                            2
25213                                                                                            2
25214                                                                                            2
25234                                                                                            2
25235                                                                                            2
25239                                                                                          2,3
25241                                                                                          2,3
25243                                                                                            2
25244                                                                                            2
25245                                                                                            2
25247                                                                                            3
25248                                                                                            2
25251                                                                                            2
25252                                                                                            2
25253                                                                                            3
25259                                                                                            2
25260                                                                                            3
25261                                                                                            2
25262                                                                                            2
25264                                                                                          2,3
25265                                                                                            3
25266                                                                                            2
25267                                                                                          1,2
25268                                                                                            2
25270                                                                                            2
25271                                                                                            2
25275                                                                                            2
25276                                                                                            2
25285                                                                                            2
25286                                                                                            2
25287                                                                                            3
25301                                                                                            2
25302                                                                                            2
25303                                                                                            2
25304                                                                                            2
25305                                                                                            2
25306                                                                                            2
25309                                                                                            2
25311                                                                                            2
25312                                                                                            2
25313                                                                                            2
25314                                                                                            2
25315                                                                                            2
25320                                                                                            2
25401                                                                                            2
25403                                                                                            2
25404                                                                                            2
25405                                                                                            2
25411                                                                                            2
25413                                                                                            2
25414                                                                                            2
25419                                                                                            2
25420                                                                                            2
25422                                                                                            2
25425                                                                                            2
25427                                                                                            2
25428                                                                                            2
25430                                                                                            2
25431                                                                                            2
25432                                                                                            2
25434                                                                                            2
25437                                                                                            2
25438                                                                                            2
25442                                                                                            2
25443                                                                                            2
25444                                                                                            2
25446                                                                                            2
25501                                                                                            3
25502                                                                                            3
25503                                                                                            3
25504                                                                                            3
25505                                                                                            3
25506                                                                                            3
25507                                                                                            3
25508                                                                                            3
25510                                                                                          2,3
25511                                                                                            3
25512                                                                                            3
25514                                                                                            3
25515                                                                                            3
25517                                                                                            3
25520                                                                                            3
25521                                                                                            3
25523                                                                                          2,3
25524                                                                                            3
25526                                                                                          2,3
25529                                                                                            3
25530                                                                                            3
25534                                                                                            3
25535                                                                                            3
25537                                                                                            3
25540                                                                                            3
25541                                                                                            3
25545                                                                                            3
25547                                                                                            3
25550                                                                                            3
25555                                                                                            3
25557                                                                                            3
25559                                                                                            3
25560                                                                                            2
25564                                                                                            3
25565                                                                                            3
25567                                                                                            3
25570                                                                                            3
25571                                                                                            3
25573                                                                                            3
25601                                                                                            3
25606                                                                                            3
25607                                                                                            3
25608                                                                                            3
25611                                                                                            3
25617                                                                                            3
25621                                                                                            3
25624                                                                                            3
25625                                                                                            3
25628                                                                                            3
25630                                                                                            3
25632                                                                                            3
25634                                                                                            3
25635                                                                                            3
25637                                                                                            3
25638                                                                                            3
25639                                                                                            3
25644                                                                                            3
25646                                                                                            3
25647                                                                                            3
25649                                                                                            3
25650                                                                                            3
25651                                                                                            3
25652                                                                                            3
25653                                                                                            3
25654                                                                                            3
25661                                                                                            3
25666                                                                                            3
25669                                                                                            3
25670                                                                                            3
25671                                                                                            3
25672                                                                                            3
25674                                                                                            3
25676                                                                                            3
25678                                                                                            3
25688                                                                                            3
25690                                                                                            3
25692                                                                                            3
25696                                                                                            3
25699                                                                                            3
25701                                                                                            3
25702                                                                                            3
25703                                                                                            3
25704                                                                                            3
25705                                                                                            3
25801                                                                                            3
25810                                                                                            3
25811                                                                                            3
25812                                                                                            3
25813                                                                                            3
25817                                                                                            3
25818                                                                                            3
25820                                                                                            3
25823                                                                                            3
25825                                                                                            3
25826                                                                                            3
25827                                                                                            3
25831                                                                                            3
25832                                                                                            3
25836                                                                                            3
25837                                                                                            3
25839                                                                                            3
25840                                                                                            3
25841                                                                                            3
25843                                                                                            3
25844                                                                                            3
25845                                                                                            3
25846                                                                                            3
25848                                                                                            3
25849                                                                                            3
25853                                                                                            3
25854                                                                                            3
25855                                                                                            3
25857                                                                                            3
25862                                                                                            3
25864                                                                                            3
25865                                                                                            3
25868                                                                                            3
25870                                                                                            3
25871                                                                                            3
25873                                                                                            3
25875                                                                                            3
25876                                                                                            3
25878                                                                                            3
25879                                                                                            3
25880                                                                                            3
25882                                                                                            3
25901                                                                                            3
25902                                                                                            3
25904                                                                                            3
25906                                                                                            3
25907                                                                                            3
25908                                                                                            3
25911                                                                                            3
25913                                                                                            3
25915                                                                                            3
25916                                                                                            3
25917                                                                                            3
25918                                                                                            3
25920                                                                                            3
25921                                                                                            3
25922                                                                                            3
25928                                                                                            3
25932                                                                                            3
25936                                                                                            3
25938                                                                                            3
25942                                                                                            3
25951                                                                                            3
25958                                                                                            3
25962                                                                                            3
25969                                                                                            3
25971                                                                                            3
25972                                                                                            3
25976                                                                                            3
25977                                                                                            3
25978                                                                                            3
25979                                                                                            3
25981                                                                                            3
25984                                                                                            3
25985                                                                                            3
25989                                                                                            3
26003                                                                                            1
26030                                                                                            1
26031                                                                                            1
26032                                                                                            1
26033                                                                                            1
26034                                                                                            1
26035                                                                                            1
26036                                                                                            1
26037                                                                                            1
26038                                                                                            1
26039                                                                                            1
26040                                                                                            1
26041                                                                                            1
26047                                                                                            1
26050                                                                                            1
26055                                                                                            1
26056                                                                                            1
26059                                                                                            1
26060                                                                                            1
26062                                                                                            1
26070                                                                                            1
26074                                                                                            1
26075                                                                                            1
26101                                                                                            1
26104                                                                                            1
26105                                                                                            1
26133                                                                                            1
26134                                                                                            1
26136                                                                                            2
26137                                                                                          1,2
26138                                                                                            2
26141                                                                                            2
26142                                                                                            1
26143                                                                                          1,2
26146                                                                                            1
26147                                                                                            2
26148                                                                                            1
26149                                                                                            1
26150                                                                                            1
26151                                                                                            2
26152                                                                                            2
26155                                                                                            1
26159                                                                                            1
26160                                                                                            2
26161                                                                                          1,2
26164                                                                                          1,2
26167                                                                                            1
26169                                                                                            1
26170                                                                                            1
26175                                                                                            1
26178                                                                                            1
26180                                                                                          1,2
26181                                                                                            1
26184                                                                                            1
26187                                                                                            1
26201                                                                                          1,2
26202                                                                                            3
26203                                                                                            3
26205                                                                                            3
26206                                                                                            3
26208                                                                                            3
26209                                                                                            3
26215                                                                                            3
26217                                                                                            3
26218                                                                                            2
26222                                                                                            3
26224                                                                                            2
26228                                                                                            2
26230                                                                                            2
26234                                                                                            2
26236                                                                                            2
26237                                                                                            2
26238                                                                                          1,2
26241                                                                                            2
26250                                                                                          1,2
26253                                                                                            2
26254                                                                                            2
26257                                                                                            2
26259                                                                                            2
26260                                                                                            1
26261                                                                                            3
26263                                                                                          1,2
26264                                                                                            3
26266                                                                                            3
26267                                                                                          1,2
26268                                                                                            2
26269                                                                                            1
26270                                                                                            2
26271                                                                                            1
26273                                                                                            2
26275                                                                                            1
26276                                                                                          1,2
26278                                                                                            2
26280                                                                                            2
26282                                                                                            2
26283                                                                                          1,2
26285                                                                                            2
26287                                                                                            1
26288                                                                                            3
26291                                                                                            3
26292                                                                                            1
26293                                                                                            2
26294                                                                                            2
26296                                                                                            2
26298                                                                                            3
26301                                                                                            1
26320                                                                                            1
26321                                                                                            2
26323                                                                                            1
26325                                                                                            1
26327                                                                                            1
26330                                                                                            1
26335                                                                                          1,2
26337                                                                                            1
26338                                                                                            2
26339                                                                                            1
26342                                                                                            1
26343                                                                                            2
26346                                                                                            1
26347                                                                                            1
26348                                                                                            1
26349                                                                                            1
26351                                                                                            1
26354                                                                                            1
26361                                                                                            1
26362                                                                                            1
26366                                                                                            1
26369                                                                                            1
26372                                                                                            2
26374                                                                                            1
26376                                                                                            2
26377                                                                                            1
26378                                                                                          1,2
26384                                                                                          1,2
26385                                                                                            1
26386                                                                                            1
26404                                                                                            1
26405                                                                                            1
26408                                                                                            1
26410                                                                                            1
26411                                                                                            1
26412                                                                                          1,2
26415                                                                                            1
26416                                                                                            1
26419                                                                                            1
26421                                                                                            1
26422                                                                                            1
26424                                                                                            1
26425                                                                                            1
26426                                                                                            1
26430                                                                                            1
26431                                                                                            1
26435                                                                                            1
26436                                                                                            1
26437                                                                                            1
26438                                                                                            1
26440                                                                                            1
26443                                                                                            1
26444                                                                                            1
26447                                                                                            2
26448                                                                                            1
26451                                                                                            1
26452                                                                                            2
26456                                                                                            1
26501                                                                                            1
26505                                                                                            1
26508                                                                                            1
26519                                                                                            1
26520                                                                                            1
26521                                                                                            1
26525                                                                                            1
26534                                                                                            1
26537                                                                                            1
26541                                                                                            1
26542                                                                                            1
26543                                                                                            1
26547                                                                                            1
26554                                                                                            1
26559                                                                                            1
26560                                                                                            1
26562                                                                                            1
26563                                                                                            1
26568                                                                                            1
26570                                                                                            1
26571                                                                                            1
26572                                                                                            1
26574                                                                                            1
26575                                                                                            1
26576                                                                                            1
26581                                                                                            1
26582                                                                                            1
26585                                                                                            1
26586                                                                                            1
26587                                                                                            1
26588                                                                                            1
26590                                                                                            1
26591                                                                                            1
26601                                                                                            2
26610                                                                                            3
26611                                                                                            1
26615                                                                                            2
26617                                                                                          2,3
26619                                                                                            2
26621                                                                                            2
26623                                                                                            2
26624                                                                                            2
26627                                                                                            2
26629                                                                                            2
26631                                                                                            2
26636                                                                                          1,2
26638                                                                                          1,2
26651                                                                                            3
26656                                                                                            3
26660                                                                                            3
26662                                                                                            3
26676                                                                                            3
26678                                                                                            3
26679                                                                                            3
26680                                                                                            3
26681                                                                                            3
26684                                                                                            3
26690                                                                                            3
26691                                                                                            3
26704                                                                                            2
26705                                                                                            1
26707                                                                                            1
26710                                                                                          1,2
26711                                                                                            2
26714                                                                                            2
26716                                                                                            1
26717                                                                                            1
26719                                                                                            1
26720                                                                                            1
26722                                                                                            2
26726                                                                                            1
26731                                                                                            1
26739                                                                                            1
26743                                                                                            1
26750                                                                                            1
26753                                                                                            1
26755                                                                                            2
26757                                                                                            2
26761                                                                                            2
26763                                                                                          1,2
26764                                                                                            1
26767                                                                                            1
26801                                                                                            2
26802                                                                                            2
26804                                                                                            2
26807                                                                                            2
26808                                                                                            2
26810                                                                                            2
26812                                                                                            2
26814                                                                                            2
26815                                                                                            2
26817                                                                                            2
26818                                                                                            2
26823                                                                                            2
26833                                                                                            1
26836                                                                                            2
26845                                                                                            2
26847                                                                                          1,2
26851                                                                                            2
26852                                                                                            2
26855                                                                                          1,2
26865                                                                                            2
26866                                                                                            2
26884                                                                                            2
