WISCONSIN CONGRESSIONAL DISTRICTS BY ZIP CODE TABULATION AREA (ZCTA)

ZCTA                                                                        Congressional District

53001                                                                                            6
53002                                                                                            5
53003                                                                                            5
53004                                                                                            6
53005                                                                                            5
53006                                                                                            6
53007                                                                                          4,5
53010                                                                                          5,6
53011                                                                                            6
53012                                                                                          5,6
53013                                                                                            6
53014                                                                                          6,8
53015                                                                                            6
53016                                                                                            5
53017                                                                                            5
53018                                                                                          1,5
53019                                                                                            6
53020                                                                                          6,8
53021                                                                                          5,6
53022                                                                                            5
53023                                                                                            6
53024                                                                                            6
53027                                                                                            5
53029                                                                                            5
53031                                                                                            6
53032                                                                                          5,6
53033                                                                                            5
53034                                                                                            5
53035                                                                                          5,6
53036                                                                                            5
53037                                                                                            5
53038                                                                                            5
53039                                                                                            5
53040                                                                                          5,6
53042                                                                                          6,8
53044                                                                                            6
53045                                                                                            5
53046                                                                                            5
53047                                                                                            5
53048                                                                                          5,6
53049                                                                                          6,8
53050                                                                                          5,6
53051                                                                                          4,5
53057                                                                                            6
53058                                                                                            5
53059                                                                                            5
53061                                                                                          6,8
53063                                                                                            6
53065                                                                                            6
53066                                                                                          1,5
53069                                                                                            5
53070                                                                                            6
53072                                                                                            5
53073                                                                                            6
53074                                                                                            6
53075                                                                                            6
53076                                                                                            5
53078                                                                                            5
53079                                                                                            6
53080                                                                                            6
53081                                                                                            6
53083                                                                                            6
53085                                                                                            6
53086                                                                                            5
53088                                                                                            8
53089                                                                                            5
53090                                                                                          5,6
53091                                                                                          5,6
53092                                                                                            6
53093                                                                                            6
53094                                                                                            5
53095                                                                                          5,6
53097                                                                                            6
53098                                                                                            5
53103                                                                                            1
53104                                                                                            1
53105                                                                                            1
53108                                                                                            1
53110                                                                                            4
53114                                                                                            1
53115                                                                                            1
53118                                                                                          1,5
53119                                                                                            1
53120                                                                                            1
53121                                                                                            1
53122                                                                                            5
53125                                                                                            1
53126                                                                                            1
53128                                                                                            1
53129                                                                                          1,5
53130                                                                                            1
53132                                                                                            1
53137                                                                                            5
53139                                                                                            1
53140                                                                                            1
53142                                                                                            1
53143                                                                                            1
53144                                                                                            1
53146                                                                                          1,5
53147                                                                                            1
53149                                                                                            1
53150                                                                                            1
53151                                                                                          1,5
53153                                                                                            1
53154                                                                                          1,4
53156                                                                                            5
53158                                                                                            1
53167                                                                                            1
53168                                                                                            1
53170                                                                                            1
53172                                                                                            4
53177                                                                                            1
53178                                                                                            5
53179                                                                                            1
53181                                                                                            1
53182                                                                                            1
53183                                                                                          1,5
53184                                                                                            1
53185                                                                                            1
53186                                                                                            5
53188                                                                                          1,5
53189                                                                                          1,5
53190                                                                                          1,5
53191                                                                                            1
53192                                                                                            1
53195                                                                                            1
53202                                                                                            4
53203                                                                                            4
53204                                                                                            4
53205                                                                                            4
53206                                                                                            4
53207                                                                                            4
53208                                                                                          4,5
53209                                                                                            4
53210                                                                                          4,5
53211                                                                                            4
53212                                                                                            4
53213                                                                                          4,5
53214                                                                                          4,5
53215                                                                                            4
53216                                                                                            4
53217                                                                                          4,6
53218                                                                                            4
53219                                                                                          4,5
53220                                                                                        1,4,5
53221                                                                                        1,4,5
53222                                                                                          4,5
53223                                                                                            4
53224                                                                                            4
53225                                                                                          4,5
53226                                                                                          4,5
53227                                                                                          4,5
53228                                                                                          4,5
53233                                                                                            4
53235                                                                                            4
53295                                                                                            4
53402                                                                                            1
53403                                                                                            1
53404                                                                                            1
53405                                                                                            1
53406                                                                                            1
53501                                                                                            2
53502                                                                                            2
53503                                                                                            2
53504                                                                                            2
53505                                                                                            1
53506                                                                                            2
53507                                                                                            2
53508                                                                                            2
53510                                                                                            2
53511                                                                                          1,2
53515                                                                                            2
53516                                                                                            2
53517                                                                                            2
53518                                                                                            3
53520                                                                                            2
53521                                                                                            2
53522                                                                                            2
53523                                                                                          2,5
53525                                                                                            1
53526                                                                                            2
53527                                                                                            2
53528                                                                                            2
53529                                                                                            2
53530                                                                                            2
53531                                                                                            2
53532                                                                                          2,6
53533                                                                                            2
53534                                                                                          2,5
53536                                                                                            2
53537                                                                                            2
53538                                                                                          1,5
53540                                                                                            2
53541                                                                                            2
53543                                                                                          2,3
53544                                                                                            2
53545                                                                                          1,2
53546                                                                                          1,2
53548                                                                                          1,2
53549                                                                                            5
53550                                                                                            2
53551                                                                                            5
53553                                                                                            2
53554                                                                                          2,3
53555                                                                                          2,6
53556                                                                                          2,3
53557                                                                                            5
53558                                                                                            2
53559                                                                                          2,5
53560                                                                                            2
53561                                                                                          2,6
53562                                                                                            2
53563                                                                                        1,2,5
53565                                                                                            2
53566                                                                                            2
53569                                                                                          2,3
53570                                                                                            2
53571                                                                                            2
53572                                                                                            2
53573                                                                                          2,3
53574                                                                                            2
53575                                                                                            2
53576                                                                                            2
53577                                                                                            2
53578                                                                                          2,6
53579                                                                                            5
53580                                                                                            2
53581                                                                                          2,3
53582                                                                                            2
53583                                                                                          2,6
53585                                                                                            1
53586                                                                                            2
53587                                                                                            2
53588                                                                                            2
53589                                                                                            2
53590                                                                                            2
53593                                                                                            2
53594                                                                                          2,5
53597                                                                                            2
53598                                                                                            2
53599                                                                                            2
53702                                                                                            5
53703                                                                                            2
53704                                                                                            2
53705                                                                                            2
53706                                                                                            2
53711                                                                                            2
53713                                                                                            2
53714                                                                                            2
53715                                                                                            2
53716                                                                                            2
53717                                                                                            2
53718                                                                                            2
53719                                                                                            2
53726                                                                                            2
53792                                                                                            2
53801                                                                                            3
53802                                                                                            3
53803                                                                                            2
53804                                                                                            3
53805                                                                                            3
53806                                                                                            3
53807                                                                                          2,3
53808                                                                                            3
53809                                                                                            3
53810                                                                                            3
53811                                                                                          2,3
53813                                                                                            3
53816                                                                                            3
53817                                                                                            3
53818                                                                                          2,3
53820                                                                                            3
53821                                                                                            3
53825                                                                                            3
53826                                                                                            3
53827                                                                                            3
53901                                                                                            6
53910                                                                                            3
53911                                                                                          2,6
53913                                                                                          2,6
53916                                                                                          5,6
53919                                                                                            6
53920                                                                                          3,6
53922                                                                                            6
53923                                                                                            6
53924                                                                                          2,3
53925                                                                                        2,5,6
53926                                                                                            6
53928                                                                                            6
53929                                                                                            3
53930                                                                                            6
53931                                                                                            6
53932                                                                                          5,6
53933                                                                                            6
53934                                                                                            3
53935                                                                                            6
53936                                                                                            3
53937                                                                                          2,3
53939                                                                                            6
53941                                                                                          2,3
53943                                                                                            2
53944                                                                                          2,3
53946                                                                                            6
53947                                                                                            6
53948                                                                                            3
53949                                                                                            6
53950                                                                                          3,7
53951                                                                                            2
53952                                                                                          3,6
53953                                                                                            6
53954                                                                                            6
53955                                                                                            6
53956                                                                                          5,6
53959                                                                                            2
53960                                                                                            6
53961                                                                                            2
53963                                                                                            6
53964                                                                                          3,6
53965                                                                                        2,3,6
53968                                                                                          2,3
53969                                                                                            6
54001                                                                                            7
54002                                                                                            7
54003                                                                                            3
54004                                                                                            7
54005                                                                                          3,7
54006                                                                                            7
54007                                                                                            7
54009                                                                                            7
54010                                                                                            3
54011                                                                                            3
54013                                                                                          3,7
54014                                                                                            3
54015                                                                                            7
54016                                                                                            7
54017                                                                                            7
54020                                                                                            7
54021                                                                                            3
54022                                                                                          3,7
54023                                                                                            7
54024                                                                                            7
54025                                                                                            7
54026                                                                                            7
54027                                                                                            7
54028                                                                                            7
54082                                                                                            7
54101                                                                                            8
54102                                                                                            8
54103                                                                                          7,8
54104                                                                                          7,8
54106                                                                                            8
54107                                                                                            8
54110                                                                                          6,8
54111                                                                                            8
54112                                                                                            8
54113                                                                                            8
54114                                                                                            8
54115                                                                                            8
54119                                                                                            8
54120                                                                                          7,8
54121                                                                                            7
54123                                                                                            8
54124                                                                                            8
54125                                                                                          7,8
54126                                                                                          6,8
54127                                                                                            8
54128                                                                                            8
54129                                                                                            8
54130                                                                                            8
54135                                                                                            8
54136                                                                                            8
54137                                                                                            8
54138                                                                                            8
54139                                                                                            8
54140                                                                                            8
54141                                                                                            8
54143                                                                                            8
54149                                                                                            8
54150                                                                                            8
54151                                                                                          7,8
54153                                                                                            8
54154                                                                                            8
54155                                                                                            8
54156                                                                                            8
54157                                                                                            8
54159                                                                                            8
54160                                                                                            8
54161                                                                                            8
54162                                                                                            8
54165                                                                                            8
54166                                                                                            8
54169                                                                                            8
54170                                                                                            8
54171                                                                                            8
54173                                                                                            8
54174                                                                                            8
54175                                                                                          7,8
54177                                                                                            8
54180                                                                                            8
54201                                                                                            8
54202                                                                                            8
54204                                                                                            8
54205                                                                                            8
54207                                                                                            6
54208                                                                                          6,8
54209                                                                                            8
54210                                                                                            8
54211                                                                                            8
54212                                                                                            8
54213                                                                                            8
